行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 -  5**,表現 -  5*,表現 -  5+,表現 -  4+,表現 -  3+,表現 -  2+,表現 -  1+,表現 -  U
1,生物,,男生,數字,5640,5500,43.4,143,490,1101,2518,3847,4884,5294,206
2,生物,,男生,百分比,,,,2.6%,8.9%,20.0%,45.8%,69.9%,88.8%,96.3%,3.7%
3,生物,,女生,數字,7988,7869,36.2,118,534,1485,3661,5737,7157,7678,191
4,生物,,女生,百分比,,,,1.5%,6.8%,18.9%,46.5%,72.9%,91.0%,97.6%,2.4%
5,生物,,總數,數字,13628,13369,39.2,261,1024,2586,6179,9584,12041,12972,397
6,生物,,總數,百分比,,,,2.0%,7.7%,19.3%,46.2%,71.7%,90.1%,97.0%,3.0%
7,企業、會計與財務概論,會計,男生,數字,3499,3394,42.1,55,195,475,1396,2280,3005,3282,112
8,企業、會計與財務概論,會計,男生,百分比,,,,1.6%,5.7%,14.0%,41.1%,67.2%,88.5%,96.7%,3.3%
9,企業、會計與財務概論,會計,女生,數字,4284,4209,29.6,49,231,573,1935,3180,3903,4132,77
10,企業、會計與財務概論,會計,女生,百分比,,,,1.2%,5.5%,13.6%,46.0%,75.6%,92.7%,98.2%,1.8%
11,企業、會計與財務概論,會計,總數,數字,7783,7603,35.2,104,426,1048,3331,5460,6908,7414,189
12,企業、會計與財務概論,會計,總數,百分比,,,,1.4%,5.6%,13.8%,43.8%,71.8%,90.9%,97.5%,2.5%
13,企業、會計與財務概論,商業管理,男生,數字,1401,1326,74.9,7,36,84,335,725,1109,1256,70
14,企業、會計與財務概論,商業管理,男生,百分比,,,,0.5%,2.7%,6.3%,25.3%,54.7%,83.6%,94.7%,5.3%
15,企業、會計與財務概論,商業管理,女生,數字,1525,1495,68.1,14,49,123,511,979,1352,1468,27
16,企業、會計與財務概論,商業管理,女生,百分比,,,,0.9%,3.3%,8.2%,34.2%,65.5%,90.4%,98.2%,1.8%
17,企業、會計與財務概論,商業管理,總數,數字,2926,2821,71.3,21,85,207,846,1704,2461,2724,97
18,企業、會計與財務概論,商業管理,總數,百分比,,,,0.7%,3.0%,7.3%,30.0%,60.4%,87.2%,96.6%,3.4%
19,化學,,男生,數字,7063,6810,26.3,230,826,1936,3612,5208,5973,6502,308
20,化學,,男生,百分比,,,,3.4%,12.1%,28.4%,53.0%,76.5%,87.7%,95.5%,4.5%
21,化學,,女生,數字,5924,5802,18.3,109,530,1424,2983,4502,5177,5630,172
22,化學,,女生,百分比,,,,1.9%,9.1%,24.5%,51.4%,77.6%,89.2%,97.0%,3.0%
23,化學,,總數,數字,12987,12612,22.6,339,1356,3360,6595,9710,11150,12132,480
24,化學,,總數,百分比,,,,2.7%,10.8%,26.6%,52.3%,77.0%,88.4%,96.2%,3.8%
25,中國歷史,,男生,數字,2743,2649,-,24,102,259,801,1587,2323,2548,101
26,中國歷史,,男生,百分比,,,,0.9%,3.9%,9.8%,30.2%,59.9%,87.7%,96.2%,3.8%
27,中國歷史,,女生,數字,3088,3040,-,46,184,451,1257,2159,2815,2983,57
28,中國歷史,,女生,百分比,,,,1.5%,6.1%,14.8%,41.3%,71.0%,92.6%,98.1%,1.9%
29,中國歷史,,總數,數字,5831,5689,-,70,286,710,2058,3746,5138,5531,158
30,中國歷史,,總數,百分比,,,,1.2%,5.0%,12.5%,36.2%,65.8%,90.3%,97.2%,2.8%
31,中國語文,,男生,數字,25258,25103,-,133,531,1406,4918,11450,20203,24214,889
32,中國語文,,男生,百分比,,,,0.5%,2.1%,5.6%,19.6%,45.6%,80.5%,96.5%,3.5%
33,中國語文,,女生,數字,24850,24765,-,334,1254,3201,9064,16471,22746,24474,291
34,中國語文,,女生,百分比,,,,1.3%,5.1%,12.9%,36.6%,66.5%,91.8%,98.8%,1.2%
35,中國語文,,總數,數字,50108,49868,-,467,1785,4607,13982,27921,42949,48688,1180
36,中國語文,,總數,百分比,,,,0.9%,3.6%,9.2%,28.0%,56.0%,86.1%,97.6%,2.4%
37,中國文學,,男生,數字,357,340,-,1,6,23,74,173,282,322,18
38,中國文學,,男生,百分比,,,,0.3%,1.8%,6.8%,21.8%,50.9%,82.9%,94.7%,5.3%
39,中國文學,,女生,數字,1276,1255,-,19,75,185,470,881,1149,1226,29
40,中國文學,,女生,百分比,,,,1.5%,6.0%,14.7%,37.5%,70.2%,91.6%,97.7%,2.3%
41,中國文學,,總數,數字,1633,1595,-,20,81,208,544,1054,1431,1548,47
42,中國文學,,總數,百分比,,,,1.3%,5.1%,13.0%,34.1%,66.1%,89.7%,97.1%,2.9%
43,設計與應用科技,,男生,數字,526,499,96.4,1,3,10,32,78,246,386,113
44,設計與應用科技,,男生,百分比,,,,0.2%,0.6%,2.0%,6.4%,15.6%,49.3%,77.4%,22.6%
45,設計與應用科技,,女生,數字,224,206,96.6,1,3,5,30,77,137,173,33
46,設計與應用科技,,女生,百分比,,,,0.5%,1.5%,2.4%,14.6%,37.4%,66.5%,84.0%,16.0%
47,設計與應用科技,,總數,數字,750,705,96.5,2,6,15,62,155,383,559,146
48,設計與應用科技,,總數,百分比,,,,0.3%,0.9%,2.1%,8.8%,22.0%,54.3%,79.3%,20.7%
49,經濟,,男生,數字,6226,6056,47.5,126,485,1090,2766,4063,5184,5736,320
50,經濟,,男生,百分比,,,,2.1%,8.0%,18.0%,45.7%,67.1%,85.6%,94.7%,5.3%
51,經濟,,女生,數字,7249,7144,36.4,118,477,1200,3384,4986,6218,6881,263
52,經濟,,女生,百分比,,,,1.7%,6.7%,16.8%,47.4%,69.8%,87.0%,96.3%,3.7%
53,經濟,,總數,數字,13475,13200,41.5,244,962,2290,6150,9049,11402,12617,583
54,經濟,,總數,百分比,,,,1.8%,7.3%,17.3%,46.6%,68.6%,86.4%,95.6%,4.4%
55,英國語文 ,,男生,數字,25797,25291,-,215,754,1976,5706,11617,17998,21918,3373
56,英國語文 ,,男生,百分比,,,,0.9%,3.0%,7.8%,22.6%,45.9%,71.2%,86.7%,13.3%
57,英國語文 ,,女生,數字,25300,25119,-,325,1324,3116,8141,14694,20796,23624,1495
58,英國語文 ,,女生,百分比,,,,1.3%,5.3%,12.4%,32.4%,58.5%,82.8%,94.0%,6.0%
59,英國語文 ,,總數,數字,51097,50410,-,540,2078,5092,13847,26311,38794,45542,4868
60,英國語文 ,,總數,百分比,,,,1.1%,4.1%,10.1%,27.5%,52.2%,77.0%,90.3%,9.7%
61,倫理與宗教,,男生,數字,340,324,96.3,3,7,18,66,182,288,307,17
62,倫理與宗教,,男生,百分比,,,,0.9%,2.2%,5.6%,20.4%,56.2%,88.9%,94.8%,5.2%
63,倫理與宗教,,女生,數字,391,379,91.8,2,21,46,143,281,340,369,10
