行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異,達標或以上,未達標
1,應用科學,應用心理學,男生,數字,83,79,23,71,8
2,應用科學,應用心理學,男生,百分比,,,29.1%,89.9%,10.1%
3,應用科學,應用心理學,女生,數字,56,54,22,50,4
4,應用科學,應用心理學,女生,百分比,,,40.7%,92.6%,7.4%
5,應用科學,應用心理學,總數,數字,139,133,45,121,12
6,應用科學,應用心理學,總數,百分比,,,33.8%,91.0%,9.0%
7,應用科學,運動科學及體適能,男生,數字,22,20,5,19,1
8,應用科學,運動科學及體適能,男生,百分比,,,25.0%,95.0%,5.0%
9,應用科學,運動科學及體適能,女生,數字,8,8,2,8,0
10,應用科學,運動科學及體適能,女生,百分比,,,25.0%,100.0%,0.0%
11,應用科學,運動科學及體適能,總數,數字,30,28,7,27,1
12,應用科學,運動科學及體適能,總數,百分比,,,25.0%,96.4%,3.6%
13,應用科學,探索心理學,男生,數字,21,18,2,18,0
14,應用科學,探索心理學,男生,百分比,,,11.1%,100.0%,0.0%
15,應用科學,探索心理學,女生,數字,23,19,12,19,0
16,應用科學,探索心理學,女生,百分比,,,63.2%,100.0%,0.0%
17,應用科學,探索心理學,總數,數字,44,37,14,37,0
18,應用科學,探索心理學,總數,百分比,,,37.8%,100.0%,0.0%
19,應用科學,中醫藥學基礎,男生,數字,22,20,9,19,1
20,應用科學,中醫藥學基礎,男生,百分比,,,45.0%,95.0%,5.0%
21,應用科學,中醫藥學基礎,女生,數字,35,33,15,33,0
22,應用科學,中醫藥學基礎,女生,百分比,,,45.5%,100.0%,0.0%
23,應用科學,中醫藥學基礎,總數,數字,57,53,24,52,1
24,應用科學,中醫藥學基礎,總數,百分比,,,45.3%,98.1%,1.9%
25,應用科學,基礎健康護理,男生,數字,0,0,-,-,-
26,應用科學,基礎健康護理,男生,百分比,,,-,-,-
27,應用科學,基礎健康護理,女生,數字,0,0,-,-,-
28,應用科學,基礎健康護理,女生,百分比,,,-,-,-
29,應用科學,基礎健康護理,總數,數字,0,0,-,-,-
30,應用科學,基礎健康護理,總數,百分比,,,-,-,-
31,應用科學,健康護理實務,男生,數字,42,40,6,39,1
32,應用科學,健康護理實務,男生,百分比,,,15.0%,97.5%,2.5%
33,應用科學,健康護理實務,女生,數字,110,105,40,102,3
34,應用科學,健康護理實務,女生,百分比,,,38.1%,97.1%,2.9%
35,應用科學,健康護理實務,總數,數字,152,145,46,141,4
36,應用科學,健康護理實務,總數,百分比,,,31.7%,97.2%,2.8%
37,應用科學,醫務化驗科學,男生,數字,19,17,5,11,6
38,應用科學,醫務化驗科學,男生,百分比,,,29.4%,64.7%,35.3%
39,應用科學,醫務化驗科學,女生,數字,25,23,14,21,2
40,應用科學,醫務化驗科學,女生,百分比,,,60.9%,91.3%,8.7%
41,應用科學,醫務化驗科學,總數,數字,44,40,19,32,8
42,應用科學,醫務化驗科學,總數,百分比,,,47.5%,80.0%,20.0%
43,應用科學,運動及體適能教練,男生,數字,81,61,14,55,6
44,應用科學,運動及體適能教練,男生,百分比,,,23.0%,90.2%,9.8%
45,應用科學,運動及體適能教練,女生,數字,19,15,2,15,0
46,應用科學,運動及體適能教練,女生,百分比,,,13.3%,100.0%,0.0%
47,應用科學,運動及體適能教練,總數,數字,100,76,16,70,6
48,應用科學,運動及體適能教練,總數,百分比,,,21.1%,92.1%,7.9%
49,商業、管理及法律,應用商業研究,男生,數字,6,6,3,5,1
50,商業、管理及法律,應用商業研究,男生,百分比,,,50.0%,83.3%,16.7%
51,商業、管理及法律,應用商業研究,女生,數字,0,0,-,-,-
52,商業、管理及法律,應用商業研究,女生,百分比,,,-,-,-
