行號,科目,性別,類別,報考人數,出席人數,表現 - a,表現 - b+,表現 - c+,表現 - d+,表現 - e+,表現 - U
1,法語,男生,數字,23,20,3,6,9,12,15,5
2,法語,男生,百分比,,,15.0%,30.0%,45.0%,60.0%,75.0%,25.0%
3,法語,女生,數字,44,41,5,8,14,19,25,16
4,法語,女生,百分比,,,12.2%,19.5%,34.1%,46.3%,61.0%,39.0%
5,法語,總數,數字,67,61,8,14,23,31,40,21
6,法語,總數,百分比,,,13.1%,23.0%,37.7%,50.8%,65.6%,34.4%
7,德語,男生,數字,4,4,2,3,3,4,4,0
8,德語,男生,百分比,,,50.0%,75.0%,75.0%,100.0%,100.0%,0.0%
9,德語,女生,數字,5,5,1,3,3,4,5,0
10,德語,女生,百分比,,,20.0%,60.0%,60.0%,80.0%,100.0%,0.0%
11,德語,總數,數字,9,9,3,6,6,8,9,0
12,德語,總數,百分比,,,33.3%,66.7%,66.7%,88.9%,100.0%,0.0%
13,印地語,男生,數字,3,3,0,0,0,0,0,3
14,印地語,男生,百分比,,,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
15,印地語,女生,數字,5,5,1,2,2,3,4,1
16,印地語,女生,百分比,,,20.0%,40.0%,40.0%,60.0%,80.0%,20.0%
17,印地語,總數,數字,8,8,1,2,2,3,4,4
18,印地語,總數,百分比,,,12.5%,25.0%,25.0%,37.5%,50.0%,50.0%
19,日語,男生,數字,80,69,26,42,57,63,66,3
20,日語,男生,百分比,,,37.7%,60.9%,82.6%,91.3%,95.7%,4.3%
21,日語,女生,數字,152,144,74,115,129,138,140,4
22,日語,女生,百分比,,,51.4%,79.9%,89.6%,95.8%,97.2%,2.8%
23,日語,總數,數字,232,213,100,157,186,201,206,7
24,日語,總數,百分比,,,46.9%,73.7%,87.3%,94.4%,96.7%,3.3%
25,西班牙語,男生,數字,11,10,1,2,3,5,7,3
26,西班牙語,男生,百分比,,,10.0%,20.0%,30.0%,50.0%,70.0%,30.0%
27,西班牙語,女生,數字,4,4,2,2,3,3,3,1
28,西班牙語,女生,百分比,,,50.0%,50.0%,75.0%,75.0%,75.0%,25.0%
29,西班牙語,總數,數字,15,14,3,4,6,8,10,4
30,西班牙語,總數,百分比,,,21.4%,28.6%,42.9%,57.1%,71.4%,28.6%
31,烏爾都語,男生,數字,14,14,6,9,11,12,13,1
32,烏爾都語,男生,百分比,,,42.9%,64.3%,78.6%,85.7%,92.9%,7.1%
33,烏爾都語,女生,數字,5,5,2,2,4,4,4,1
34,烏爾都語,女生,百分比,,,40.0%,40.0%,80.0%,80.0%,80.0%,20.0%
35,烏爾都語,總數,數字,19,19,8,11,15,16,17,2
36,烏爾都語,總數,百分比,,,42.1%,57.9%,78.9%,84.2%,89.5%,10.5%
37,所有丙類學科,男生,數字,135,120,38,62,83,96,105,15
38,所有丙類學科,男生,百分比,,,31.7%,51.7%,69.2%,80.0%,87.5%,12.5%
39,所有丙類學科,女生,數字,215,204,85,132,155,171,181,23
40,所有丙類學科,女生,百分比,,,41.7%,64.7%,76.0%,83.8%,88.7%,11.3%
41,所有丙類學科,總數,數字,350,324,123,194,238,267,286,38
42,所有丙類學科,總數,百分比,,,38.0%,59.9%,73.5%,82.4%,88.3%,11.7%
