行號,數學必修部分成績,類別,數學延伸部分成績 - 5**,數學延伸部分成績 - 5*,數學延伸部分成績 - 5,數學延伸部分成績 - 4,數學延伸部分成績 - 3,數學延伸部分成績 - 2,數學延伸部分成績 - 1 ,數學延伸部分成績 - U,總數,,,,,,,,,,
1,5**,數字,164,239,147,30,8,1,0,0,589,,,,,,,,,,
2,5**,百分比,2.4%,3.5%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%,8.7%,,,,,,,,,,
3,5*,數字,70,339,604,239,100,11,2,0,1365,,,,,,,,,,
4,5*,百分比,1.0%,5.0%,8.9%,3.5%,1.5%,0.2%,0.0%,0.0%,20.2%,,,,,,,,,,
5,5,數字,14,173,675,598,399,103,11,2,1975,,,,,,,,,,
6,5,百分比,0.2%,2.6%,10.0%,8.8%,5.9%,1.5%,0.2%,0.0%,29.2%,,,,,,,,,,
7,4,數字,1,20,170,517,764,557,173,49,2251,,,,,,,,,,
8,4,百分比,0.0%,0.3%,2.5%,7.6%,11.3%,8.2%,2.6%,0.7%,33.2%,,,,,,,,,,
9,3,數字,0,0,0,5,61,148,192,69,475,,,,,,,,,,
10,3,百分比,0.0%,0.0%,0.0%,0.1%,0.9%,2.2%,2.8%,1.0%,7.0%,,,,,,,,,,
11,2,數字,0,0,0,0,0,18,35,58,111,,,,,,,,,,
12,2,百分比,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.5%,0.9%,1.6%,,,,,,,,,,
13,1,數字,0,0,0,0,0,0,1,6,7,,,,,,,,,,
14,1,百分比,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%,,,,,,,,,,
15,U,數字,0,0,0,0,0,0,0,1,1,,,,,,,,,,
16,U,百分比,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,
17,總數,數字,249,771,1596,1389,1332,838,414,185,6774,,,,,,,,,,
18,總數,百分比,3.7%,11.4%,23.6%,20.5%,19.7%,12.4%,6.1%,2.7%,100.0%,,,,,,,,,,
