行號,數學必修部分成績,類別,數學延伸部分成績 - 5**,數學延伸部分成績 - 5*,數學延伸部分成績 - 5,數學延伸部分成績 - 4,數學延伸部分成績 - 3,數學延伸部分成績 - 2,數學延伸部分成績 - 1 ,數學延伸部分成績 - U,總數,,,,,,,,,,
1,5**,數字,195,270,160,33,9,1,0,0,668,,,,,,,,,,
2,5**,百分比,2.6%,3.6%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%,8.9%,,,,,,,,,,
3,5*,數字,77,370,657,255,111,14,2,0,1486,,,,,,,,,,
4,5*,百分比,1.0%,4.9%,8.7%,3.4%,1.5%,0.2%,0.0%,0.0%,19.8%,,,,,,,,,,
5,5,數字,15,192,728,648,439,122,11,4,2159,,,,,,,,,,
6,5,百分比,0.2%,2.6%,9.7%,8.6%,5.8%,1.6%,0.1%,0.1%,28.7%,,,,,,,,,,
7,4,數字,1,22,191,568,852,617,207,54,2512,,,,,,,,,,
8,4,百分比,0.0%,0.3%,2.5%,7.6%,11.3%,8.2%,2.8%,0.7%,33.4%,,,,,,,,,,
9,3,數字,1,1,0,7,71,165,221,81,547,,,,,,,,,,
10,3,百分比,0.0%,0.0%,0.0%,0.1%,0.9%,2.2%,2.9%,1.1%,7.3%,,,,,,,,,,
11,2,數字,0,0,0,0,0,19,40,75,134,,,,,,,,,,
12,2,百分比,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.5%,1.0%,1.8%,,,,,,,,,,
13,1,數字,0,0,0,0,0,0,1,11,12,,,,,,,,,,
14,1,百分比,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.2%,,,,,,,,,,
15,U,數字,0,0,0,0,0,0,0,3,3,,,,,,,,,,
16,U,百分比,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,
17,總數,數字,289,855,1736,1511,1482,938,482,228,7521,,,,,,,,,,
18,總數,百分比,3.8%,11.4%,23.1%,20.1%,19.7%,12.5%,6.4%,3.0%,100.0%,,,,,,,,,,
