行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 -  5**,表現 -  5*+,表現 -  5+,表現 -  4+,表現 -  3+,表現 -  2+,表現 -  1+,表現 -  U
1,生物,,男生,人數,5509,5408,,125,466,1026,2358,3839,4873,5275,133
2,生物,,男生,百分比,,,45.2,2.3%,8.6%,19.0%,43.6%,71.0%,90.1%,97.5%,2.5%
3,生物,,女生,人數,8023,7938,,111,495,1379,3561,5775,7279,7795,143
4,生物,,女生,百分比,,,35.2,1.4%,6.2%,17.4%,44.9%,72.8%,91.7%,98.2%,1.8%
5,生物,,總數,人數,13532,13346,,236,961,2405,5919,9614,12152,13070,276
6,生物,,總數,百分比,,,39.3,1.8%,7.2%,18.0%,44.4%,72.0%,91.1%,97.9%,2.1%
7,企業、會計與財務概論,會計,男生,人數,3460,3327,,50,192,424,1363,2290,3010,3233,94
8,企業、會計與財務概論,會計,男生,百分比,,,40.8,1.5%,5.8%,12.7%,41.0%,68.8%,90.5%,97.2%,2.8%
9,企業、會計與財務概論,會計,女生,人數,4377,4285,,52,217,589,1944,3177,3972,4214,71
10,企業、會計與財務概論,會計,女生,百分比,,,29.0,1.2%,5.1%,13.7%,45.4%,74.1%,92.7%,98.3%,1.7%
11,企業、會計與財務概論,會計,總數,人數,7837,7612,,102,409,1013,3307,5467,6982,7447,165
12,企業、會計與財務概論,會計,總數,百分比,,,34.2,1.3%,5.4%,13.3%,43.4%,71.8%,91.7%,97.8%,2.2%
13,企業、會計與財務概論,商業管理,男生,人數,1354,1297,,7,30,78,336,696,1109,1256,41
14,企業、會計與財務概論,商業管理,男生,百分比,,,77.0,0.5%,2.3%,6.0%,25.9%,53.7%,85.5%,96.8%,3.2%
15,企業、會計與財務概論,商業管理,女生,人數,1480,1456,,13,50,115,484,938,1323,1417,39
16,企業、會計與財務概論,商業管理,女生,百分比,,,70.0,0.9%,3.4%,7.9%,33.2%,64.4%,90.9%,97.3%,2.7%
17,企業、會計與財務概論,商業管理,總數,人數,2834,2753,,20,80,193,820,1634,2432,2673,80
18,企業、會計與財務概論,商業管理,總數,百分比,,,73.3,0.7%,2.9%,7.0%,29.8%,59.4%,88.3%,97.1%,2.9%
19,化學,,男生,人數,7076,6839,,190,728,1750,3568,5203,6019,6557,282
20,化學,,男生,百分比,,,27.3,2.8%,10.6%,25.6%,52.2%,76.1%,88.0%,95.9%,4.1%
21,化學,,女生,人數,6070,5926,,113,472,1279,2971,4535,5261,5727,199
22,化學,,女生,百分比,,,18.4,1.9%,8.0%,21.6%,50.1%,76.5%,88.8%,96.6%,3.4%
23,化學,,總數,人數,13146,12765,,303,1200,3029,6539,9738,11280,12284,481
24,化學,,總數,百分比,,,23.1,2.4%,9.4%,23.7%,51.2%,76.3%,88.4%,96.2%,3.8%
25,中國歷史,,男生,人數,2583,2474,,29,98,242,765,1509,2167,2391,83
26,中國歷史,,男生,百分比,,,-,1.2%,4.0%,9.8%,30.9%,61.0%,87.6%,96.6%,3.4%
27,中國歷史,,女生,人數,3253,3189,,41,191,455,1267,2274,2918,3128,61
28,中國歷史,,女生,百分比,,,-,1.3%,6.0%,14.3%,39.7%,71.3%,91.5%,98.1%,1.9%
29,中國歷史,,總數,人數,5836,5663,,70,289,697,2032,3783,5085,5519,144
30,中國歷史,,總數,百分比,,,-,1.2%,5.1%,12.3%,35.9%,66.8%,89.8%,97.5%,2.5%
31,中國語文,,男生,人數,24764,24610,,128,518,1438,5018,11236,19699,23538,1072
32,中國語文,,男生,百分比,,,-,0.5%,2.1%,5.8%,20.4%,45.7%,80.0%,95.6%,4.4%
33,中國語文,,女生,人數,24661,24571,,382,1443,3561,10020,16934,22672,24288,283
34,中國語文,,女生,百分比,,,-,1.6%,5.9%,14.5%,40.8%,68.9%,92.3%,98.8%,1.2%
35,中國語文,,總數,人數,49425,49181,,510,1961,4999,15038,28170,42371,47826,1355
36,中國語文,,總數,百分比,,,-,1.0%,4.0%,10.2%,30.6%,57.3%,86.2%,97.2%,2.8%
37,中國文學,,男生,人數,381,371,,0,6,24,76,192,304,351,20
38,中國文學,,男生,百分比,,,-,0.0%,1.6%,6.5%,20.5%,51.8%,81.9%,94.6%,5.4%
39,中國文學,,女生,人數,1279,1273,,23,92,217,510,921,1177,1252,21
40,中國文學,,女生,百分比,,,-,1.8%,7.2%,17.0%,40.1%,72.3%,92.5%,98.4%,1.6%
41,中國文學,,總數,人數,1660,1644,,23,98,241,586,1113,1481,1603,41
42,中國文學,,總數,百分比,,,-,1.4%,6.0%,14.7%,35.6%,67.7%,90.1%,97.5%,2.5%
43,設計與應用科技,,男生,人數,430,404,,1,3,8,33,81,240,355,49
44,設計與應用科技,,男生,百分比,,,95.3,0.2%,0.7%,2.0%,8.2%,20.0%,59.4%,87.9%,12.1%
45,設計與應用科技,,女生,人數,170,156,,0,0,4,20,46,100,139,17
46,設計與應用科技,,女生,百分比,,,94.9,0.0%,0.0%,2.6%,12.8%,29.5%,64.1%,89.1%,10.9%
47,設計與應用科技,,總數,人數,600,560,,1,3,12,53,127,340,494,66
48,設計與應用科技,,總數,百分比,,,95.2,0.2%,0.5%,2.1%,9.5%,22.7%,60.7%,88.2%,11.8%
49,經濟,,男生,人數,6256,6076,,117,447,1060,2809,4138,5210,5781,295
50,經濟,,男生,百分比,,,46.2,1.9%,7.4%,17.4%,46.2%,68.1%,85.7%,95.1%,4.9%
51,經濟,,女生,人數,7129,7031,,117,417,1189,3290,4932,6210,6790,241
52,經濟,,女生,百分比,,,35.3,1.7%,5.9%,16.9%,46.8%,70.1%,88.3%,96.6%,3.4%
53,經濟,,總數,人數,13385,13107,,234,864,2249,6099,9070,11420,12571,536
54,經濟,,總數,百分比,,,40.4,1.8%,6.6%,17.2%,46.5%,69.2%,87.1%,95.9%,4.1%
55,英國語文,,男生,人數,25325,24761,,164,667,1725,5565,11944,18435,22028,2733
56,英國語文,,男生,百分比,,,-,0.7%,2.7%,7.0%,22.5%,48.2%,74.5%,89.0%,11.0%
57,英國語文,,女生,人數,25212,24971,,307,1141,2774,7785,14796,20969,23698,1273
58,英國語文,,女生,百分比,,,-,1.2%,4.6%,11.1%,31.2%,59.3%,84.0%,94.9%,5.1%
59,英國語文,,總數,人數,50537,49732,,471,1808,4499,13350,26740,39404,45726,4006
60,英國語文,,總數,百分比,,,-,0.9%,3.6%,9.0%,26.8%,53.8%,79.2%,91.9%,8.1%
61,倫理與宗教,,男生,人數,355,337,,2,8,17,63,187,296,325,12
62,倫理與宗教,,男生,百分比,,,97.3,0.6%,2.4%,5.0%,18.7%,55.5%,87.8%,96.4%,3.6%
63,倫理與宗教,,女生,人數,420,411,,5,20,53,150,296,377,401,10
64,倫理與宗教,,女生,百分比,,,90.5,1.2%,4.9%,12.9%,36.5%,72.0%,91.7%,97.6%,2.4%
65,倫理與宗教,,總數,人數,775,748,,7,28,70,213,483,673,726,22
