行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 -  5**,表現 -  5*,表現 -  5+,表現 -  4+,表現 -  3+,表現 -  2+,表現 -  1+,表現 -  U
1,生物,,男生,人數,6015,5813,,128,497,1099,2545,4117,5223,5655,158
2,生物,,男生,百分比,,,45.5,2.2%,8.5%,18.9%,43.8%,70.8%,89.9%,97.3%,2.7%
3,生物,,女生,人數,8533,8335,,113,506,1419,3656,5982,7577,8161,174
4,生物,,女生,百分比,,,36.2,1.4%,6.1%,17.0%,43.9%,71.8%,90.9%,97.9%,2.1%
5,生物,,總數,人數,14548,14148,,241,1003,2518,6201,10099,12800,13816,332
6,生物,,總數,百分比,,,40.0,1.7%,7.1%,17.8%,43.8%,71.4%,90.5%,97.7%,2.3%
7,企業、會計與財務概論,會計,男生,人數,3710,3516,,53,204,450,1444,2409,3157,3402,114
8,企業、會計與財務概論,會計,男生,百分比,,,41.4,1.5%,5.8%,12.8%,41.1%,68.5%,89.8%,96.8%,3.2%
9,企業、會計與財務概論,會計,女生,人數,4587,4445,,52,222,607,1999,3259,4090,4358,87
10,企業、會計與財務概論,會計,女生,百分比,,,29.9,1.2%,5.0%,13.7%,45.0%,73.3%,92.0%,98.0%,2.0%
11,企業、會計與財務概論,會計,總數,人數,8297,7961,,105,426,1057,3443,5668,7247,7760,201
12,企業、會計與財務概論,會計,總數,百分比,,,35.0,1.3%,5.4%,13.3%,43.2%,71.2%,91.0%,97.5%,2.5%
13,企業、會計與財務概論,商業管理,男生,人數,1463,1373,,8,32,81,352,724,1167,1326,47
14,企業、會計與財務概論,商業管理,男生,百分比,,,76.6,0.6%,2.3%,5.9%,25.6%,52.7%,85.0%,96.6%,3.4%
15,企業、會計與財務概論,商業管理,女生,人數,1569,1523,,13,51,117,499,966,1375,1480,43
16,企業、會計與財務概論,商業管理,女生,百分比,,,69.8,0.9%,3.3%,7.7%,32.8%,63.4%,90.3%,97.2%,2.8%
17,企業、會計與財務概論,商業管理,總數,人數,3032,2896,,21,83,198,851,1690,2542,2806,90
18,企業、會計與財務概論,商業管理,總數,百分比,,,73.0,0.7%,2.9%,6.8%,29.4%,58.4%,87.8%,96.9%,3.1%
19,化學,,男生,人數,7706,7316,,211,786,1864,3808,5554,6426,7009,307
20,化學,,男生,百分比,,,28.0,2.9%,10.7%,25.5%,52.1%,75.9%,87.8%,95.8%,4.2%
21,化學,,女生,人數,6407,6180,,114,480,1310,3061,4684,5449,5957,223
22,化學,,女生,百分比,,,19.4,1.8%,7.8%,21.2%,49.5%,75.8%,88.2%,96.4%,3.6%
23,化學,,總數,人數,14113,13496,,325,1266,3174,6869,10238,11875,12966,530
24,化學,,總數,百分比,,,24.0,2.4%,9.4%,23.5%,50.9%,75.9%,88.0%,96.1%,3.9%
25,中國歷史,,男生,人數,2848,2656,,31,103,267,836,1608,2312,2556,100
26,中國歷史,,男生,百分比,,,-,1.2%,3.9%,10.1%,31.5%,60.5%,87.0%,96.2%,3.8%
27,中國歷史,,女生,人數,3461,3342,,42,197,472,1308,2343,3018,3254,88
28,中國歷史,,女生,百分比,,,-,1.3%,5.9%,14.1%,39.1%,70.1%,90.3%,97.4%,2.6%
29,中國歷史,,總數,人數,6309,5998,,73,300,739,2144,3951,5330,5810,188
30,中國歷史,,總數,百分比,,,-,1.2%,5.0%,12.3%,35.7%,65.9%,88.9%,96.9%,3.1%
31,中國語文,,男生,人數,26840,26440,,134,538,1483,5205,11733,20858,25097,1343
32,中國語文,,男生,百分比,,,-,0.5%,2.0%,5.6%,19.7%,44.4%,78.9%,94.9%,5.1%
33,中國語文,,女生,人數,26187,25934,,386,1460,3609,10223,17374,23563,25435,499
34,中國語文,,女生,百分比,,,-,1.5%,5.6%,13.9%,39.4%,67.0%,90.9%,98.1%,1.9%
35,中國語文,,總數,人數,53027,52374,,520,1998,5092,15428,29107,44421,50532,1842
36,中國語文,,總數,百分比,,,-,1.0%,3.8%,9.7%,29.5%,55.6%,84.8%,96.5%,3.5%
37,中國文學,,男生,人數,421,397,,0,6,25,80,202,322,372,25
38,中國文學,,男生,百分比,,,-,0.0%,1.5%,6.3%,20.2%,50.9%,81.1%,93.7%,6.3%
39,中國文學,,女生,人數,1344,1321,,23,92,220,523,943,1215,1295,26
40,中國文學,,女生,百分比,,,-,1.7%,7.0%,16.7%,39.6%,71.4%,92.0%,98.0%,2.0%
41,中國文學,,總數,人數,1765,1718,,23,98,245,603,1145,1537,1667,51
42,中國文學,,總數,百分比,,,-,1.3%,5.7%,14.3%,35.1%,66.6%,89.5%,97.0%,3.0%
43,設計與應用科技,,男生,人數,448,419,,1,3,8,33,82,249,369,50
44,設計與應用科技,,男生,百分比,,,93.8,0.2%,0.7%,1.9%,7.9%,19.6%,59.4%,88.1%,11.9%
45,設計與應用科技,,女生,人數,179,164,,0,0,4,20,47,107,146,18
46,設計與應用科技,,女生,百分比,,,91.5,0.0%,0.0%,2.4%,12.2%,28.7%,65.2%,89.0%,11.0%
47,設計與應用科技,,總數,人數,627,583,,1,3,12,53,129,356,515,68
48,設計與應用科技,,總數,百分比,,,93.1,0.2%,0.5%,2.1%,9.1%,22.1%,61.1%,88.3%,11.7%
49,經濟,,男生,人數,6898,6533,,129,482,1148,2998,4417,5568,6177,356
50,經濟,,男生,百分比,,,47.0,2.0%,7.4%,17.6%,45.9%,67.6%,85.2%,94.6%,5.4%
51,經濟,,女生,人數,7536,7350,,119,428,1221,3383,5075,6405,7044,306
52,經濟,,女生,百分比,,,36.4,1.6%,5.8%,16.6%,46.0%,69.0%,87.1%,95.8%,4.2%
53,經濟,,總數,人數,14434,13883,,248,910,2369,6381,9492,11973,13221,662
54,經濟,,總數,百分比,,,41.4,1.8%,6.6%,17.1%,46.0%,68.4%,86.2%,95.2%,4.8%
55,英國語文,,男生,人數,28443,27325,,178,720,1854,5953,12965,20349,24354,2971
56,英國語文,,男生,百分比,,,-,0.7%,2.6%,6.8%,21.8%,47.4%,74.5%,89.1%,10.9%
57,英國語文,,女生,人數,27835,27155,,312,1171,2854,8083,15554,22534,25670,1485
58,英國語文,,女生,百分比,,,-,1.1%,4.3%,10.5%,29.8%,57.3%,83.0%,94.5%,5.5%
59,英國語文,,總數,人數,56278,54480,,490,1891,4708,14036,28519,42883,50024,4456
60,英國語文,,總數,百分比,,,-,0.9%,3.5%,8.6%,25.8%,52.3%,78.7%,91.8%,8.2%
