行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異,達標或以上,未達標,
1,應用學習中文 (非華語學生適用),服務業中文,男生,人數,61,60,13,52,8,
2,應用學習中文 (非華語學生適用),服務業中文,男生,百分比,,,21.7%,86.7%,13.3%,
3,應用學習中文 (非華語學生適用),服務業中文,女生,人數,37,37,16,37,0,
4,應用學習中文 (非華語學生適用),服務業中文,女生,百分比,,,43.2%,100.0%,0.0%,
5,應用學習中文 (非華語學生適用),服務業中文,總數,人數,98,97,29,89,8,
6,應用學習中文 (非華語學生適用),服務業中文,總數,百分比,,,29.9%,91.8%,8.2%,
7,應用學習中文 (非華語學生適用),款待實務中文,男生,人數,11,9,2,8,1,
8,應用學習中文 (非華語學生適用),款待實務中文,男生,百分比,,,22.2%,88.9%,11.1%,
9,應用學習中文 (非華語學生適用),款待實務中文,女生,人數,16,15,3,12,3,
10,應用學習中文 (非華語學生適用),款待實務中文,女生,百分比,,,20.0%,80.0%,20.0%,
11,應用學習中文 (非華語學生適用),款待實務中文,總數,人數,27,24,5,20,4,
12,應用學習中文 (非華語學生適用),款待實務中文,總數,百分比,,,20.8%,83.3%,16.7%,
13,應用學習中文 (非華語學生適用),,男生,人數,72,69,15,60,9,
14,應用學習中文 (非華語學生適用),,男生,百分比,,,21.7%,87.0%,13.0%,
15,應用學習中文 (非華語學生適用),,女生,人數,53,52,19,49,3,
16,應用學習中文 (非華語學生適用),,女生,百分比,,,36.5%,94.2%,5.8%,
17,應用學習中文 (非華語學生適用),,總數,人數,125,121,34,109,12,
18,應用學習中文 (非華語學生適用),,總數,百分比,,,28.1%,90.1%,9.9%,
