行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 - 男生","日校考生應考最少五科
甲類學科／乙類學科 - 女生","日校考生應考最少五科
甲類學科／乙類學科 - 總數","全體考生應考最少五科
甲類學科／乙類學科 - 男生","全體考生應考最少五科
甲類學科／乙類學科 - 女生","全體考生應考最少五科
甲類學科／乙類學科 - 總數"
1,考生人數,人數,24378,24755,49133,25329,25491,50820
2,總積點 10 – 12,人數,2056,1986,4042,2120,2043,4163
3,總積點 10 – 12,百分比,8.4%,8.0%,8.2%,8.4%,8.0%,8.2%
4,總積點 13 – 15,人數,3423,3758,7181,3548,3850,7398
5,總積點 13 – 15,百分比,14.0%,15.2%,14.6%,14.0%,15.1%,14.6%
6,總積點 16 – 18,人數,3830,4694,8524,3934,4745,8679
7,總積點 16 – 18,百分比,15.7%,19.0%,17.3%,15.5%,18.6%,17.1%
8,總積點 19 – 21,人數,3204,4271,7475,3259,4314,7573
9,總積點 19 – 21,百分比,13.1%,17.3%,15.2%,12.9%,16.9%,14.9%
10,總積點 22 – 24,人數,1790,2297,4087,1817,2317,4134
11,總積點 22 – 24,百分比,7.3%,9.3%,8.3%,7.2%,9.1%,8.1%
12,總積點 25 – 27,人數,924,1148,2072,947,1158,2105
13,總積點 25 – 27,百分比,3.8%,4.6%,4.2%,3.7%,4.5%,4.1%
14,總積點 28 – 30,人數,511,590,1101,519,594,1113
15,總積點 28 – 30,百分比,2.1%,2.4%,2.2%,2.0%,2.3%,2.2%
16,總積點 31 – 33,人數,277,276,553,279,277,556
17,總積點 31 – 33,百分比,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%
18,總積點 34 – 35,人數,86,69,155,87,69,156
19,總積點 34 – 35,百分比,0.4%,0.3%,0.3%,0.3%,0.3%,0.3%
