行號,項目,類別,日校考生 - 男生,日校考生 - 女生,日校考生 - 總數,全體考生 - 男生,全體考生 - 女生,全體考生 - 總數,,,,,,,
1,考生人數,人數,25256,25191,50447,29337,28312,57649,,,,,,,
2,於核心科目中取得「3322」或更佳成績,人數,8563,12758,21321,8719,12884,21603,,,,,,,
3,於核心科目中取得「3322」或更佳成績,百分比,33.9%,50.6%,42.3%,29.7%,45.5%,37.5%,,,,,,,
4,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得2級或以上# 成績",人數,8546,12718,21264,8693,12832,21525,,,,,,,
5,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得2級或以上# 成績",百分比,33.8%,50.5%,42.2%,29.6%,45.3%,37.3%,,,,,,,
6,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得2級或以上# 成績",人數,8192,12235,20427,8315,12321,20636,,,,,,,
7,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得2級或以上# 成績",百分比,32.4%,48.6%,40.5%,28.3%,43.5%,35.8%,,,,,,,
8,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得3級或以上# 成績",人數,8300,12191,20491,8435,12293,20728,,,,,,,
9,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得3級或以上# 成績",百分比,32.9%,48.4%,40.6%,28.8%,43.4%,36.0%,,,,,,,
10,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得3級或以上# 成績",人數,7400,10517,17917,7505,10589,18094,,,,,,,
11,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得3級或以上# 成績",百分比,29.3%,41.7%,35.5%,25.6%,37.4%,31.4%,,,,,,,
12,"於核心科目中取得「3332」或更佳成績，
並於一個選修科目取得3級或以上# 成績",人數,7934,11067,19001,8060,11159,19219,,,,,,,
13,"於核心科目中取得「3332」或更佳成績，
並於一個選修科目取得3級或以上# 成績",百分比,31.4%,43.9%,37.7%,27.5%,39.4%,33.3%,,,,,,,
14,"於核心科目中取得「3332」或更佳成績，
並於兩個選修科目取得3級或以上# 成績",人數,7192,9875,17067,7293,9945,17238,,,,,,,
15,"於核心科目中取得「3332」或更佳成績，
並於兩個選修科目取得3級或以上# 成績",百分比,28.5%,39.2%,33.8%,24.9%,35.1%,29.9%,,,,,,,
16,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得4級或以上成績",人數,7037,9484,16521,7149,9555,16704,,,,,,,
17,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得4級或以上成績",百分比,27.9%,37.6%,32.7%,24.4%,33.7%,29.0%,,,,,,,
18,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得4級或以上成績",人數,5270,6471,11741,5344,6509,11853,,,,,,,
19,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得4級或以上成績",百分比,20.9%,25.7%,23.3%,18.2%,23.0%,20.6%,,,,,,,
20,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得5級或以上成績",人數,3898,4271,8169,3962,4300,8262,,,,,,,
21,"於核心科目中取得「3322」或更佳成績，
並於一個選修科目取得5級或以上成績",百分比,15.4%,17.0%,16.2%,13.5%,15.2%,14.3%,,,,,,,
22,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得5級或以上成績",人數,2214,2090,4304,2251,2107,4358,,,,,,,
23,"於核心科目中取得「3322」或更佳成績，
並於兩個選修科目取得5級或以上成績",百分比,8.8%,8.3%,8.5%,7.7%,7.4%,7.6%,,,,,,,
24,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
2級或以上成績，並於一個選修科目取得2級或以上# 成績",人數,3064,1717,4781,3095,1727,4822,,,,,,,
25,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
2級或以上成績，並於一個選修科目取得2級或以上# 成績",百分比,12.1%,6.8%,9.5%,10.5%,6.1%,8.4%,,,,,,,
26,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
3級或以上成績，並於一個選修科目取得2級或以上# 成績",人數,2840,1513,4353,2869,1521,4390,,,,,,,
27,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
3級或以上成績，並於一個選修科目取得2級或以上# 成績",百分比,11.2%,6.0%,8.6%,9.8%,5.4%,7.6%,,,,,,,
28,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
3級或以上成績，並於一個選修科目取得3級或以上# 成績",人數,2833,1509,4342,2860,1517,4377,,,,,,,
29,"於核心科目中取得「3322」或更佳成績，數學延伸部分取得
3級或以上成績，並於一個選修科目取得3級或以上# 成績",百分比,11.2%,6.0%,8.6%,9.7%,5.4%,7.6%,,,,,,,
