行號,數學必修部分成績,類別,數學延伸部分成績 - 5**,數學延伸部分成績 - 5*,數學延伸部分成績 - 5,數學延伸部分成績 - 4,數學延伸部分成績 - 3,數學延伸部分成績 - 2,數學延伸部分成績 - 1,數學延伸部分成績 - U,總數,,,,,,,,,,
1,5**,人數,141,202,157,32,10,,,,542,,,,,,,,,,
2,5**,百分比,2.1%,2.9%,2.3%,0.5%,0.1%,,,,7.9%,,,,,,,,,,
3,5*,人數,75,305,571,282,98,6,3,,1340,,,,,,,,,,
4,5*,百分比,1.1%,4.4%,8.3%,4.1%,1.4%,0.1%,0.0%,,19.5%,,,,,,,,,,
5,5,人數,14,134,511,694,372,90,15,3,1833,,,,,,,,,,
6,5,百分比,0.2%,2.0%,7.4%,10.1%,5.4%,1.3%,0.2%,0.0%,26.7%,,,,,,,,,,
7,4,人數,,20,163,669,841,588,197,40,2518,,,,,,,,,,
8,4,百分比,,0.3%,2.4%,9.7%,12.2%,8.6%,2.9%,0.6%,36.7%,,,,,,,,,,
9,3,人數,,,2,9,77,174,173,95,530,,,,,,,,,,
10,3,百分比,,,0.0%,0.1%,1.1%,2.5%,2.5%,1.4%,7.7%,,,,,,,,,,
11,2,人數,,,,,1,6,32,55,94,,,,,,,,,,
12,2,百分比,,,,,0.0%,0.1%,0.5%,0.8%,1.4%,,,,,,,,,,
13,1,人數,,,,,,,,9,9,,,,,,,,,,
14,1,百分比,,,,,,,,0.1%,0.1%,,,,,,,,,,
15,U,人數,,,,,,,,,,,,,,,,,,,
16,U,百分比,,,,,,,,,,,,,,,,,,,
17,總數,人數,230,661,1404,1686,1399,864,420,202,6866,,,,,,,,,,
18,總數,百分比,3.3%,9.6%,20.4%,24.6%,20.4%,12.6%,6.1%,2.9%,100.0%,,,,,,,,,,
