行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
1,生物,,男生,人數,5970,5659,,145,510,1163,2653,4022,5055,5439,220
2,生物,,男生,百分比,,,43.8,2.6%,9.0%,20.6%,46.9%,71.1%,89.3%,96.1%,3.9%
3,生物,,女生,人數,7959,7702,,124,558,1484,3614,5559,7019,7520,182
4,生物,,女生,百分比,,,36.3,1.6%,7.2%,19.3%,46.9%,72.2%,91.1%,97.6%,2.4%
5,生物,,總數,人數,13929,13361,,269,1068,2647,6267,9581,12074,12959,402
6,生物,,總數,百分比,,,39.5,2.0%,8.0%,19.8%,46.9%,71.7%,90.4%,97.0%,3.0%
7,企業、會計與財務概論,會計,男生,人數,3419,3148,,54,190,450,1358,2150,2805,3034,114
8,企業、會計與財務概論,會計,男生,百分比,,,39.6,1.7%,6.0%,14.3%,43.1%,68.3%,89.1%,96.4%,3.6%
9,企業、會計與財務概論,會計,女生,人數,4207,4055,,52,208,539,1846,2927,3724,3968,87
10,企業、會計與財務概論,會計,女生,百分比,,,31.5,1.3%,5.1%,13.3%,45.5%,72.2%,91.8%,97.9%,2.1%
11,企業、會計與財務概論,會計,總數,人數,7626,7203,,106,398,989,3204,5077,6529,7002,201
12,企業、會計與財務概論,會計,總數,百分比,,,35.1,1.5%,5.5%,13.7%,44.5%,70.5%,90.6%,97.2%,2.8%
13,企業、會計與財務概論,商業管理,男生,人數,1268,1159,,11,30,77,322,629,975,1102,57
14,企業、會計與財務概論,商業管理,男生,百分比,,,76.9,0.9%,2.6%,6.6%,27.8%,54.3%,84.1%,95.1%,4.9%
15,企業、會計與財務概論,商業管理,女生,人數,1437,1378,,8,41,102,433,829,1225,1340,38
16,企業、會計與財務概論,商業管理,女生,百分比,,,71.8,0.6%,3.0%,7.4%,31.4%,60.2%,88.9%,97.2%,2.8%
17,企業、會計與財務概論,商業管理,總數,人數,2705,2537,,19,71,179,755,1458,2200,2442,95
18,企業、會計與財務概論,商業管理,總數,百分比,,,74.1,0.7%,2.8%,7.1%,29.8%,57.5%,86.7%,96.3%,3.7%
19,化學,,男生,人數,7514,7083,,219,842,1976,3806,5394,6189,6745,338
20,化學,,男生,百分比,,,28.1,3.1%,11.9%,27.9%,53.7%,76.2%,87.4%,95.2%,4.8%
21,化學,,女生,人數,6093,5884,,127,543,1459,3076,4466,5164,5657,227
22,化學,,女生,百分比,,,20.0,2.2%,9.2%,24.8%,52.3%,75.9%,87.8%,96.1%,3.9%
23,化學,,總數,人數,13607,12967,,346,1385,3435,6882,9860,11353,12402,565
24,化學,,總數,百分比,,,24.4,2.7%,10.7%,26.5%,53.1%,76.0%,87.6%,95.6%,4.4%
25,中國歷史,,男生,人數,2890,2671,,40,138,333,936,1672,2350,2553,118
26,中國歷史,,男生,百分比,,,-,1.5%,5.2%,12.5%,35.0%,62.6%,88.0%,95.6%,4.4%
27,中國歷史,,女生,人數,3529,3377,,51,195,528,1440,2415,3161,3317,60
28,中國歷史,,女生,百分比,,,-,1.5%,5.8%,15.6%,42.6%,71.5%,93.6%,98.2%,1.8%
29,中國歷史,,總數,人數,6419,6048,,91,333,861,2376,4087,5511,5870,178
30,中國歷史,,總數,百分比,,,-,1.5%,5.5%,14.2%,39.3%,67.6%,91.1%,97.1%,2.9%
31,中國語文,,男生,人數,25896,25342,,152,579,1533,5148,11615,20544,24129,1213
32,中國語文,,男生,百分比,,,-,0.6%,2.3%,6.0%,20.3%,45.8%,81.1%,95.2%,4.8%
33,中國語文,,女生,人數,24544,24188,,374,1434,3559,9579,16355,22159,23738,450
34,中國語文,,女生,百分比,,,-,1.5%,5.9%,14.7%,39.6%,67.6%,91.6%,98.1%,1.9%
35,中國語文,,總數,人數,50440,49530,,526,2013,5092,14727,27970,42703,47867,1663
36,中國語文,,總數,百分比,,,-,1.1%,4.1%,10.3%,29.7%,56.5%,86.2%,96.6%,3.4%
37,中國文學,,男生,人數,359,331,,2,12,36,90,180,266,313,18
38,中國文學,,男生,百分比,,,-,0.6%,3.6%,10.9%,27.2%,54.4%,80.4%,94.6%,5.4%
39,中國文學,,女生,人數,1290,1251,,22,93,240,516,900,1142,1224,27
40,中國文學,,女生,百分比,,,-,1.8%,7.4%,19.2%,41.2%,71.9%,91.3%,97.8%,2.2%
41,中國文學,,總數,人數,1649,1582,,24,105,276,606,1080,1408,1537,45
42,中國文學,,總數,百分比,,,-,1.5%,6.6%,17.4%,38.3%,68.3%,89.0%,97.2%,2.8%
43,設計與應用科技,,男生,人數,430,394,,1,4,10,45,104,253,341,53
44,設計與應用科技,,男生,百分比,,,95.4,0.3%,1.0%,2.5%,11.4%,26.4%,64.2%,86.5%,13.5%
45,設計與應用科技,,女生,人數,199,182,,1,3,6,26,60,138,168,14
46,設計與應用科技,,女生,百分比,,,95.6,0.5%,1.6%,3.3%,14.3%,33.0%,75.8%,92.3%,7.7%
47,設計與應用科技,,總數,人數,629,576,,2,7,16,71,164,391,509,67
48,設計與應用科技,,總數,百分比,,,95.5,0.3%,1.2%,2.8%,12.3%,28.5%,67.9%,88.4%,11.6%
49,經濟,,男生,人數,6369,5967,,149,485,1153,2797,3983,5065,5641,326
50,經濟,,男生,百分比,,,47.0,2.5%,8.1%,19.3%,46.9%,66.8%,84.9%,94.5%,5.5%
51,經濟,,女生,人數,6877,6653,,125,463,1229,3165,4562,5764,6346,307
52,經濟,,女生,百分比,,,35.8,1.9%,7.0%,18.5%,47.6%,68.6%,86.6%,95.4%,4.6%
53,經濟,,總數,人數,13246,12620,,274,948,2382,5962,8545,10829,11987,633
54,經濟,,總數,百分比,,,41.1,2.2%,7.5%,18.9%,47.2%,67.7%,85.8%,95.0%,5.0%
55,英國語文,,男生,人數,27188,26017,,172,757,1953,5886,12340,19381,23311,2706
56,英國語文,,男生,百分比,,,-,0.7%,2.9%,7.5%,22.6%,47.4%,74.5%,89.6%,10.4%
57,英國語文,,女生,人數,25978,25294,,291,1143,2796,7574,14557,20936,23895,1399
58,英國語文,,女生,百分比,,,-,1.2%,4.5%,11.1%,29.9%,57.6%,82.8%,94.5%,5.5%
59,英國語文,,總數,人數,53166,51311,,463,1900,4749,13460,26897,40317,47206,4105
60,英國語文,,總數,百分比,,,-,0.9%,3.7%,9.3%,26.2%,52.4%,78.6%,92.0%,8.0%
61,倫理與宗教,,男生,人數,363,320,,1,9,17,71,179,273,303,17
62,倫理與宗教,,男生,百分比,,,92.5,0.3%,2.8%,5.3%,22.2%,55.9%,85.3%,94.7%,5.3%
63,倫理與宗教,,女生,人數,421,397,,4,12,38,143,291,370,389,8
64,倫理與宗教,,女生,百分比,,,93.2,1.0%,3.0%,9.6%,36.0%,73.3%,93.2%,98.0%,2.0%
65,倫理與宗教,,總數,人數,784,717,,5,21,55,214,470,643,692,25
66,倫理與宗教,,總數,百分比,,,92.9,0.7%,2.9%,7.7%,29.8%,65.6%,89.7%,96.5%,3.5%
67,地理,,男生,人數,4017,3820,,46,180,426,1350,2285,3258,3676,144
68,地理,,男生,百分比,,,62.6,1.2%,4.7%,11.2%,35.3%,59.8%,85.3%,96.2%,3.8%
69,地理,,女生,人數,4949,4809,,62,258,640,1944,3205,4266,4699,110
70,地理,,女生,百分比,,,50.7,1.3%,5.4%,13.3%,40.4%,66.6%,88.7%,97.7%,2.3%
71,地理,,總數,人數,8966,8629,,108,438,1066,3294,5490,7524,8375,254
72,地理,,總數,百分比,,,56.0,1.3%,5.1%,12.4%,38.2%,63.6%,87.2%,97.1%,2.9%
73,健康管理與社會關懷,,男生,人數,329,289,,1,3,6,28,87,211,262,27
74,健康管理與社會關懷,,男生,百分比,,,93.8,0.3%,1.0%,2.1%,9.7%,30.1%,73.0%,90.7%,9.3%
75,健康管理與社會關懷,,女生,人數,567,540,,2,11,28,138,292,464,520,20
76,健康管理與社會關懷,,女生,百分比,,,87.6,0.4%,2.0%,5.2%,25.6%,54.1%,85.9%,96.3%,3.7%
77,健康管理與社會關懷,,總數,人數,896,829,,3,14,34,166,379,675,782,47
78,健康管理與社會關懷,,總數,百分比,,,89.7,0.4%,1.7%,4.1%,20.0%,45.7%,81.4%,94.3%,5.7%
79,歷史,,男生,人數,2475,2344,,35,151,346,1150,1744,2199,2318,26
80,歷史,,男生,百分比,,,70.2,1.5%,6.4%,14.8%,49.1%,74.4%,93.8%,98.9%,1.1%
81,歷史,,女生,人數,2956,2852,,42,176,467,1530,2281,2712,2822,30
82,歷史,,女生,百分比,,,51.8,1.5%,6.2%,16.4%,53.6%,80.0%,95.1%,98.9%,1.1%
83,歷史,,總數,人數,5431,5196,,77,327,813,2680,4025,4911,5140,56
84,歷史,,總數,百分比,,,60.1,1.5%,6.3%,15.6%,51.6%,77.5%,94.5%,98.9%,1.1%
85,資訊及通訊科技,,男生,人數,4582,4309,,43,193,441,1321,2371,3571,4096,213
86,資訊及通訊科技,,男生,百分比,,,60.7,1.0%,4.5%,10.2%,30.7%,55.0%,82.9%,95.1%,4.9%
87,資訊及通訊科技,,女生,人數,1386,1328,,9,29,116,380,714,1088,1247,81
88,資訊及通訊科技,,女生,百分比,,,43.2,0.7%,2.2%,8.7%,28.6%,53.8%,81.9%,93.9%,6.1%
89,資訊及通訊科技,,總數,人數,5968,5637,,52,222,557,1701,3085,4659,5343,294
90,資訊及通訊科技,,總數,百分比,,,56.6,0.9%,3.9%,9.9%,30.2%,54.7%,82.7%,94.8%,5.2%
91,通識教育,,男生,人數,25774,24980,,175,639,1661,7778,15722,21926,24320,660
92,通識教育,,男生,百分比,,,88.0,0.7%,2.6%,6.6%,31.1%,62.9%,87.8%,97.4%,2.6%
93,通識教育,,女生,人數,24672,24219,,314,1346,3330,11534,18828,22695,23964,255
94,通識教育,,女生,百分比,,,81.1,1.3%,5.6%,13.7%,47.6%,77.7%,93.7%,98.9%,1.1%
95,通識教育,,總數,人數,50446,49199,,489,1985,4991,19312,34550,44621,48284,915
96,通識教育,,總數,百分比,,,84.6,1.0%,4.0%,10.1%,39.3%,70.2%,90.7%,98.1%,1.9%
97,英語文學,,男生,人數,38,30,,0,0,3,10,17,18,22,8
98,英語文學,,男生,百分比,,,-,0.0%,0.0%,10.0%,33.3%,56.7%,60.0%,73.3%,26.7%
99,英語文學,,女生,人數,256,253,,6,27,61,143,213,240,251,2
100,英語文學,,女生,百分比,,,-,2.4%,10.7%,24.1%,56.5%,84.2%,94.9%,99.2%,0.8%
101,英語文學,,總數,人數,294,283,,6,27,64,153,230,258,273,10
102,英語文學,,總數,百分比,,,-,2.1%,9.5%,22.6%,54.1%,81.3%,91.2%,96.5%,3.5%
103,數學,必修部分,男生,人數,27002,25694,,648,2049,4529,10632,14987,20655,23550,2144
104,數學,必修部分,男生,百分比,,,44.5,2.5%,8.0%,17.6%,41.4%,58.3%,80.4%,91.7%,8.3%
105,數學,必修部分,女生,人數,25374,24564,,242,1057,3097,9446,14170,19953,22719,1845
106,數學,必修部分,女生,百分比,,,36.5,1.0%,4.3%,12.6%,38.5%,57.7%,81.2%,92.5%,7.5%
107,數學,必修部分,總數,人數,52376,50258,,890,3106,7626,20078,29157,40608,46269,3989
108,數學,必修部分,總數,百分比,,,40.6,1.8%,6.2%,15.2%,39.9%,58.0%,80.8%,92.1%,7.9%
109,數學,延伸部分 (微積分與統計),男生,人數,1786,1625,,43,177,451,835,1145,1385,1529,96
110,數學,延伸部分 (微積分與統計),男生,百分比,,,24.6,2.6%,10.9%,27.8%,51.4%,70.5%,85.2%,94.1%,5.9%
111,數學,延伸部分 (微積分與統計),女生,人數,1121,1054,,25,121,335,589,780,950,1017,37
112,數學,延伸部分 (微積分與統計),女生,百分比,,,17.1,2.4%,11.5%,31.8%,55.9%,74.0%,90.1%,96.5%,3.5%
113,數學,延伸部分 (微積分與統計),總數,人數,2907,2679,,68,298,786,1424,1925,2335,2546,133
114,數學,延伸部分 (微積分與統計),總數,百分比,,,21.6,2.5%,11.1%,29.3%,53.2%,71.9%,87.2%,95.0%,5.0%
115,數學,延伸部分 (代數與微積分),男生,人數,3836,3539,,170,623,1460,2186,2852,3283,3467,72
116,數學,延伸部分 (代數與微積分),男生,百分比,,,14.3,4.8%,17.6%,41.3%,61.8%,80.6%,92.8%,98.0%,2.0%
117,數學,延伸部分 (代數與微積分),女生,人數,1384,1301,,17,129,404,697,1000,1184,1267,34
118,數學,延伸部分 (代數與微積分),女生,百分比,,,15.0,1.3%,9.9%,31.1%,53.6%,76.9%,91.0%,97.4%,2.6%
119,數學,延伸部分 (代數與微積分),總數,人數,5220,4840,,187,752,1864,2883,3852,4467,4734,106
120,數學,延伸部分 (代數與微積分),總數,百分比,,,14.5,3.9%,15.5%,38.5%,59.6%,79.6%,92.3%,97.8%,2.2%
