行號,科目,性別,類別,報考人數,出席人數,表現 - a,表現 - b+,表現 - c+,表現 - d+,表現 - e+,表現 - U
1,法語,男生,人數,16,15,3,7,11,13,14,1
2,法語,男生,百分比,,,20.0%,46.7%,73.3%,86.7%,93.3%,6.7%
3,法語,女生,人數,24,21,6,10,12,15,17,4
4,法語,女生,百分比,,,28.6%,47.6%,57.1%,71.4%,81.0%,19.0%
5,法語,總數,人數,40,36,9,17,23,28,31,5
6,法語,總數,百分比,,,25.0%,47.2%,63.9%,77.8%,86.1%,13.9%
7,德語,男生,人數,0,0,-,-,-,-,-,-
8,德語,男生,百分比,,,-,-,-,-,-,-
9,德語,女生,人數,3,3,1,1,2,2,3,0
10,德語,女生,百分比,,,33.3%,33.3%,66.7%,66.7%,100.0%,0.0%
11,德語,總數,人數,3,3,1,1,2,2,3,0
12,德語,總數,百分比,,,33.3%,33.3%,66.7%,66.7%,100.0%,0.0%
13,印地語,男生,人數,5,3,0,0,2,2,3,0
14,印地語,男生,百分比,,,0.0%,0.0%,66.7%,66.7%,100.0%,0.0%
15,印地語,女生,人數,5,5,2,2,3,3,4,1
16,印地語,女生,百分比,,,40.0%,40.0%,60.0%,60.0%,80.0%,20.0%
17,印地語,總數,人數,10,8,2,2,5,5,7,1
18,印地語,總數,百分比,,,25.0%,25.0%,62.5%,62.5%,87.5%,12.5%
19,日語,男生,人數,96,92,47,68,77,82,88,4
20,日語,男生,百分比,,,51.1%,73.9%,83.7%,89.1%,95.7%,4.3%
21,日語,女生,人數,207,202,113,156,180,191,196,6
22,日語,女生,百分比,,,55.9%,77.2%,89.1%,94.6%,97.0%,3.0%
23,日語,總數,人數,303,294,160,224,257,273,284,10
24,日語,總數,百分比,,,54.4%,76.2%,87.4%,92.9%,96.6%,3.4%
25,西班牙語,男生,人數,11,10,3,6,7,8,10,0
26,西班牙語,男生,百分比,,,30.0%,60.0%,70.0%,80.0%,100.0%,0.0%
27,西班牙語,女生,人數,5,5,3,3,4,4,5,0
28,西班牙語,女生,百分比,,,60.0%,60.0%,80.0%,80.0%,100.0%,0.0%
29,西班牙語,總數,人數,16,15,6,9,11,12,15,0
30,西班牙語,總數,百分比,,,40.0%,60.0%,73.3%,80.0%,100.0%,0.0%
31,烏爾都語,男生,人數,14,9,5,6,6,6,6,3
32,烏爾都語,男生,百分比,,,55.6%,66.7%,66.7%,66.7%,66.7%,33.3%
33,烏爾都語,女生,人數,13,13,6,8,11,13,13,0
34,烏爾都語,女生,百分比,,,46.2%,61.5%,84.6%,100.0%,100.0%,0.0%
35,烏爾都語,總數,人數,27,22,11,14,17,19,19,3
36,烏爾都語,總數,百分比,,,50.0%,63.6%,77.3%,86.4%,86.4%,13.6%
37,所有丙類學科,男生,人數,142,129,58,87,103,111,121,8
38,所有丙類學科,男生,百分比,,,45.0%,67.4%,79.8%,86.0%,93.8%,6.2%
39,所有丙類學科,女生,人數,257,249,131,180,212,228,238,11
40,所有丙類學科,女生,百分比,,,52.6%,72.3%,85.1%,91.6%,95.6%,4.4%
41,所有丙類學科,總數,人數,399,378,189,267,315,339,359,19
42,所有丙類學科,總數,百分比,,,50.0%,70.6%,83.3%,89.7%,95.0%,5.0%
