行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 - 男生","日校考生應考最少五科
甲類學科／乙類學科 - 女生","日校考生應考最少五科
甲類學科／乙類學科 - 總數","全體考生應考最少五科
甲類學科／乙類學科 - 男生","全體考生應考最少五科
甲類學科／乙類學科 - 女生","全體考生應考最少五科
甲類學科／乙類學科 - 總數",,,,,,,
1,考生人數,人數,22692,22682,45374,23940,23586,47526,,,,,,,
2,總積點 10 – 12,人數,32,44,76,38,47,85,,,,,,,
3,總積點 10 – 12,百分比,0.1%,0.2%,0.2%,0.2%,0.2%,0.2%,,,,,,,
4,總積點 13 – 15,人數,513,993,1506,532,1023,1555,,,,,,,
5,總積點 13 – 15,百分比,2.3%,4.4%,3.3%,2.2%,4.3%,3.3%,,,,,,,
6,總積點 16 – 18,人數,1778,2832,4610,1844,2894,4738,,,,,,,
7,總積點 16 – 18,百分比,7.8%,12.5%,10.2%,7.7%,12.3%,10.0%,,,,,,,
8,總積點 19 – 21,人數,2347,3377,5724,2414,3436,5850,,,,,,,
9,總積點 19 – 21,百分比,10.3%,14.9%,12.6%,10.1%,14.6%,12.3%,,,,,,,
10,總積點 22 – 24,人數,1617,2125,3742,1662,2154,3816,,,,,,,
11,總積點 22 – 24,百分比,7.1%,9.4%,8.2%,6.9%,9.1%,8.0%,,,,,,,
12,總積點 25 – 27,人數,957,1208,2165,978,1234,2212,,,,,,,
13,總積點 25 – 27,百分比,4.2%,5.3%,4.8%,4.1%,5.2%,4.7%,,,,,,,
14,總積點 28 – 30,人數,546,672,1218,552,688,1240,,,,,,,
15,總積點 28 – 30,百分比,2.4%,3.0%,2.7%,2.3%,2.9%,2.6%,,,,,,,
16,總積點 31 – 33,人數,284,280,564,287,286,573,,,,,,,
17,總積點 31 – 33,百分比,1.3%,1.2%,1.2%,1.2%,1.2%,1.2%,,,,,,,
18,總積點 34 – 35,人數,101,84,185,101,85,186,,,,,,,
19,總積點 34 – 35,百分比,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,,,,,,,
