行號,項目,類別,"日校考生應考最少六科
甲類學科／乙類學科 - 男生","日校考生應考最少六科
甲類學科／乙類學科 - 女生","日校考生應考最少六科
甲類學科／乙類學科 - 總數","全體考生應考最少六科
甲類學科／乙類學科 - 男生","全體考生應考最少六科
甲類學科／乙類學科 - 女生","全體考生應考最少六科
甲類學科／乙類學科 - 總數",,,,,,,
1,考生人數,人數,19430,20504,39934,20276,21098,41374,,,,,,,
2,總積點 10 – 12,人數,3,9,12,3,10,13,,,,,,,
3,總積點 10 – 12,百分比,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,
4,總積點 13 – 15,人數,111,241,352,118,252,370,,,,,,,
5,總積點 13 – 15,百分比,0.6%,1.2%,0.9%,0.6%,1.2%,0.9%,,,,,,,
6,總積點 16 – 18,人數,605,1233,1838,628,1264,1892,,,,,,,
7,總積點 16 – 18,百分比,3.1%,6.0%,4.6%,3.1%,6.0%,4.6%,,,,,,,
8,總積點 19 – 21,人數,1557,2410,3967,1605,2449,4054,,,,,,,
9,總積點 19 – 21,百分比,8.0%,11.8%,9.9%,7.9%,11.6%,9.8%,,,,,,,
10,總積點 22 – 24,人數,2027,2757,4784,2073,2804,4877,,,,,,,
11,總積點 22 – 24,百分比,10.4%,13.4%,12.0%,10.2%,13.3%,11.8%,,,,,,,
12,總積點 25 – 27,人數,1519,2097,3616,1558,2121,3679,,,,,,,
13,總積點 25 – 27,百分比,7.8%,10.2%,9.1%,7.7%,10.1%,8.9%,,,,,,,
14,總積點 28 – 30,人數,951,1239,2190,973,1262,2235,,,,,,,
15,總積點 28 – 30,百分比,4.9%,6.0%,5.5%,4.8%,6.0%,5.4%,,,,,,,
16,總積點 31 – 33,人數,590,755,1345,600,773,1373,,,,,,,
17,總積點 31 – 33,百分比,3.0%,3.7%,3.4%,3.0%,3.7%,3.3%,,,,,,,
18,總積點 34 – 36,人數,328,381,709,331,388,719,,,,,,,
19,總積點 34 – 36,百分比,1.7%,1.9%,1.8%,1.6%,1.8%,1.7%,,,,,,,
20,總積點 37 – 39,人數,178,178,356,179,182,361,,,,,,,
21,總積點 37 – 39,百分比,0.9%,0.9%,0.9%,0.9%,0.9%,0.9%,,,,,,,
22,總積點 40 – 42,人數,90,74,164,90,75,165,,,,,,,
23,總積點 40 – 42,百分比,0.5%,0.4%,0.4%,0.4%,0.4%,0.4%,,,,,,,
