行號,項目,類別,"日校考生應考最少六科
甲類學科／乙類學科 (任何六科#) - 男生","日校考生應考最少六科
甲類學科／乙類學科 (任何六科#) - 女生","日校考生應考最少六科
甲類學科／乙類學科 (任何六科#) - 總數","日校考生應考最少六科
甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 男生","日校考生應考最少六科
甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 女生","日校考生應考最少六科
甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 總數",,,,,,,
1,考生人數,人數,19430,20504,39934,19430,20504,39934,,,,,,,
2,總積點 16 – 18,人數,175,260,435,179,271,450,,,,,,,
3,總積點 16 – 18,百分比,0.9%,1.3%,1.1%,0.9%,1.3%,1.1%,,,,,,,
4,總積點 19 – 21,人數,1261,1791,3052,1279,1801,3080,,,,,,,
5,總積點 19 – 21,百分比,6.5%,8.7%,7.6%,6.6%,8.8%,7.7%,,,,,,,
6,總積點 22 – 24,人數,1984,2685,4669,2081,2769,4850,,,,,,,
7,總積點 22 – 24,百分比,10.2%,13.1%,11.7%,10.7%,13.5%,12.1%,,,,,,,
8,總積點 25 – 27,人數,1517,2086,3603,1541,2055,3596,,,,,,,
9,總積點 25 – 27,百分比,7.8%,10.2%,9.0%,7.9%,10.0%,9.0%,,,,,,,
10,總積點 28 – 30,人數,951,1239,2190,969,1272,2241,,,,,,,
11,總積點 28 – 30,百分比,4.9%,6.0%,5.5%,5.0%,6.2%,5.6%,,,,,,,
12,總積點 31 – 33,人數,590,755,1345,565,730,1295,,,,,,,
13,總積點 31 – 33,百分比,3.0%,3.7%,3.4%,2.9%,3.6%,3.2%,,,,,,,
14,總積點 34 – 36,人數,328,381,709,271,360,631,,,,,,,
15,總積點 34 – 36,百分比,1.7%,1.9%,1.8%,1.4%,1.8%,1.6%,,,,,,,
16,總積點 37 – 39,人數,178,178,356,141,145,286,,,,,,,
17,總積點 37 – 39,百分比,0.9%,0.9%,0.9%,0.7%,0.7%,0.7%,,,,,,,
18,總積點 40 – 42,人數,90,74,164,48,46,94,,,,,,,
19,總積點 40 – 42,百分比,0.5%,0.4%,0.4%,0.2%,0.2%,0.2%,,,,,,,
