行號,項目,類別,"全體考生應考最少六科
甲類學科／乙類學科 (任何六科#) - 男生","全體考生應考最少六科
甲類學科／乙類學科 (任何六科#) - 女生","全體考生應考最少六科
甲類學科／乙類學科 (任何六科#) - 總數","全體考生應考最少六科
甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 男生","全體考生應考最少六科
甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 女生","全體考生應考最少六科
甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 總數",,,,,,,
1,考生人數,人數,20276,21098,41374,20276,21098,41374,,,,,,,
2,總積點 16 – 18,人數,179,264,443,183,275,458,,,,,,,
3,總積點 16 – 18,百分比,0.9%,1.3%,1.1%,0.9%,1.3%,1.1%,,,,,,,
4,總積點 19 – 21,人數,1295,1818,3113,1313,1828,3141,,,,,,,
5,總積點 19 – 21,百分比,6.4%,8.6%,7.5%,6.5%,8.7%,7.6%,,,,,,,
6,總積點 22 – 24,人數,2030,2731,4761,2131,2815,4946,,,,,,,
7,總積點 22 – 24,百分比,10.0%,12.9%,11.5%,10.5%,13.3%,12.0%,,,,,,,
8,總積點 25 – 27,人數,1556,2110,3666,1582,2080,3662,,,,,,,
9,總積點 25 – 27,百分比,7.7%,10.0%,8.9%,7.8%,9.9%,8.9%,,,,,,,
10,總積點 28 – 30,人數,973,1262,2235,990,1294,2284,,,,,,,
11,總積點 28 – 30,百分比,4.8%,6.0%,5.4%,4.9%,6.1%,5.5%,,,,,,,
12,總積點 31 – 33,人數,600,773,1373,572,748,1320,,,,,,,
13,總積點 31 – 33,百分比,3.0%,3.7%,3.3%,2.8%,3.5%,3.2%,,,,,,,
14,總積點 34 – 36,人數,331,388,719,273,367,640,,,,,,,
15,總積點 34 – 36,百分比,1.6%,1.8%,1.7%,1.3%,1.7%,1.5%,,,,,,,
16,總積點 37 – 39,人數,179,182,361,141,149,290,,,,,,,
17,總積點 37 – 39,百分比,0.9%,0.9%,0.9%,0.7%,0.7%,0.7%,,,,,,,
18,總積點 40 – 42,人數,90,75,165,48,47,95,,,,,,,
19,總積點 40 – 42,百分比,0.4%,0.4%,0.4%,0.2%,0.2%,0.2%,,,,,,,
