行號,數學必修部分成績,類別,數學延伸部分成績 - 5**,數學延伸部分成績 - 5*,數學延伸部分成績 - 5,數學延伸部分成績 - 4,數學延伸部分成績 - 3,數學延伸部分成績 - 2,數學延伸部分成績 - 1,數學延伸部分成績 - U,總數,,,,,,,,,,
1,5**,人數,140,254,170,28,6,4,,,602,,,,,,,,,,
2,5**,百分比,2.1%,3.8%,2.6%,0.4%,0.1%,0.1%,,,9.1%,,,,,,,,,,
3,5*,人數,55,300,596,290,74,11,2,,1328,,,,,,,,,,
4,5*,百分比,0.8%,4.5%,9.0%,4.4%,1.1%,0.2%,0.0%,,20.1%,,,,,,,,,,
5,5,人數,12,123,538,668,363,95,14,,1813,,,,,,,,,,
6,5,百分比,0.2%,1.9%,8.1%,10.1%,5.5%,1.4%,0.2%,,27.4%,,,,,,,,,,
7,4,人數,1,15,118,474,802,599,191,44,2244,,,,,,,,,,
8,4,百分比,0.0%,0.2%,1.8%,7.2%,12.1%,9.1%,2.9%,0.7%,34.0%,,,,,,,,,,
9,3,人數,,,,16,61,174,168,73,492,,,,,,,,,,
10,3,百分比,,,,0.2%,0.9%,2.6%,2.5%,1.1%,7.4%,,,,,,,,,,
11,2,人數,,,,,1,20,40,64,125,,,,,,,,,,
12,2,百分比,,,,,0.0%,0.3%,0.6%,1.0%,1.9%,,,,,,,,,,
13,1,人數,,,,,,,,3,3,,,,,,,,,,
14,1,百分比,,,,,,,,0.0%,0.0%,,,,,,,,,,
15,U,人數,,,,,,,,,,,,,,,,,,,
16,U,百分比,,,,,,,,,,,,,,,,,,,
17,總數,人數,208,692,1422,1476,1307,903,415,184,6607,,,,,,,,,,
18,總數,百分比,3.1%,10.5%,21.5%,22.3%,19.8%,13.7%,6.3%,2.8%,100.0%,,,,,,,,,,
