行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
1,生物,,男生,人數,5213,5043,,104,404,997,2276,3554,4459,4865,178
2,生物,,男生,百分比,,,40.3,2.1%,8.0%,19.8%,45.1%,70.5%,88.4%,96.5%,3.5%
3,生物,,女生,人數,7144,6992,,118,525,1310,3250,5120,6398,6862,130
4,生物,,女生,百分比,,,34.2,1.7%,7.5%,18.7%,46.5%,73.2%,91.5%,98.1%,1.9%
5,生物,,總數,人數,12357,12035,,222,929,2307,5526,8674,10857,11727,308
6,生物,,總數,百分比,,,36.8,1.8%,7.7%,19.2%,45.9%,72.1%,90.2%,97.4%,2.6%
7,企業、會計與財務概論,會計,男生,人數,3027,2883,,49,186,430,1202,1938,2583,2818,65
8,企業、會計與財務概論,會計,男生,百分比,,,38.4,1.7%,6.5%,14.9%,41.7%,67.2%,89.6%,97.7%,2.3%
9,企業、會計與財務概論,會計,女生,人數,3760,3696,,44,201,518,1686,2693,3438,3638,58
10,企業、會計與財務概論,會計,女生,百分比,,,28.3,1.2%,5.4%,14.0%,45.6%,72.9%,93.0%,98.4%,1.6%
11,企業、會計與財務概論,會計,總數,人數,6787,6579,,93,387,948,2888,4631,6021,6456,123
12,企業、會計與財務概論,會計,總數,百分比,,,32.7,1.4%,5.9%,14.4%,43.9%,70.4%,91.5%,98.1%,1.9%
13,企業、會計與財務概論,商業管理,男生,人數,1199,1138,,4,24,66,270,601,958,1084,54
14,企業、會計與財務概論,商業管理,男生,百分比,,,75.5,0.4%,2.1%,5.8%,23.7%,52.8%,84.2%,95.3%,4.7%
15,企業、會計與財務概論,商業管理,女生,人數,1297,1258,,15,48,110,435,810,1137,1233,25
16,企業、會計與財務概論,商業管理,女生,百分比,,,67.3,1.2%,3.8%,8.7%,34.6%,64.4%,90.4%,98.0%,2.0%
17,企業、會計與財務概論,商業管理,總數,人數,2496,2396,,19,72,176,705,1411,2095,2317,79
18,企業、會計與財務概論,商業管理,總數,百分比,,,71.2,0.8%,3.0%,7.3%,29.4%,58.9%,87.4%,96.7%,3.3%
19,化學,,男生,人數,6399,6224,,185,687,1607,3148,4672,5406,5933,291
20,化學,,男生,百分比,,,26.8,3.0%,11.0%,25.8%,50.6%,75.1%,86.9%,95.3%,4.7%
21,化學,,女生,人數,5316,5223,,92,457,1243,2626,3983,4644,5051,172
22,化學,,女生,百分比,,,18.7,1.8%,8.7%,23.8%,50.3%,76.3%,88.9%,96.7%,3.3%
23,化學,,總數,人數,11715,11447,,277,1144,2850,5774,8655,10050,10984,463
24,化學,,總數,百分比,,,23.1,2.4%,10.0%,24.9%,50.4%,75.6%,87.8%,96.0%,4.0%
25,中國歷史,,男生,人數,2395,2288,,29,105,250,751,1444,2042,2196,92
26,中國歷史,,男生,百分比,,,-,1.3%,4.6%,10.9%,32.8%,63.1%,89.2%,96.0%,4.0%
27,中國歷史,,女生,人數,3104,3008,,40,169,437,1210,2153,2795,2970,38
28,中國歷史,,女生,百分比,,,-,1.3%,5.6%,14.5%,40.2%,71.6%,92.9%,98.7%,1.3%
29,中國歷史,,總數,人數,5499,5296,,69,274,687,1961,3597,4837,5166,130
30,中國歷史,,總數,百分比,,,-,1.3%,5.2%,13.0%,37.0%,67.9%,91.3%,97.5%,2.5%
31,中國語文,,男生,人數,21801,21403,,115,431,1224,4682,9965,17250,20380,1023
32,中國語文,,男生,百分比,,,-,0.5%,2.0%,5.7%,21.9%,46.6%,80.6%,95.2%,4.8%
33,中國語文,,女生,人數,21498,21257,,352,1352,3247,9237,14957,19730,20967,290
34,中國語文,,女生,百分比,,,-,1.7%,6.4%,15.3%,43.5%,70.4%,92.8%,98.6%,1.4%
35,中國語文,,總數,人數,43299,42660,,467,1783,4471,13919,24922,36980,41347,1313
36,中國語文,,總數,百分比,,,-,1.1%,4.2%,10.5%,32.6%,58.4%,86.7%,96.9%,3.1%
37,中國文學,,男生,人數,278,272,,6,10,26,56,142,224,260,12
38,中國文學,,男生,百分比,,,-,2.2%,3.7%,9.6%,20.6%,52.2%,82.4%,95.6%,4.4%
39,中國文學,,女生,人數,1011,988,,11,58,143,371,693,906,969,19
40,中國文學,,女生,百分比,,,-,1.1%,5.9%,14.5%,37.6%,70.1%,91.7%,98.1%,1.9%
41,中國文學,,總數,人數,1289,1260,,17,68,169,427,835,1130,1229,31
42,中國文學,,總數,百分比,,,-,1.3%,5.4%,13.4%,33.9%,66.3%,89.7%,97.5%,2.5%
43,設計與應用科技,,男生,人數,335,309,,1,2,8,36,70,190,269,40
44,設計與應用科技,,男生,百分比,,,94.5,0.3%,0.6%,2.6%,11.7%,22.7%,61.5%,87.1%,12.9%
45,設計與應用科技,,女生,人數,177,154,,0,3,5,18,40,98,135,19
46,設計與應用科技,,女生,百分比,,,90.3,0.0%,1.9%,3.2%,11.7%,26.0%,63.6%,87.7%,12.3%
47,設計與應用科技,,總數,人數,512,463,,1,5,13,54,110,288,404,59
48,設計與應用科技,,總數,百分比,,,93.1,0.2%,1.1%,2.8%,11.7%,23.8%,62.2%,87.3%,12.7%
49,經濟,,男生,人數,5487,5291,,108,399,976,2397,3528,4467,5002,289
50,經濟,,男生,百分比,,,42.5,2.0%,7.5%,18.4%,45.3%,66.7%,84.4%,94.5%,5.5%
51,經濟,,女生,人數,6135,6012,,112,396,1068,2843,4255,5295,5809,203
52,經濟,,女生,百分比,,,34.1,1.9%,6.6%,17.8%,47.3%,70.8%,88.1%,96.6%,3.4%
53,經濟,,總數,人數,11622,11303,,220,795,2044,5240,7783,9762,10811,492
54,經濟,,總數,百分比,,,38,1.9%,7.0%,18.1%,46.4%,68.9%,86.4%,95.6%,4.4%
55,英國語文,,男生,人數,22365,21912,,150,689,1830,5660,11042,16668,19774,2138
56,英國語文,,男生,百分比,,,-,0.7%,3.1%,8.4%,25.8%,50.4%,76.1%,90.2%,9.8%
57,英國語文,,女生,人數,22068,21816,,301,1080,2642,7270,12990,18427,20788,1028
58,英國語文,,女生,百分比,,,-,1.4%,5.0%,12.1%,33.3%,59.5%,84.5%,95.3%,4.7%
59,英國語文,,總數,人數,44433,43728,,451,1769,4472,12930,24032,35095,40562,3166
60,英國語文,,總數,百分比,,,-,1.0%,4.0%,10.2%,29.6%,55.0%,80.3%,92.8%,7.2%
61,倫理與宗教,,男生,人數,316,300,,1,5,12,50,137,247,280,20
62,倫理與宗教,,男生,百分比,,,93.3,0.3%,1.7%,4.0%,16.7%,45.7%,82.3%,93.3%,6.7%
63,倫理與宗教,,女生,人數,411,400,,4,16,36,134,293,376,392,8
64,倫理與宗教,,女生,百分比,,,94.3,1.0%,4.0%,9.0%,33.5%,73.3%,94.0%,98.0%,2.0%
65,倫理與宗教,,總數,人數,727,700,,5,21,48,184,430,623,672,28
66,倫理與宗教,,總數,百分比,,,93.9,0.7%,3.0%,6.9%,26.3%,61.4%,89.0%,96.0%,4.0%
67,地理,,男生,人數,3602,3463,,36,141,378,1210,2144,3005,3353,110
68,地理,,男生,百分比,,,60.8,1.0%,4.1%,10.9%,34.9%,61.9%,86.8%,96.8%,3.2%
69,地理,,女生,人數,4694,4598,,58,257,587,1887,3077,4107,4504,94
70,地理,,女生,百分比,,,48.5,1.3%,5.6%,12.8%,41.0%,66.9%,89.3%,98.0%,2.0%
71,地理,,總數,人數,8296,8061,,94,398,965,3097,5221,7112,7857,204
72,地理,,總數,百分比,,,53.8,1.2%,4.9%,12.0%,38.4%,64.8%,88.2%,97.5%,2.5%
73,健康管理與社會關懷,,男生,人數,228,210,,0,0,4,15,58,151,187,23
74,健康管理與社會關懷,,男生,百分比,,,92.9,0.0%,0.0%,1.9%,7.1%,27.6%,71.9%,89.0%,11.0%
75,健康管理與社會關懷,,女生,人數,465,454,,3,10,22,101,238,391,436,18
76,健康管理與社會關懷,,女生,百分比,,,88.5,0.7%,2.2%,4.8%,22.2%,52.4%,86.1%,96.0%,4.0%
77,健康管理與社會關懷,,總數,人數,693,664,,3,10,26,116,296,542,623,41
78,健康管理與社會關懷,,總數,百分比,,,89.9,0.5%,1.5%,3.9%,17.5%,44.6%,81.6%,93.8%,6.2%
79,歷史,,男生,人數,2138,2072,,18,94,234,864,1492,1936,2043,29
80,歷史,,男生,百分比,,,68,0.9%,4.5%,11.3%,41.7%,72.0%,93.4%,98.6%,1.4%
81,歷史,,女生,人數,2610,2571,,41,156,391,1266,1992,2472,2557,14
82,歷史,,女生,百分比,,,51,1.6%,6.1%,15.2%,49.2%,77.5%,96.1%,99.5%,0.5%
83,歷史,,總數,人數,4748,4643,,59,250,625,2130,3484,4408,4600,43
84,歷史,,總數,百分比,,,58.6,1.3%,5.4%,13.5%,45.9%,75.0%,94.9%,99.1%,0.9%
85,資訊及通訊科技,,男生,人數,3960,3785,,40,155,375,1084,2017,3055,3571,214
