行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),"達標並表現優異(I)
或以上",達標或以上,未達標
1,應用科學,動物護理,男生,人數,13,13,5,10,13,0
2,應用科學,動物護理,男生,百分比,,,38.5%,76.9%,100.0%,0.0%
3,應用科學,動物護理,女生,人數,49,38,6,18,35,3
4,應用科學,動物護理,女生,百分比,,,15.8%,47.4%,92.1%,7.9%
5,應用科學,動物護理,總數,人數,62,51,11,28,48,3
6,應用科學,動物護理,總數,百分比,,,21.6%,54.9%,94.1%,5.9%
7,應用科學,應用心理學,男生,人數,52,48,6,24,45,3
8,應用科學,應用心理學,男生,百分比,,,12.5%,50.0%,93.8%,6.3%
9,應用科學,應用心理學,女生,人數,57,54,10,26,52,2
10,應用科學,應用心理學,女生,百分比,,,18.5%,48.1%,96.3%,3.7%
11,應用科學,應用心理學,總數,人數,109,102,16,50,97,5
12,應用科學,應用心理學,總數,百分比,,,15.7%,49.0%,95.1%,4.9%
13,應用科學,運動科學及體適能,男生,人數,36,32,2,9,31,1
14,應用科學,運動科學及體適能,男生,百分比,,,6.3%,28.1%,96.9%,3.1%
15,應用科學,運動科學及體適能,女生,人數,12,12,2,4,12,0
16,應用科學,運動科學及體適能,女生,百分比,,,16.7%,33.3%,100.0%,0.0%
17,應用科學,運動科學及體適能,總數,人數,48,44,4,13,43,1
18,應用科學,運動科學及體適能,總數,百分比,,,9.1%,29.5%,97.7%,2.3%
19,應用科學,中醫藥學基礎,男生,人數,46,37,7,16,34,3
20,應用科學,中醫藥學基礎,男生,百分比,,,18.9%,43.2%,91.9%,8.1%
21,應用科學,中醫藥學基礎,女生,人數,59,52,9,21,49,3
22,應用科學,中醫藥學基礎,女生,百分比,,,17.3%,40.4%,94.2%,5.8%
23,應用科學,中醫藥學基礎,總數,人數,105,89,16,37,83,6
24,應用科學,中醫藥學基礎,總數,百分比,,,18.0%,41.6%,93.3%,6.7%
25,應用科學,健康護理實務,男生,人數,36,33,1,5,33,0
26,應用科學,健康護理實務,男生,百分比,,,3.0%,15.2%,100.0%,0.0%
27,應用科學,健康護理實務,女生,人數,77,73,9,32,73,0
28,應用科學,健康護理實務,女生,百分比,,,12.3%,43.8%,100.0%,0.0%
29,應用科學,健康護理實務,總數,人數,113,106,10,37,106,0
30,應用科學,健康護理實務,總數,百分比,,,9.4%,34.9%,100.0%,0.0%
31,應用科學,醫務化驗科學,男生,人數,15,11,6,7,11,0
32,應用科學,醫務化驗科學,男生,百分比,,,54.5%,63.6%,100.0%,0.0%
33,應用科學,醫務化驗科學,女生,人數,41,41,21,32,39,2
34,應用科學,醫務化驗科學,女生,百分比,,,51.2%,78.0%,95.1%,4.9%
35,應用科學,醫務化驗科學,總數,人數,56,52,27,39,50,2
36,應用科學,醫務化驗科學,總數,百分比,,,51.9%,75.0%,96.2%,3.8%
37,應用科學,實用心理學,男生,人數,47,44,5,17,44,0
38,應用科學,實用心理學,男生,百分比,,,11.4%,38.6%,100.0%,0.0%
39,應用科學,實用心理學,女生,人數,55,54,14,32,54,0
40,應用科學,實用心理學,女生,百分比,,,25.9%,59.3%,100.0%,0.0%
41,應用科學,實用心理學,總數,人數,102,98,19,49,98,0
42,應用科學,實用心理學,總數,百分比,,,19.4%,50.0%,100.0%,0.0%
43,應用科學,運動及體適能教練,男生,人數,94,61,2,9,55,6
44,應用科學,運動及體適能教練,男生,百分比,,,3.3%,14.8%,90.2%,9.8%
45,應用科學,運動及體適能教練,女生,人數,29,17,0,2,14,3
46,應用科學,運動及體適能教練,女生,百分比,,,0.0%,11.8%,82.4%,17.6%
47,應用科學,運動及體適能教練,總數,人數,123,78,2,11,69,9
48,應用科學,運動及體適能教練,總數,百分比,,,2.6%,14.1%,88.5%,11.5%
49,商業、管理及法律,會計實務,男生,人數,23,19,0,5,13,6
50,商業、管理及法律,會計實務,男生,百分比,,,0.0%,26.3%,68.4%,31.6%
51,商業、管理及法律,會計實務,女生,人數,15,15,2,9,14,1
52,商業、管理及法律,會計實務,女生,百分比,,,13.3%,60.0%,93.3%,6.7%
53,商業、管理及法律,會計實務,總數,人數,38,34,2,14,27,7
54,商業、管理及法律,會計實務,總數,百分比,,,5.9%,41.2%,79.4%,20.6%
55,商業、管理及法律,商業數據分析,男生,人數,15,13,1,4,11,2
56,商業、管理及法律,商業數據分析,男生,百分比,,,7.7%,30.8%,84.6%,15.4%
57,商業、管理及法律,商業數據分析,女生,人數,2,2,1,1,2,0
58,商業、管理及法律,商業數據分析,女生,百分比,,,50.0%,50.0%,100.0%,0.0%
59,商業、管理及法律,商業數據分析,總數,人數,17,15,2,5,13,2
60,商業、管理及法律,商業數據分析,總數,百分比,,,13.3%,33.3%,86.7%,13.3%
61,商業、管理及法律,中小企創業實務,男生,人數,14,13,0,2,12,1
62,商業、管理及法律,中小企創業實務,男生,百分比,,,0.0%,15.4%,92.3%,7.7%
63,商業、管理及法律,中小企創業實務,女生,人數,12,12,2,3,12,0
64,商業、管理及法律,中小企創業實務,女生,百分比,,,16.7%,25.0%,100.0%,0.0%
65,商業、管理及法律,中小企創業實務,總數,人數,26,25,2,5,24,1
66,商業、管理及法律,中小企創業實務,總數,百分比,,,8.0%,20.0%,96.0%,4.0%
67,商業、管理及法律,香港執法實務,男生,人數,25,21,3,6,20,1
68,商業、管理及法律,香港執法實務,男生,百分比,,,14.3%,28.6%,95.2%,4.8%
69,商業、管理及法律,香港執法實務,女生,人數,22,22,4,9,22,0
70,商業、管理及法律,香港執法實務,女生,百分比,,,18.2%,40.9%,100.0%,0.0%
71,商業、管理及法律,香港執法實務,總數,人數,47,43,7,15,42,1
72,商業、管理及法律,香港執法實務,總數,百分比,,,16.3%,34.9%,97.7%,2.3%
73,商業、管理及法律,市場營銷及網上推廣,男生,人數,12,10,0,2,10,0
74,商業、管理及法律,市場營銷及網上推廣,男生,百分比,,,0.0%,20.0%,100.0%,0.0%
75,商業、管理及法律,市場營銷及網上推廣,女生,人數,10,10,2,5,9,1
76,商業、管理及法律,市場營銷及網上推廣,女生,百分比,,,20.0%,50.0%,90.0%,10.0%
77,商業、管理及法律,市場營銷及網上推廣,總數,人數,22,20,2,7,19,1
78,商業、管理及法律,市場營銷及網上推廣,總數,百分比,,,10.0%,35.0%,95.0%,5.0%
79,創意學習,電腦遊戲及動畫設計,男生,人數,155,141,10,31,128,13
80,創意學習,電腦遊戲及動畫設計,男生,百分比,,,7.1%,22.0%,90.8%,9.2%
81,創意學習,電腦遊戲及動畫設計,女生,人數,66,62,3,22,62,0
82,創意學習,電腦遊戲及動畫設計,女生,百分比,,,4.8%,35.5%,100.0%,0.0%
83,創意學習,電腦遊戲及動畫設計,總數,人數,221,203,13,53,190,13
84,創意學習,電腦遊戲及動畫設計,總數,百分比,,,6.4%,26.1%,93.6%,6.4%
85,創意學習,時裝形象設計,男生,人數,37,31,0,3,26,5
86,創意學習,時裝形象設計,男生,百分比,,,0.0%,9.7%,83.9%,16.1%
87,創意學習,時裝形象設計,女生,人數,115,112,8,28,112,0
88,創意學習,時裝形象設計,女生,百分比,,,7.1%,25.0%,100.0%,0.0%
89,創意學習,時裝形象設計,總數,人數,152,143,8,31,138,5
90,創意學習,時裝形象設計,總數,百分比,,,5.6%,21.7%,96.5%,3.5%
91,創意學習,室內設計,男生,人數,46,40,4,12,37,3
92,創意學習,室內設計,男生,百分比,,,10.0%,30.0%,92.5%,7.5%
93,創意學習,室內設計,女生,人數,33,28,2,14,28,0
94,創意學習,室內設計,女生,百分比,,,7.1%,50.0%,100.0%,0.0%
95,創意學習,室內設計,總數,人數,79,68,6,26,65,3
96,創意學習,室內設計,總數,百分比,,,8.8%,38.2%,95.6%,4.4%
97,創意學習,珠寶及時尚首飾設計,男生,人數,5,3,0,1,3,0
98,創意學習,珠寶及時尚首飾設計,男生,百分比,,,0.0%,33.3%,100.0%,0.0%
99,創意學習,珠寶及時尚首飾設計,女生,人數,17,15,1,4,14,1
100,創意學習,珠寶及時尚首飾設計,女生,百分比,,,6.7%,26.7%,93.3%,6.7%
101,創意學習,珠寶及時尚首飾設計,總數,人數,22,18,1,5,17,1
102,創意學習,珠寶及時尚首飾設計,總數,百分比,,,5.6%,27.8%,94.4%,5.6%
103,創意學習,舞出新機－舞蹈藝術,男生,人數,2,2,0,1,2,0
104,創意學習,舞出新機－舞蹈藝術,男生,百分比,,,0.0%,50.0%,100.0%,0.0%
105,創意學習,舞出新機－舞蹈藝術,女生,人數,43,42,4,16,42,0
106,創意學習,舞出新機－舞蹈藝術,女生,百分比,,,9.5%,38.1%,100.0%,0.0%
107,創意學習,舞出新機－舞蹈藝術,總數,人數,45,44,4,17,44,0
108,創意學習,舞出新機－舞蹈藝術,總數,百分比,,,9.1%,38.6%,100.0%,0.0%
109,工程及生產,航空學,男生,人數,214,187,11,45,173,14
110,工程及生產,航空學,男生,百分比,,,5.9%,24.1%,92.5%,7.5%
111,工程及生產,航空學,女生,人數,96,91,8,28,87,4
112,工程及生產,航空學,女生,百分比,,,8.8%,30.8%,95.6%,4.4%
113,工程及生產,航空學,總數,人數,310,278,19,73,260,18
114,工程及生產,航空學,總數,百分比,,,6.8%,26.3%,93.5%,6.5%
115,工程及生產,電腦鑑證科技,男生,人數,29,25,5,12,25,0
116,工程及生產,電腦鑑證科技,男生,百分比,,,20.0%,48.0%,100.0%,0.0%
117,工程及生產,電腦鑑證科技,女生,人數,2,2,0,0,2,0
118,工程及生產,電腦鑑證科技,女生,百分比,,,0.0%,0.0%,100.0%,0.0%
119,工程及生產,電腦鑑證科技,總數,人數,31,27,5,12,27,0
120,工程及生產,電腦鑑證科技,總數,百分比,,,18.5%,44.4%,100.0%,0.0%
121,工程及生產,電機及能源工程,男生,人數,64,56,4,16,53,3
122,工程及生產,電機及能源工程,男生,百分比,,,7.1%,28.6%,94.6%,5.4%
123,工程及生產,電機及能源工程,女生,人數,3,3,0,1,3,0
124,工程及生產,電機及能源工程,女生,百分比,,,0.0%,33.3%,100.0%,0.0%
125,工程及生產,電機及能源工程,總數,人數,67,59,4,17,56,3
126,工程及生產,電機及能源工程,總數,百分比,,,6.8%,28.8%,94.9%,5.1%
127,工程及生產,物聯網應用,男生,人數,22,17,3,6,17,0
128,工程及生產,物聯網應用,男生,百分比,,,17.6%,35.3%,100.0%,0.0%
129,工程及生產,物聯網應用,女生,人數,2,2,0,1,2,0
130,工程及生產,物聯網應用,女生,百分比,,,0.0%,50.0%,100.0%,0.0%
131,工程及生產,物聯網應用,總數,人數,24,19,3,7,19,0
132,工程及生產,物聯網應用,總數,百分比,,,15.8%,36.8%,100.0%,0.0%
133,工程及生產,鐵路學,男生,人數,44,34,2,5,26,8
134,工程及生產,鐵路學,男生,百分比,,,5.9%,14.7%,76.5%,23.5%
135,工程及生產,鐵路學,女生,人數,1,1,0,0,1,0
136,工程及生產,鐵路學,女生,百分比,,,0.0%,0.0%,100.0%,0.0%
137,工程及生產,鐵路學,總數,人數,45,35,2,5,27,8
138,工程及生產,鐵路學,總數,百分比,,,5.7%,14.3%,77.1%,22.9%
139,媒體及傳意,創意廣告,男生,人數,8,5,1,2,5,0
140,媒體及傳意,創意廣告,男生,百分比,,,20.0%,40.0%,100.0%,0.0%
141,媒體及傳意,創意廣告,女生,人數,10,9,2,5,6,3
142,媒體及傳意,創意廣告,女生,百分比,,,22.2%,55.6%,66.7%,33.3%
143,媒體及傳意,創意廣告,總數,人數,18,14,3,7,11,3
144,媒體及傳意,創意廣告,總數,百分比,,,21.4%,50.0%,78.6%,21.4%
145,媒體及傳意,電影及錄像,男生,人數,113,103,6,21,80,23
146,媒體及傳意,電影及錄像,男生,百分比,,,5.8%,20.4%,77.7%,22.3%
147,媒體及傳意,電影及錄像,女生,人數,57,54,2,8,51,3
148,媒體及傳意,電影及錄像,女生,百分比,,,3.7%,14.8%,94.4%,5.6%
149,媒體及傳意,電影及錄像,總數,人數,170,157,8,29,131,26
150,媒體及傳意,電影及錄像,總數,百分比,,,5.1%,18.5%,83.4%,16.6%
151,媒體及傳意,雜誌編輯與製作,男生,人數,5,3,0,0,3,0
152,媒體及傳意,雜誌編輯與製作,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
153,媒體及傳意,雜誌編輯與製作,女生,人數,10,9,2,6,9,0
154,媒體及傳意,雜誌編輯與製作,女生,百分比,,,22.2%,66.7%,100.0%,0.0%
155,媒體及傳意,雜誌編輯與製作,總數,人數,15,12,2,6,12,0
156,媒體及傳意,雜誌編輯與製作,總數,百分比,,,16.7%,50.0%,100.0%,0.0%
157,媒體及傳意,公關及傳訊,男生,人數,13,9,0,1,7,2
158,媒體及傳意,公關及傳訊,男生,百分比,,,0.0%,11.1%,77.8%,22.2%
159,媒體及傳意,公關及傳訊,女生,人數,11,10,2,7,9,1
160,媒體及傳意,公關及傳訊,女生,百分比,,,20.0%,70.0%,90.0%,10.0%
161,媒體及傳意,公關及傳訊,總數,人數,24,19,2,8,16,3
162,媒體及傳意,公關及傳訊,總數,百分比,,,10.5%,42.1%,84.2%,15.8%
163,服務,幼兒教育,男生,人數,6,6,0,1,6,0
164,服務,幼兒教育,男生,百分比,,,0.0%,16.7%,100.0%,0.0%
165,服務,幼兒教育,女生,人數,169,167,12,51,159,8
166,服務,幼兒教育,女生,百分比,,,7.2%,30.5%,95.2%,4.8%
167,服務,幼兒教育,總數,人數,175,173,12,52,165,8
168,服務,幼兒教育,總數,百分比,,,6.9%,30.1%,95.4%,4.6%
169,服務,美容學基礎,男生,人數,2,2,0,0,2,0
170,服務,美容學基礎,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
171,服務,美容學基礎,女生,人數,81,73,3,14,71,2
172,服務,美容學基礎,女生,百分比,,,4.1%,19.2%,97.3%,2.7%
173,服務,美容學基礎,總數,人數,83,75,3,14,73,2
174,服務,美容學基礎,總數,百分比,,,4.0%,18.7%,97.3%,2.7%
175,服務,酒店服務營運,男生,人數,62,56,0,8,56,0
176,服務,酒店服務營運,男生,百分比,,,0.0%,14.3%,100.0%,0.0%
177,服務,酒店服務營運,女生,人數,73,72,11,23,64,8
178,服務,酒店服務營運,女生,百分比,,,15.3%,31.9%,88.9%,11.1%
179,服務,酒店服務營運,總數,人數,135,128,11,31,120,8
180,服務,酒店服務營運,總數,百分比,,,8.6%,24.2%,93.8%,6.3%
181,服務,酒店營運,男生,人數,57,54,0,2,52,2
182,服務,酒店營運,男生,百分比,,,0.0%,3.7%,96.3%,3.7%
183,服務,酒店營運,女生,人數,60,56,3,13,56,0
184,服務,酒店營運,女生,百分比,,,5.4%,23.2%,100.0%,0.0%
185,服務,酒店營運,總數,人數,117,110,3,15,108,2
186,服務,酒店營運,總數,百分比,,,2.7%,13.6%,98.2%,1.8%
187,服務,甜品及咖啡店營運,男生,人數,81,69,0,7,67,2
188,服務,甜品及咖啡店營運,男生,百分比,,,0.0%,10.1%,97.1%,2.9%
189,服務,甜品及咖啡店營運,女生,人數,120,106,10,34,106,0
190,服務,甜品及咖啡店營運,女生,百分比,,,9.4%,32.1%,100.0%,0.0%
191,服務,甜品及咖啡店營運,總數,人數,201,175,10,41,173,2
192,服務,甜品及咖啡店營運,總數,百分比,,,5.7%,23.4%,98.9%,1.1%
193,服務,西式食品製作,男生,人數,300,260,1,15,236,24
194,服務,西式食品製作,男生,百分比,,,0.4%,5.8%,90.8%,9.2%
195,服務,西式食品製作,女生,人數,303,279,15,63,268,11
196,服務,西式食品製作,女生,百分比,,,5.4%,22.6%,96.1%,3.9%
197,服務,西式食品製作,總數,人數,603,539,16,78,504,35
198,服務,西式食品製作,總數,百分比,,,3.0%,14.5%,93.5%,6.5%
199,所有乙類學科 (不包括應用學習中文),,男生,人數,1693,1458,85,305,1336,122
200,所有乙類學科 (不包括應用學習中文),,男生,百分比,,,5.8%,20.9%,91.6%,8.4%
201,所有乙類學科 (不包括應用學習中文),,女生,人數,1712,1595,170,532,1539,56
202,所有乙類學科 (不包括應用學習中文),,女生,百分比,,,10.7%,33.4%,96.5%,3.5%
203,所有乙類學科 (不包括應用學習中文),,總數,人數,3405,3053,255,837,2875,178
204,所有乙類學科 (不包括應用學習中文),,總數,百分比,,,8.4%,27.4%,94.2%,5.8%
