行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),"達標並表現優異(I)
或以上",達標或以上,未達標
1,應用科學,動物護理,男生,人數,13,13,5,10,13,0
2,應用科學,動物護理,男生,百分比,,,38.5%,76.9%,100.0%,0.0%
3,應用科學,動物護理,女生,人數,49,38,6,18,35,3
4,應用科學,動物護理,女生,百分比,,,15.8%,47.4%,92.1%,7.9%
5,應用科學,動物護理,總數,人數,62,51,11,28,48,3
6,應用科學,動物護理,總數,百分比,,,21.6%,54.9%,94.1%,5.9%
7,應用科學,應用心理學,男生,人數,67,63,6,24,60,3
8,應用科學,應用心理學,男生,百分比,,,9.5%,38.1%,95.2%,4.8%
9,應用科學,應用心理學,女生,人數,68,65,10,27,63,2
10,應用科學,應用心理學,女生,百分比,,,15.4%,41.5%,96.9%,3.1%
11,應用科學,應用心理學,總數,人數,135,128,16,51,123,5
12,應用科學,應用心理學,總數,百分比,,,12.5%,39.8%,96.1%,3.9%
13,應用科學,運動科學及體適能,男生,人數,38,34,2,9,33,1
14,應用科學,運動科學及體適能,男生,百分比,,,5.9%,26.5%,97.1%,2.9%
15,應用科學,運動科學及體適能,女生,人數,12,12,2,4,12,0
16,應用科學,運動科學及體適能,女生,百分比,,,16.7%,33.3%,100.0%,0.0%
17,應用科學,運動科學及體適能,總數,人數,50,46,4,13,45,1
18,應用科學,運動科學及體適能,總數,百分比,,,8.7%,28.3%,97.8%,2.2%
19,應用科學,中醫藥學基礎,男生,人數,48,38,7,16,35,3
20,應用科學,中醫藥學基礎,男生,百分比,,,18.4%,42.1%,92.1%,7.9%
21,應用科學,中醫藥學基礎,女生,人數,59,52,9,21,49,3
22,應用科學,中醫藥學基礎,女生,百分比,,,17.3%,40.4%,94.2%,5.8%
23,應用科學,中醫藥學基礎,總數,人數,107,90,16,37,84,6
24,應用科學,中醫藥學基礎,總數,百分比,,,17.8%,41.1%,93.3%,6.7%
25,應用科學,健康護理實務,男生,人數,39,34,1,5,34,0
26,應用科學,健康護理實務,男生,百分比,,,2.9%,14.7%,100.0%,0.0%
27,應用科學,健康護理實務,女生,人數,78,74,9,32,74,0
28,應用科學,健康護理實務,女生,百分比,,,12.2%,43.2%,100.0%,0.0%
29,應用科學,健康護理實務,總數,人數,117,108,10,37,108,0
30,應用科學,健康護理實務,總數,百分比,,,9.3%,34.3%,100.0%,0.0%
31,應用科學,醫務化驗科學,男生,人數,15,11,6,7,11,0
32,應用科學,醫務化驗科學,男生,百分比,,,54.5%,63.6%,100.0%,0.0%
33,應用科學,醫務化驗科學,女生,人數,42,42,21,32,39,3
34,應用科學,醫務化驗科學,女生,百分比,,,50.0%,76.2%,92.9%,7.1%
35,應用科學,醫務化驗科學,總數,人數,57,53,27,39,50,3
36,應用科學,醫務化驗科學,總數,百分比,,,50.9%,73.6%,94.3%,5.7%
37,應用科學,實用心理學,男生,人數,48,45,5,17,45,0
38,應用科學,實用心理學,男生,百分比,,,11.1%,37.8%,100.0%,0.0%
39,應用科學,實用心理學,女生,人數,57,56,14,32,56,0
40,應用科學,實用心理學,女生,百分比,,,25.0%,57.1%,100.0%,0.0%
41,應用科學,實用心理學,總數,人數,105,101,19,49,101,0
42,應用科學,實用心理學,總數,百分比,,,18.8%,48.5%,100.0%,0.0%
43,應用科學,運動及體適能教練,男生,人數,96,63,2,9,57,6
44,應用科學,運動及體適能教練,男生,百分比,,,3.2%,14.3%,90.5%,9.5%
45,應用科學,運動及體適能教練,女生,人數,29,17,0,2,14,3
46,應用科學,運動及體適能教練,女生,百分比,,,0.0%,11.8%,82.4%,17.6%
47,應用科學,運動及體適能教練,總數,人數,125,80,2,11,71,9
48,應用科學,運動及體適能教練,總數,百分比,,,2.5%,13.8%,88.8%,11.3%
49,商業、管理及法律,會計實務,男生,人數,24,20,0,5,13,7
50,商業、管理及法律,會計實務,男生,百分比,,,0.0%,25.0%,65.0%,35.0%
51,商業、管理及法律,會計實務,女生,人數,16,16,2,9,15,1
52,商業、管理及法律,會計實務,女生,百分比,,,12.5%,56.3%,93.8%,6.3%
53,商業、管理及法律,會計實務,總數,人數,40,36,2,14,28,8
54,商業、管理及法律,會計實務,總數,百分比,,,5.6%,38.9%,77.8%,22.2%
55,商業、管理及法律,商業數據分析,男生,人數,15,13,1,4,11,2
56,商業、管理及法律,商業數據分析,男生,百分比,,,7.7%,30.8%,84.6%,15.4%
57,商業、管理及法律,商業數據分析,女生,人數,2,2,1,1,2,0
58,商業、管理及法律,商業數據分析,女生,百分比,,,50.0%,50.0%,100.0%,0.0%
59,商業、管理及法律,商業數據分析,總數,人數,17,15,2,5,13,2
60,商業、管理及法律,商業數據分析,總數,百分比,,,13.3%,33.3%,86.7%,13.3%
61,商業、管理及法律,中小企創業實務,男生,人數,17,16,0,2,15,1
62,商業、管理及法律,中小企創業實務,男生,百分比,,,0.0%,12.5%,93.8%,6.3%
63,商業、管理及法律,中小企創業實務,女生,人數,12,12,2,3,12,0
64,商業、管理及法律,中小企創業實務,女生,百分比,,,16.7%,25.0%,100.0%,0.0%
65,商業、管理及法律,中小企創業實務,總數,人數,29,28,2,5,27,1
66,商業、管理及法律,中小企創業實務,總數,百分比,,,7.1%,17.9%,96.4%,3.6%
67,商業、管理及法律,香港執法實務,男生,人數,26,22,3,6,21,1
68,商業、管理及法律,香港執法實務,男生,百分比,,,13.6%,27.3%,95.5%,4.5%
69,商業、管理及法律,香港執法實務,女生,人數,23,23,4,9,23,0
70,商業、管理及法律,香港執法實務,女生,百分比,,,17.4%,39.1%,100.0%,0.0%
71,商業、管理及法律,香港執法實務,總數,人數,49,45,7,15,44,1
72,商業、管理及法律,香港執法實務,總數,百分比,,,15.6%,33.3%,97.8%,2.2%
73,商業、管理及法律,市場營銷及網上推廣,男生,人數,12,10,0,2,10,0
74,商業、管理及法律,市場營銷及網上推廣,男生,百分比,,,0.0%,20.0%,100.0%,0.0%
75,商業、管理及法律,市場營銷及網上推廣,女生,人數,10,10,2,5,9,1
76,商業、管理及法律,市場營銷及網上推廣,女生,百分比,,,20.0%,50.0%,90.0%,10.0%
77,商業、管理及法律,市場營銷及網上推廣,總數,人數,22,20,2,7,19,1
78,商業、管理及法律,市場營銷及網上推廣,總數,百分比,,,10.0%,35.0%,95.0%,5.0%
79,創意學習,電腦遊戲及動畫設計,男生,人數,161,145,10,31,132,13
80,創意學習,電腦遊戲及動畫設計,男生,百分比,,,6.9%,21.4%,91.0%,9.0%
81,創意學習,電腦遊戲及動畫設計,女生,人數,67,63,3,22,63,0
82,創意學習,電腦遊戲及動畫設計,女生,百分比,,,4.8%,34.9%,100.0%,0.0%
83,創意學習,電腦遊戲及動畫設計,總數,人數,228,208,13,53,195,13
84,創意學習,電腦遊戲及動畫設計,總數,百分比,,,6.3%,25.5%,93.8%,6.3%
85,創意學習,時裝形象設計,男生,人數,40,34,0,3,29,5
86,創意學習,時裝形象設計,男生,百分比,,,0.0%,8.8%,85.3%,14.7%
87,創意學習,時裝形象設計,女生,人數,129,124,12,32,124,0
88,創意學習,時裝形象設計,女生,百分比,,,9.7%,25.8%,100.0%,0.0%
89,創意學習,時裝形象設計,總數,人數,169,158,12,35,153,5
90,創意學習,時裝形象設計,總數,百分比,,,7.6%,22.2%,96.8%,3.2%
91,創意學習,室內設計,男生,人數,46,40,4,12,37,3
92,創意學習,室內設計,男生,百分比,,,10.0%,30.0%,92.5%,7.5%
93,創意學習,室內設計,女生,人數,34,29,2,14,29,0
94,創意學習,室內設計,女生,百分比,,,6.9%,48.3%,100.0%,0.0%
95,創意學習,室內設計,總數,人數,80,69,6,26,66,3
96,創意學習,室內設計,總數,百分比,,,8.7%,37.7%,95.7%,4.3%
97,創意學習,珠寶及時尚首飾設計,男生,人數,6,4,0,1,4,0
98,創意學習,珠寶及時尚首飾設計,男生,百分比,,,0.0%,25.0%,100.0%,0.0%
99,創意學習,珠寶及時尚首飾設計,女生,人數,17,15,1,4,14,1
100,創意學習,珠寶及時尚首飾設計,女生,百分比,,,6.7%,26.7%,93.3%,6.7%
101,創意學習,珠寶及時尚首飾設計,總數,人數,23,19,1,5,18,1
102,創意學習,珠寶及時尚首飾設計,總數,百分比,,,5.3%,26.3%,94.7%,5.3%
103,創意學習,舞出新機－舞蹈藝術,男生,人數,2,2,0,1,2,0
104,創意學習,舞出新機－舞蹈藝術,男生,百分比,,,0.0%,50.0%,100.0%,0.0%
105,創意學習,舞出新機－舞蹈藝術,女生,人數,43,42,4,16,42,0
106,創意學習,舞出新機－舞蹈藝術,女生,百分比,,,9.5%,38.1%,100.0%,0.0%
107,創意學習,舞出新機－舞蹈藝術,總數,人數,45,44,4,17,44,0
108,創意學習,舞出新機－舞蹈藝術,總數,百分比,,,9.1%,38.6%,100.0%,0.0%
109,工程及生產,航空學,男生,人數,216,189,11,45,174,15
110,工程及生產,航空學,男生,百分比,,,5.8%,23.8%,92.1%,7.9%
111,工程及生產,航空學,女生,人數,97,92,8,28,88,4
112,工程及生產,航空學,女生,百分比,,,8.7%,30.4%,95.7%,4.3%
113,工程及生產,航空學,總數,人數,313,281,19,73,262,19
114,工程及生產,航空學,總數,百分比,,,6.8%,26.0%,93.2%,6.8%
115,工程及生產,電腦鑑證科技,男生,人數,32,27,5,12,27,0
116,工程及生產,電腦鑑證科技,男生,百分比,,,18.5%,44.4%,100.0%,0.0%
117,工程及生產,電腦鑑證科技,女生,人數,2,2,0,0,2,0
118,工程及生產,電腦鑑證科技,女生,百分比,,,0.0%,0.0%,100.0%,0.0%
119,工程及生產,電腦鑑證科技,總數,人數,34,29,5,12,29,0
120,工程及生產,電腦鑑證科技,總數,百分比,,,17.2%,41.4%,100.0%,0.0%
121,工程及生產,電機及能源工程,男生,人數,68,59,4,16,56,3
122,工程及生產,電機及能源工程,男生,百分比,,,6.8%,27.1%,94.9%,5.1%
123,工程及生產,電機及能源工程,女生,人數,3,3,0,1,3,0
124,工程及生產,電機及能源工程,女生,百分比,,,0.0%,33.3%,100.0%,0.0%
125,工程及生產,電機及能源工程,總數,人數,71,62,4,17,59,3
126,工程及生產,電機及能源工程,總數,百分比,,,6.5%,27.4%,95.2%,4.8%
127,工程及生產,物聯網應用,男生,人數,23,18,3,6,18,0
128,工程及生產,物聯網應用,男生,百分比,,,16.7%,33.3%,100.0%,0.0%
129,工程及生產,物聯網應用,女生,人數,2,2,0,1,2,0
130,工程及生產,物聯網應用,女生,百分比,,,0.0%,50.0%,100.0%,0.0%
131,工程及生產,物聯網應用,總數,人數,25,20,3,7,20,0
132,工程及生產,物聯網應用,總數,百分比,,,15.0%,35.0%,100.0%,0.0%
133,工程及生產,鐵路學,男生,人數,49,38,2,5,29,9
134,工程及生產,鐵路學,男生,百分比,,,5.3%,13.2%,76.3%,23.7%
135,工程及生產,鐵路學,女生,人數,1,1,0,0,1,0
136,工程及生產,鐵路學,女生,百分比,,,0.0%,0.0%,100.0%,0.0%
137,工程及生產,鐵路學,總數,人數,50,39,2,5,30,9
138,工程及生產,鐵路學,總數,百分比,,,5.1%,12.8%,76.9%,23.1%
139,媒體及傳意,創意廣告,男生,人數,9,6,1,2,6,0
140,媒體及傳意,創意廣告,男生,百分比,,,16.7%,33.3%,100.0%,0.0%
141,媒體及傳意,創意廣告,女生,人數,10,9,2,5,6,3
142,媒體及傳意,創意廣告,女生,百分比,,,22.2%,55.6%,66.7%,33.3%
143,媒體及傳意,創意廣告,總數,人數,19,15,3,7,12,3
144,媒體及傳意,創意廣告,總數,百分比,,,20.0%,46.7%,80.0%,20.0%
145,媒體及傳意,電影及錄像,男生,人數,130,118,7,22,87,31
146,媒體及傳意,電影及錄像,男生,百分比,,,5.9%,18.6%,73.7%,26.3%
147,媒體及傳意,電影及錄像,女生,人數,61,58,2,8,51,7
148,媒體及傳意,電影及錄像,女生,百分比,,,3.4%,13.8%,87.9%,12.1%
149,媒體及傳意,電影及錄像,總數,人數,191,176,9,30,138,38
150,媒體及傳意,電影及錄像,總數,百分比,,,5.1%,17.0%,78.4%,21.6%
151,媒體及傳意,雜誌編輯與製作,男生,人數,5,3,0,0,3,0
152,媒體及傳意,雜誌編輯與製作,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
153,媒體及傳意,雜誌編輯與製作,女生,人數,10,9,2,6,9,0
154,媒體及傳意,雜誌編輯與製作,女生,百分比,,,22.2%,66.7%,100.0%,0.0%
155,媒體及傳意,雜誌編輯與製作,總數,人數,15,12,2,6,12,0
156,媒體及傳意,雜誌編輯與製作,總數,百分比,,,16.7%,50.0%,100.0%,0.0%
157,媒體及傳意,公關及傳訊,男生,人數,13,9,0,1,7,2
158,媒體及傳意,公關及傳訊,男生,百分比,,,0.0%,11.1%,77.8%,22.2%
159,媒體及傳意,公關及傳訊,女生,人數,12,11,2,7,10,1
160,媒體及傳意,公關及傳訊,女生,百分比,,,18.2%,63.6%,90.9%,9.1%
161,媒體及傳意,公關及傳訊,總數,人數,25,20,2,8,17,3
162,媒體及傳意,公關及傳訊,總數,百分比,,,10.0%,40.0%,85.0%,15.0%
163,服務,幼兒教育,男生,人數,6,6,0,1,6,0
164,服務,幼兒教育,男生,百分比,,,0.0%,16.7%,100.0%,0.0%
165,服務,幼兒教育,女生,人數,175,173,12,52,165,8
166,服務,幼兒教育,女生,百分比,,,6.9%,30.1%,95.4%,4.6%
167,服務,幼兒教育,總數,人數,181,179,12,53,171,8
168,服務,幼兒教育,總數,百分比,,,6.7%,29.6%,95.5%,4.5%
169,服務,美容學基礎,男生,人數,2,2,0,0,2,0
170,服務,美容學基礎,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
171,服務,美容學基礎,女生,人數,83,75,3,14,73,2
172,服務,美容學基礎,女生,百分比,,,4.0%,18.7%,97.3%,2.7%
173,服務,美容學基礎,總數,人數,85,77,3,14,75,2
174,服務,美容學基礎,總數,百分比,,,3.9%,18.2%,97.4%,2.6%
175,服務,酒店服務營運,男生,人數,62,56,0,8,56,0
176,服務,酒店服務營運,男生,百分比,,,0.0%,14.3%,100.0%,0.0%
177,服務,酒店服務營運,女生,人數,76,75,11,24,67,8
178,服務,酒店服務營運,女生,百分比,,,14.7%,32.0%,89.3%,10.7%
179,服務,酒店服務營運,總數,人數,138,131,11,32,123,8
180,服務,酒店服務營運,總數,百分比,,,8.4%,24.4%,93.9%,6.1%
181,服務,酒店營運,男生,人數,70,65,0,2,56,9
182,服務,酒店營運,男生,百分比,,,0.0%,3.1%,86.2%,13.8%
183,服務,酒店營運,女生,人數,65,61,3,13,58,3
184,服務,酒店營運,女生,百分比,,,4.9%,21.3%,95.1%,4.9%
185,服務,酒店營運,總數,人數,135,126,3,15,114,12
186,服務,酒店營運,總數,百分比,,,2.4%,11.9%,90.5%,9.5%
187,服務,甜品及咖啡店營運,男生,人數,84,72,0,8,70,2
188,服務,甜品及咖啡店營運,男生,百分比,,,0.0%,11.1%,97.2%,2.8%
189,服務,甜品及咖啡店營運,女生,人數,122,108,11,35,108,0
190,服務,甜品及咖啡店營運,女生,百分比,,,10.2%,32.4%,100.0%,0.0%
191,服務,甜品及咖啡店營運,總數,人數,206,180,11,43,178,2
192,服務,甜品及咖啡店營運,總數,百分比,,,6.1%,23.9%,98.9%,1.1%
193,服務,西式食品製作,男生,人數,310,270,1,15,245,25
194,服務,西式食品製作,男生,百分比,,,0.4%,5.6%,90.7%,9.3%
195,服務,西式食品製作,女生,人數,315,290,15,63,278,12
196,服務,西式食品製作,女生,百分比,,,5.2%,21.7%,95.9%,4.1%
197,服務,西式食品製作,總數,人數,625,560,16,78,523,37
198,服務,西式食品製作,總數,百分比,,,2.9%,13.9%,93.4%,6.6%
199,所有乙類學科 (不包括應用學習中文),,男生,人數,1792,1545,86,307,1404,141
200,所有乙類學科 (不包括應用學習中文),,男生,百分比,,,5.6%,19.9%,90.9%,9.1%
201,所有乙類學科 (不包括應用學習中文),,女生,人數,1781,1661,175,540,1596,65
202,所有乙類學科 (不包括應用學習中文),,女生,百分比,,,10.5%,32.5%,96.1%,3.9%
203,所有乙類學科 (不包括應用學習中文),,總數,人數,3573,3206,261,847,3000,206
204,所有乙類學科 (不包括應用學習中文),,總數,百分比,,,8.1%,26.4%,93.6%,6.4%
