行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 - 男生","日校考生應考最少五科
甲類學科／乙類學科 - 女生","日校考生應考最少五科
甲類學科／乙類學科 - 總數","全體考生應考最少五科
甲類學科／乙類學科 - 男生","全體考生應考最少五科
甲類學科／乙類學科 - 女生","全體考生應考最少五科
甲類學科／乙類學科 - 總數"
1,考生人數,人數,21497,21546,43043,22576,22355,44931
2,五科取得5** 級,人數,47,32,79,47,32,79
3,五科取得5** 級,百分比,0.2%,0.1%,0.2%,0.2%,0.1%,0.2%
4,五科取得5* 級或以上,人數,277,302,579,279,305,584
5,五科取得5* 級或以上,百分比,1.3%,1.4%,1.3%,1.2%,1.4%,1.3%
6,五科取得5 級或以上,人數,980,1233,2213,989,1242,2231
7,五科取得5 級或以上,百分比,4.6%,5.7%,5.1%,4.4%,5.6%,5.0%
8,五科取得4 級或以上,人數,3958,5417,9375,4028,5480,9508
9,五科取得4 級或以上,百分比,18.4%,25.1%,21.8%,17.8%,24.5%,21.2%
10,五科取得3 級或以上,人數,9074,11336,20410,9345,11555,20900
11,五科取得3 級或以上,百分比,42.2%,52.6%,47.4%,41.4%,51.7%,46.5%
12,五科取得2 級或以上,人數,15452,17496,32948,16078,17955,34033
13,五科取得2 級或以上,百分比,71.9%,81.2%,76.5%,71.2%,80.3%,75.7%
14,五科取得1 級或以上,人數,19130,20199,39329,19983,20835,40818
15,五科取得1 級或以上,百分比,89.0%,93.7%,91.4%,88.5%,93.2%,90.8%
16,四科取得1 級或以上,人數,20212,20939,41151,21134,21641,42775
17,四科取得1 級或以上,百分比,94.0%,97.2%,95.6%,93.6%,96.8%,95.2%
18,三科取得1 級或以上,人數,20794,21254,42048,21765,22000,43765
19,三科取得1 級或以上,百分比,96.7%,98.6%,97.7%,96.4%,98.4%,97.4%
20,兩科取得1 級或以上,人數,21133,21419,42552,22150,22194,44344
21,兩科取得1 級或以上,百分比,98.3%,99.4%,98.9%,98.1%,99.3%,98.7%
22,一科取得1 級或以上,人數,21374,21496,42870,22427,22286,44713
23,一科取得1 級或以上,百分比,99.4%,99.8%,99.6%,99.3%,99.7%,99.5%
