行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 - 男生","日校考生應考最少五科
甲類學科／乙類學科 - 女生","日校考生應考最少五科
甲類學科／乙類學科 - 總數","全體考生應考最少五科
甲類學科／乙類學科 - 男生","全體考生應考最少五科
甲類學科／乙類學科 - 女生","全體考生應考最少五科
甲類學科／乙類學科 - 總數"
1,考生人數,人數,21497,21546,43043,22576,22355,44931
2,總積點 10 – 12,人數,29,71,100,30,76,106
3,總積點 10 – 12,百分比,0.1%,0.3%,0.2%,0.1%,0.3%,0.2%
4,總積點 13 – 15,人數,526,1068,1594,551,1094,1645
5,總積點 13 – 15,百分比,2.4%,5.0%,3.7%,2.4%,4.9%,3.7%
6,總積點 16 – 18,人數,1833,2746,4579,1885,2811,4696
7,總積點 16 – 18,百分比,8.5%,12.7%,10.6%,8.3%,12.6%,10.5%
8,總積點 19 – 21,人數,2103,3230,5333,2155,3274,5429
9,總積點 19 – 21,百分比,9.8%,15.0%,12.4%,9.5%,14.6%,12.1%
10,總積點 22 – 24,人數,1497,1934,3431,1535,1955,3490
11,總積點 22 – 24,百分比,7.0%,9.0%,8.0%,6.8%,8.7%,7.8%
12,總積點 25 – 27,人數,840,1035,1875,849,1045,1894
13,總積點 25 – 27,百分比,3.9%,4.8%,4.4%,3.8%,4.7%,4.2%
14,總積點 28 – 30,人數,508,572,1080,513,578,1091
15,總積點 28 – 30,百分比,2.4%,2.7%,2.5%,2.3%,2.6%,2.4%
16,總積點 31 – 33,人數,236,268,504,238,269,507
17,總積點 31 – 33,百分比,1.1%,1.2%,1.2%,1.1%,1.2%,1.1%
18,總積點 34 – 35,人數,91,69,160,92,69,161
19,總積點 34 – 35,百分比,0.4%,0.3%,0.4%,0.4%,0.3%,0.4%
