行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 (任何五科#) - 男生","日校考生應考最少五科
甲類學科／乙類學科 (任何五科#) - 女生","日校考生應考最少五科
甲類學科／乙類學科 (任何五科#) - 總數","日校考生應考最少五科
甲類學科／乙類學科 (四個核心科目及一個選修科目) - 男生","日校考生應考最少五科
甲類學科／乙類學科 (四個核心科目及一個選修科目) - 女生","日校考生應考最少五科
甲類學科／乙類學科 (四個核心科目及一個選修科目) - 總數"
1,考生人數,人數,21497,21546,43043,21497,21546,43043
2,總積點 12 – 14,人數,241,543,784,287,625,912
3,總積點 12 – 14,百分比,1.1%,2.5%,1.8%,1.3%,2.9%,2.1%
4,總積點 15 – 17,人數,1473,2306,3779,1700,2522,4222
5,總積點 15 – 17,百分比,6.9%,10.7%,8.8%,7.9%,11.7%,9.8%
6,總積點 18 – 20,人數,2066,3179,5245,2392,3430,5822
7,總積點 18 – 20,百分比,9.6%,14.8%,12.2%,11.1%,15.9%,13.5%
8,總積點 21 – 23,人數,1769,2456,4225,1763,2324,4087
9,總積點 21 – 23,百分比,8.2%,11.4%,9.8%,8.2%,10.8%,9.5%
10,總積點 24 – 26,人數,1026,1268,2294,905,1212,2117
11,總積點 24 – 26,百分比,4.8%,5.9%,5.3%,4.2%,5.6%,4.9%
12,總積點 27 – 29,人數,611,732,1343,398,560,958
13,總積點 27 – 29,百分比,2.8%,3.4%,3.1%,1.9%,2.6%,2.2%
14,總積點 30 – 32,人數,308,347,655,154,223,377
15,總積點 30 – 32,百分比,1.4%,1.6%,1.5%,0.7%,1.0%,0.9%
16,總積點 33 – 35,人數,154,123,277,49,58,107
17,總積點 33 – 35,百分比,0.7%,0.6%,0.6%,0.2%,0.3%,0.2%
