行號,項目,類別,"全體考生應考最少五科
甲類學科／乙類學科 (任何五科#) - 男生","全體考生應考最少五科
甲類學科／乙類學科 (任何五科#) - 女生","全體考生應考最少五科
甲類學科／乙類學科 (任何五科#) - 總數","全體考生應考最少五科
甲類學科／乙類學科 (四個核心科目及一個選修科目) - 男生","全體考生應考最少五科
甲類學科／乙類學科 (四個核心科目及一個選修科目) - 女生","全體考生應考最少五科
甲類學科／乙類學科 (四個核心科目及一個選修科目) - 總數"
1,考生人數,人數,22576,22355,44931,22576,22355,44931
2,總積點 12 – 14,人數,247,559,806,295,642,937
3,總積點 12 – 14,百分比,1.1%,2.5%,1.8%,1.3%,2.9%,2.1%
4,總積點 15 – 17,人數,1526,2360,3886,1759,2584,4343
5,總積點 15 – 17,百分比,6.8%,10.6%,8.6%,7.8%,11.6%,9.7%
6,總積點 18 – 20,人數,2119,3232,5351,2453,3480,5933
7,總積點 18 – 20,百分比,9.4%,14.5%,11.9%,10.9%,15.6%,13.2%
8,總積點 21 – 23,人數,1811,2481,4292,1802,2352,4154
9,總積點 21 – 23,百分比,8.0%,11.1%,9.6%,8.0%,10.5%,9.2%
10,總積點 24 – 26,人數,1043,1285,2328,915,1224,2139
11,總積點 24 – 26,百分比,4.6%,5.7%,5.2%,4.1%,5.5%,4.8%
12,總積點 27 – 29,人數,618,738,1356,402,563,965
13,總積點 27 – 29,百分比,2.7%,3.3%,3.0%,1.8%,2.5%,2.1%
14,總積點 30 – 32,人數,311,349,660,156,224,380
15,總積點 30 – 32,百分比,1.4%,1.6%,1.5%,0.7%,1.0%,0.8%
16,總積點 33 – 35,人數,156,124,280,49,59,108
17,總積點 33 – 35,百分比,0.7%,0.6%,0.6%,0.2%,0.3%,0.2%
