行號,項目,類別,"日校考生應考最少六科
甲類學科／乙類學科 - 男生","日校考生應考最少六科
甲類學科／乙類學科 - 女生","日校考生應考最少六科
甲類學科／乙類學科 - 總數","全體考生應考最少六科
甲類學科／乙類學科 - 男生","全體考生應考最少六科
甲類學科／乙類學科 - 女生","全體考生應考最少六科
甲類學科／乙類學科 - 總數"
1,考生人數,人數,18548,19540,38088,19282,20101,39383
2,總積點 10 – 12,人數,4,10,14,4,10,14
3,總積點 10 – 12,百分比,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%
4,總積點 13 – 15,人數,120,276,396,123,285,408
5,總積點 13 – 15,百分比,0.6%,1.4%,1.0%,0.6%,1.4%,1.0%
6,總積點 16 – 18,人數,673,1269,1942,693,1293,1986
7,總積點 16 – 18,百分比,3.6%,6.5%,5.1%,3.6%,6.4%,5.0%
8,總積點 19 – 21,人數,1548,2365,3913,1587,2414,4001
9,總積點 19 – 21,百分比,8.3%,12.1%,10.3%,8.2%,12.0%,10.2%
10,總積點 22 – 24,人數,1812,2658,4470,1851,2691,4542
11,總積點 22 – 24,百分比,9.8%,13.6%,11.7%,9.6%,13.4%,11.5%
12,總積點 25 – 27,人數,1403,1903,3306,1434,1925,3359
13,總積點 25 – 27,百分比,7.6%,9.7%,8.7%,7.4%,9.6%,8.5%
14,總積點 28 – 30,人數,874,1099,1973,885,1112,1997
15,總積點 28 – 30,百分比,4.7%,5.6%,5.2%,4.6%,5.5%,5.1%
16,總積點 31 – 33,人數,532,654,1186,539,658,1197
17,總積點 31 – 33,百分比,2.9%,3.3%,3.1%,2.8%,3.3%,3.0%
18,總積點 34 – 36,人數,309,323,632,312,326,638
19,總積點 34 – 36,百分比,1.7%,1.7%,1.7%,1.6%,1.6%,1.6%
20,總積點 37 – 39,人數,151,187,338,153,188,341
21,總積點 37 – 39,百分比,0.8%,1.0%,0.9%,0.8%,0.9%,0.9%
22,總積點 40 – 42,人數,71,59,130,71,59,130
23,總積點 40 – 42,百分比,0.4%,0.3%,0.3%,0.4%,0.3%,0.3%
