行號,項目,類別,"日校考生應考最少六科
甲類學科／乙類學科 (任何六科#) - 男生","日校考生應考最少六科
甲類學科／乙類學科 (任何六科#) - 女生","日校考生應考最少六科
甲類學科／乙類學科 (任何六科#) - 總數","日校考生應考最少六科
甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 男生","日校考生應考最少六科
甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 女生","日校考生應考最少六科
甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 總數"
1,考生人數,人數,18548,19540,38088,18548,19540,38088
2,總積點 16 – 18,人數,213,301,514,215,308,523
3,總積點 16 – 18,百分比,1.1%,1.5%,1.3%,1.2%,1.6%,1.4%
4,總積點 19 – 21,人數,1324,1839,3163,1372,1857,3229
5,總積點 19 – 21,百分比,7.1%,9.4%,8.3%,7.4%,9.5%,8.5%
6,總積點 22 – 24,人數,1785,2577,4362,1845,2625,4470
7,總積點 22 – 24,百分比,9.6%,13.2%,11.5%,9.9%,13.4%,11.7%
8,總積點 25 – 27,人數,1402,1898,3300,1411,1909,3320
9,總積點 25 – 27,百分比,7.6%,9.7%,8.7%,7.6%,9.8%,8.7%
10,總積點 28 – 30,人數,874,1099,1973,911,1120,2031
11,總積點 28 – 30,百分比,4.7%,5.6%,5.2%,4.9%,5.7%,5.3%
12,總積點 31 – 33,人數,532,654,1186,491,635,1126
13,總積點 31 – 33,百分比,2.9%,3.3%,3.1%,2.6%,3.2%,3.0%
14,總積點 34 – 36,人數,309,323,632,261,299,560
15,總積點 34 – 36,百分比,1.7%,1.7%,1.7%,1.4%,1.5%,1.5%
16,總積點 37 – 39,人數,151,187,338,112,141,253
17,總積點 37 – 39,百分比,0.8%,1.0%,0.9%,0.6%,0.7%,0.7%
18,總積點 40 – 42,人數,71,59,130,43,43,86
19,總積點 40 – 42,百分比,0.4%,0.3%,0.3%,0.2%,0.2%,0.2%
