行號,項目,類別,"全體考生應考最少六科
甲類學科／乙類學科 (任何六科#) - 男生","全體考生應考最少六科
甲類學科／乙類學科 (任何六科#) - 女生","全體考生應考最少六科
甲類學科／乙類學科 (任何六科#) - 總數","全體考生應考最少六科
甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 男生","全體考生應考最少六科
甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 女生","全體考生應考最少六科
甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 總數"
1,考生人數,人數,19282,20101,39383,19282,20101,39383
2,總積點 16 – 18,人數,222,308,530,224,315,539
3,總積點 16 – 18,百分比,1.2%,1.5%,1.3%,1.2%,1.6%,1.4%
4,總積點 19 – 21,人數,1355,1875,3230,1405,1894,3299
5,總積點 19 – 21,百分比,7.0%,9.3%,8.2%,7.3%,9.4%,8.4%
6,總積點 22 – 24,人數,1824,2609,4433,1883,2657,4540
7,總積點 22 – 24,百分比,9.5%,13.0%,11.3%,9.8%,13.2%,11.5%
8,總積點 25 – 27,人數,1433,1920,3353,1443,1930,3373
9,總積點 25 – 27,百分比,7.4%,9.6%,8.5%,7.5%,9.6%,8.6%
10,總積點 28 – 30,人數,885,1112,1997,923,1133,2056
11,總積點 28 – 30,百分比,4.6%,5.5%,5.1%,4.8%,5.6%,5.2%
12,總積點 31 – 33,人數,539,658,1197,496,640,1136
13,總積點 31 – 33,百分比,2.8%,3.3%,3.0%,2.6%,3.2%,2.9%
14,總積點 34 – 36,人數,312,326,638,264,301,565
15,總積點 34 – 36,百分比,1.6%,1.6%,1.6%,1.4%,1.5%,1.4%
16,總積點 37 – 39,人數,153,188,341,113,142,255
17,總積點 37 – 39,百分比,0.8%,0.9%,0.9%,0.6%,0.7%,0.6%
18,總積點 40 – 42,人數,71,59,130,43,43,86
19,總積點 40 – 42,百分比,0.4%,0.3%,0.3%,0.2%,0.2%,0.2%
