行號,中國語文科成績,類別,英國語文科成績 - 5**,英國語文科成績 - 5*,英國語文科成績 - 5,英國語文科成績 - 4,英國語文科成績 - 3,英國語文科成績 - 2,英國語文科成績 - 1,英國語文科成績 - U,總數
1,5**,人數,80,110,107,110,45,15,,,467
2,5**,百分比,0.2%,0.3%,0.3%,0.3%,0.1%,0.0%,,,1.1%
3,5*,人數,89,227,329,405,212,49,5,,1316
4,5*,百分比,0.2%,0.5%,0.8%,1.0%,0.5%,0.1%,0.0%,,3.1%
5,5,人數,76,266,507,1018,608,193,17,2,2687
6,5,百分比,0.2%,0.6%,1.2%,2.4%,1.4%,0.5%,0.0%,0.0%,6.3%
7,4,人數,125,408,1024,3280,2994,1364,226,21,9442
8,4,百分比,0.3%,1.0%,2.4%,7.7%,7.0%,3.2%,0.5%,0.0%,22.2%
9,3,人數,46,178,457,2283,3932,3193,767,140,10996
10,3,百分比,0.1%,0.4%,1.1%,5.4%,9.3%,7.5%,1.8%,0.3%,25.9%
11,2,人數,23,70,143,936,2637,4830,2587,808,12034
12,2,百分比,0.1%,0.2%,0.3%,2.2%,6.2%,11.4%,6.1%,1.9%,28.3%
13,1,人數,1,5,13,73,291,1089,1542,1298,4312
14,1,百分比,0.0%,0.0%,0.0%,0.2%,0.7%,2.6%,3.6%,3.1%,10.1%
15,U,人數,,1,6,20,33,114,257,815,1246
16,U,百分比,,0.0%,0.0%,0.0%,0.1%,0.3%,0.6%,1.9%,2.9%
17,總數,人數,440,1265,2586,8125,10752,10847,5401,3084,42500
18,總數,百分比,1.0%,3.0%,6.1%,19.1%,25.3%,25.5%,12.7%,7.3%,100.0%
