行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異,達標或以上,未達標
1,應用學習中文 (非華語學生適用),商業服務中文,男生,人數,13,12,2,12,0
2,應用學習中文 (非華語學生適用),商業服務中文,男生,百分比,,,16.7%,100.0%,0.0%
3,應用學習中文 (非華語學生適用),商業服務中文,女生,人數,25,25,8,25,0
4,應用學習中文 (非華語學生適用),商業服務中文,女生,百分比,,,32.0%,100.0%,0.0%
5,應用學習中文 (非華語學生適用),商業服務中文,總數,人數,38,37,10,37,0
6,應用學習中文 (非華語學生適用),商業服務中文,總數,百分比,,,27.0%,100.0%,0.0%
7,應用學習中文 (非華語學生適用),實用情境中文,男生,人數,5,5,1,4,1
8,應用學習中文 (非華語學生適用),實用情境中文,男生,百分比,,,20.0%,80.0%,20.0%
9,應用學習中文 (非華語學生適用),實用情境中文,女生,人數,9,9,4,9,0
10,應用學習中文 (非華語學生適用),實用情境中文,女生,百分比,,,44.4%,100.0%,0.0%
11,應用學習中文 (非華語學生適用),實用情境中文,總數,人數,14,14,5,13,1
12,應用學習中文 (非華語學生適用),實用情境中文,總數,百分比,,,35.7%,92.9%,7.1%
13,應用學習中文 (非華語學生適用),實務中文,男生,人數,18,17,1,9,8
14,應用學習中文 (非華語學生適用),實務中文,男生,百分比,,,5.9%,52.9%,47.1%
15,應用學習中文 (非華語學生適用),實務中文,女生,人數,14,14,2,11,3
16,應用學習中文 (非華語學生適用),實務中文,女生,百分比,,,14.3%,78.6%,21.4%
17,應用學習中文 (非華語學生適用),實務中文,總數,人數,32,31,3,20,11
18,應用學習中文 (非華語學生適用),實務中文,總數,百分比,,,9.7%,64.5%,35.5%
19,應用學習中文 (非華語學生適用),,男生,人數,36,34,4,25,9
20,應用學習中文 (非華語學生適用),,男生,百分比,,,11.8%,73.5%,26.5%
21,應用學習中文 (非華語學生適用),,女生,人數,48,48,14,45,3
22,應用學習中文 (非華語學生適用),,女生,百分比,,,29.2%,93.8%,6.3%
23,應用學習中文 (非華語學生適用),,總數,人數,84,82,18,70,12
24,應用學習中文 (非華語學生適用),,總數,百分比,,,22.0%,85.4%,14.6%
