行號,項目,類別,全體考生應考最少五科甲類學科／乙類學科 (任何五科#) - 男生,全體考生應考最少五科甲類學科／乙類學科 (任何五科#) - 女生,全體考生應考最少五科甲類學科／乙類學科 (任何五科#) - 總數,全體考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 男生,全體考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 女生,全體考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 總數
1,考生人數,人數,21768,21428,43196,21768,21428,43196
2,總積點 12 – 14,人數,262,439,701,315,518,833
3,總積點 12 – 14,百分比,1.2%,2.0%,1.6%,1.4%,2.4%,1.9%
4,總積點 15 – 17,人數,1355,2125,3480,1575,2327,3902
5,總積點 15 – 17,百分比,6.2%,9.9%,8.1%,7.2%,10.9%,9.0%
6,總積點 18 – 20,人數,2030,3057,5087,2418,3354,5772
7,總積點 18 – 20,百分比,9.3%,14.3%,11.8%,11.1%,15.7%,13.4%
8,總積點 21 – 23,人數,1826,2470,4296,1794,2307,4101
9,總積點 21 – 23,百分比,8.4%,11.5%,9.9%,8.2%,10.8%,9.5%
10,總積點 24 – 26,人數,1093,1247,2340,949,1150,2099
11,總積點 24 – 26,百分比,5.0%,5.8%,5.4%,4.4%,5.4%,4.9%
12,總積點 27 – 29,人數,616,679,1295,421,550,971
13,總積點 27 – 29,百分比,2.8%,3.2%,3.0%,1.9%,2.6%,2.2%
14,總積點 30 – 32,人數,345,351,696,156,226,382
15,總積點 30 – 32,百分比,1.6%,1.6%,1.6%,0.7%,1.1%,0.9%
16,總積點 33 – 35,人數,153,124,277,52,60,112
17,總積點 33 – 35,百分比,0.7%,0.6%,0.6%,0.2%,0.3%,0.3%
