行號,項目,類別,日校考生應考最少六科甲類學科／乙類學科 (任何六科#) - 男生,日校考生應考最少六科甲類學科／乙類學科 (任何六科#) - 女生,日校考生應考最少六科甲類學科／乙類學科 (任何六科#) - 總數,日校考生應考最少六科甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 男生,日校考生應考最少六科甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 女生,日校考生應考最少六科甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 總數
1,考生人數,人數,17934,18701,36635,17934,18701,36635
2,總積點 16 – 18,人數,183,298,481,191,306,497
3,總積點 16 – 18,百分比,1.0%,1.6%,1.3%,1.1%,1.6%,1.4%
4,總積點 19 – 21,人數,1172,1642,2814,1193,1662,2855
5,總積點 19 – 21,百分比,6.5%,8.8%,7.7%,6.7%,8.9%,7.8%
6,總積點 22 – 24,人數,1733,2487,4220,1823,2537,4360
7,總積點 22 – 24,百分比,9.7%,13.3%,11.5%,10.2%,13.6%,11.9%
8,總積點 25 – 27,人數,1419,1854,3273,1455,1868,3323
9,總積點 25 – 27,百分比,7.9%,9.9%,8.9%,8.1%,10.0%,9.1%
10,總積點 28 – 30,人數,912,1066,1978,906,1051,1957
11,總積點 28 – 30,百分比,5.1%,5.7%,5.4%,5.1%,5.6%,5.3%
12,總積點 31 – 33,人數,518,599,1117,509,582,1091
13,總積點 31 – 33,百分比,2.9%,3.2%,3.0%,2.8%,3.1%,3.0%
14,總積點 34 – 36,人數,334,312,646,279,306,585
15,總積點 34 – 36,百分比,1.9%,1.7%,1.8%,1.6%,1.6%,1.6%
16,總積點 37 – 39,人數,158,173,331,109,137,246
17,總積點 37 – 39,百分比,0.9%,0.9%,0.9%,0.6%,0.7%,0.7%
18,總積點 40 – 42,人數,74,59,133,38,41,79
19,總積點 40 – 42,百分比,0.4%,0.3%,0.4%,0.2%,0.2%,0.2%
