行號,項目,類別,全體考生應考最少六科甲類學科／乙類學科 (任何六科#) - 男生,全體考生應考最少六科甲類學科／乙類學科 (任何六科#) - 女生,全體考生應考最少六科甲類學科／乙類學科 (任何六科#) - 總數,全體考生應考最少六科甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 男生,全體考生應考最少六科甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 女生,全體考生應考最少六科甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 總數
1,考生人數,人數,18771,19351,38122,18771,19351,38122
2,總積點 16 – 18,人數,191,307,498,199,315,514
3,總積點 16 – 18,百分比,1.0%,1.6%,1.3%,1.1%,1.6%,1.3%
4,總積點 19 – 21,人數,1199,1671,2870,1221,1691,2912
5,總積點 19 – 21,百分比,6.4%,8.6%,7.5%,6.5%,8.7%,7.6%
6,總積點 22 – 24,人數,1771,2527,4298,1860,2577,4437
7,總積點 22 – 24,百分比,9.4%,13.1%,11.3%,9.9%,13.3%,11.6%
8,總積點 25 – 27,人數,1440,1875,3315,1476,1891,3367
9,總積點 25 – 27,百分比,7.7%,9.7%,8.7%,7.9%,9.8%,8.8%
10,總積點 28 – 30,人數,932,1080,2012,927,1063,1990
11,總積點 28 – 30,百分比,5.0%,5.6%,5.3%,4.9%,5.5%,5.2%
12,總積點 31 – 33,人數,524,605,1129,516,589,1105
13,總積點 31 – 33,百分比,2.8%,3.1%,3.0%,2.7%,3.0%,2.9%
14,總積點 34 – 36,人數,339,316,655,282,309,591
15,總積點 34 – 36,百分比,1.8%,1.6%,1.7%,1.5%,1.6%,1.6%
16,總積點 37 – 39,人數,159,173,332,110,137,247
17,總積點 37 – 39,百分比,0.8%,0.9%,0.9%,0.6%,0.7%,0.6%
18,總積點 40 – 42,人數,74,59,133,38,41,79
19,總積點 40 – 42,百分比,0.4%,0.3%,0.3%,0.2%,0.2%,0.2%
