行號,項目,類別,肢體活動能力障礙,視障,聽障,特殊學習障礙,自閉症,注意力不足/過度活躍症,精神問題,其他障礙 #,總數
1,出席人數,人數,66,43,189,1419,353,386,422,60,2938
2,五科取得2 級或以上,人數,34,23,134,419,205,252,284,29,1380
3,五科取得3 級或以上,人數,16,19,81,96,96,122,171,13,614
4,五科取得4 級或以上,人數,4,10,41,9,39,37,58,6,204
5,五科取得5 級或以上,人數,0,5,10,1,8,12,13,1,50
6,於核心科目中取得「2222」或更佳成績,人數,27,22,125,268,169,221,271,25,1128
7,於核心科目中取得「2222」或更佳成績，並於一個選修科目取得2 級或以上成績,人數,27,22,125,258,165,216,257,25,1095
8,於核心科目中取得「3322」或更佳成績,人數,11,19,76,51,84,112,188,15,556
9,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得2 級或以上成績,人數,11,19,76,51,84,109,181,15,546
10,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得3 級或以上成績,人數,10,18,72,48,80,103,164,14,509
