行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),達標並表現優異(I)或以上,達標或以上,未達標
1,應用科學,動物護理,男生,人數,19,19,3,7,15,4
2,應用科學,動物護理,男生,百分比,,,15.8%,36.8%,78.9%,21.1%
3,應用科學,動物護理,女生,人數,39,36,8,21,33,3
4,應用科學,動物護理,女生,百分比,,,22.2%,58.3%,91.7%,8.3%
5,應用科學,動物護理,總數,人數,58,55,11,28,48,7
6,應用科學,動物護理,總數,百分比,,,20.0%,50.9%,87.3%,12.7%
7,應用科學,應用心理學,男生,人數,67,58,3,23,52,6
8,應用科學,應用心理學,男生,百分比,,,5.2%,39.7%,89.7%,10.3%
9,應用科學,應用心理學,女生,人數,69,63,13,30,63,0
10,應用科學,應用心理學,女生,百分比,,,20.6%,47.6%,100.0%,0.0%
11,應用科學,應用心理學,總數,人數,136,121,16,53,115,6
12,應用科學,應用心理學,總數,百分比,,,13.2%,43.8%,95.0%,5.0%
13,應用科學,運動及體適能教練,男生,人數,100,89,5,16,71,18
14,應用科學,運動及體適能教練,男生,百分比,,,5.6%,18.0%,79.8%,20.2%
15,應用科學,運動及體適能教練,女生,人數,16,15,2,3,15,0
16,應用科學,運動及體適能教練,女生,百分比,,,13.3%,20.0%,100.0%,0.0%
17,應用科學,運動及體適能教練,總數,人數,116,104,7,19,86,18
18,應用科學,運動及體適能教練,總數,百分比,,,6.7%,18.3%,82.7%,17.3%
19,應用科學,運動科學及體適能,男生,人數,54,46,3,11,43,3
20,應用科學,運動科學及體適能,男生,百分比,,,6.5%,23.9%,93.5%,6.5%
21,應用科學,運動科學及體適能,女生,人數,14,11,0,7,10,1
22,應用科學,運動科學及體適能,女生,百分比,,,0.0%,63.6%,90.9%,9.1%
23,應用科學,運動科學及體適能,總數,人數,68,57,3,18,53,4
24,應用科學,運動科學及體適能,總數,百分比,,,5.3%,31.6%,93.0%,7.0%
25,應用科學,中醫藥學基礎,男生,人數,33,31,4,10,26,5
26,應用科學,中醫藥學基礎,男生,百分比,,,12.9%,32.3%,83.9%,16.1%
27,應用科學,中醫藥學基礎,女生,人數,45,44,5,17,40,4
28,應用科學,中醫藥學基礎,女生,百分比,,,11.4%,38.6%,90.9%,9.1%
29,應用科學,中醫藥學基礎,總數,人數,78,75,9,27,66,9
30,應用科學,中醫藥學基礎,總數,百分比,,,12.0%,36.0%,88.0%,12.0%
31,應用科學,健康護理實務,男生,人數,45,43,7,13,40,3
32,應用科學,健康護理實務,男生,百分比,,,16.3%,30.2%,93.0%,7.0%
33,應用科學,健康護理實務,女生,人數,96,92,11,33,89,3
34,應用科學,健康護理實務,女生,百分比,,,12.0%,35.9%,96.7%,3.3%
35,應用科學,健康護理實務,總數,人數,141,135,18,46,129,6
36,應用科學,健康護理實務,總數,百分比,,,13.3%,34.1%,95.6%,4.4%
37,應用科學,醫務化驗科學,男生,人數,20,13,3,6,8,5
38,應用科學,醫務化驗科學,男生,百分比,,,23.1%,46.2%,61.5%,38.5%
39,應用科學,醫務化驗科學,女生,人數,37,35,11,24,29,6
40,應用科學,醫務化驗科學,女生,百分比,,,31.4%,68.6%,82.9%,17.1%
41,應用科學,醫務化驗科學,總數,人數,57,48,14,30,37,11
42,應用科學,醫務化驗科學,總數,百分比,,,29.2%,62.5%,77.1%,22.9%
43,應用科學,實用心理學,男生,人數,42,35,3,10,34,1
44,應用科學,實用心理學,男生,百分比,,,8.6%,28.6%,97.1%,2.9%
45,應用科學,實用心理學,女生,人數,73,66,15,37,64,2
46,應用科學,實用心理學,女生,百分比,,,22.7%,56.1%,97.0%,3.0%
47,應用科學,實用心理學,總數,人數,115,101,18,47,98,3
48,應用科學,實用心理學,總數,百分比,,,17.8%,46.5%,97.0%,3.0%
49,商業、管理及法律,電子商務會計,男生,人數,17,13,1,3,11,2
50,商業、管理及法律,電子商務會計,男生,百分比,,,7.7%,23.1%,84.6%,15.4%
51,商業、管理及法律,電子商務會計,女生,人數,8,7,1,6,7,0
52,商業、管理及法律,電子商務會計,女生,百分比,,,14.3%,85.7%,100.0%,0.0%
53,商業、管理及法律,電子商務會計,總數,人數,25,20,2,9,18,2
54,商業、管理及法律,電子商務會計,總數,百分比,,,10.0%,45.0%,90.0%,10.0%
55,商業、管理及法律,商業數據應用,男生,人數,6,6,1,3,5,1
56,商業、管理及法律,商業數據應用,男生,百分比,,,16.7%,50.0%,83.3%,16.7%
57,商業、管理及法律,商業數據應用,女生,人數,2,2,1,2,2,0
58,商業、管理及法律,商業數據應用,女生,百分比,,,50.0%,100.0%,100.0%,0.0%
59,商業、管理及法律,商業數據應用,總數,人數,8,8,2,5,7,1
60,商業、管理及法律,商業數據應用,總數,百分比,,,25.0%,62.5%,87.5%,12.5%
61,商業、管理及法律,中小企創業實務,男生,人數,16,11,1,2,9,2
62,商業、管理及法律,中小企創業實務,男生,百分比,,,9.1%,18.2%,81.8%,18.2%
63,商業、管理及法律,中小企創業實務,女生,人數,8,8,2,5,8,0
64,商業、管理及法律,中小企創業實務,女生,百分比,,,25.0%,62.5%,100.0%,0.0%
65,商業、管理及法律,中小企創業實務,總數,人數,24,19,3,7,17,2
66,商業、管理及法律,中小企創業實務,總數,百分比,,,15.8%,36.8%,89.5%,10.5%
67,商業、管理及法律,香港執法實務,男生,人數,10,8,1,3,8,0
68,商業、管理及法律,香港執法實務,男生,百分比,,,12.5%,37.5%,100.0%,0.0%
69,商業、管理及法律,香港執法實務,女生,人數,13,13,2,3,10,3
70,商業、管理及法律,香港執法實務,女生,百分比,,,15.4%,23.1%,76.9%,23.1%
71,商業、管理及法律,香港執法實務,總數,人數,23,21,3,6,18,3
72,商業、管理及法律,香港執法實務,總數,百分比,,,14.3%,28.6%,85.7%,14.3%
73,商業、管理及法律,市場營銷及網上推廣,男生,人數,26,22,2,10,20,2
74,商業、管理及法律,市場營銷及網上推廣,男生,百分比,,,9.1%,45.5%,90.9%,9.1%
75,商業、管理及法律,市場營銷及網上推廣,女生,人數,15,14,4,6,13,1
76,商業、管理及法律,市場營銷及網上推廣,女生,百分比,,,28.6%,42.9%,92.9%,7.1%
77,商業、管理及法律,市場營銷及網上推廣,總數,人數,41,36,6,16,33,3
78,商業、管理及法律,市場營銷及網上推廣,總數,百分比,,,16.7%,44.4%,91.7%,8.3%
79,創意學習,電腦遊戲及動畫設計,男生,人數,119,107,3,24,104,3
80,創意學習,電腦遊戲及動畫設計,男生,百分比,,,2.8%,22.4%,97.2%,2.8%
81,創意學習,電腦遊戲及動畫設計,女生,人數,40,39,7,24,38,1
82,創意學習,電腦遊戲及動畫設計,女生,百分比,,,17.9%,61.5%,97.4%,2.6%
83,創意學習,電腦遊戲及動畫設計,總數,人數,159,146,10,48,142,4
84,創意學習,電腦遊戲及動畫設計,總數,百分比,,,6.8%,32.9%,97.3%,2.7%
85,創意學習,數碼漫畫設計與製作,男生,人數,34,34,6,11,33,1
86,創意學習,數碼漫畫設計與製作,男生,百分比,,,17.6%,32.4%,97.1%,2.9%
87,創意學習,數碼漫畫設計與製作,女生,人數,68,65,7,25,63,2
88,創意學習,數碼漫畫設計與製作,女生,百分比,,,10.8%,38.5%,96.9%,3.1%
89,創意學習,數碼漫畫設計與製作,總數,人數,102,99,13,36,96,3
90,創意學習,數碼漫畫設計與製作,總數,百分比,,,13.1%,36.4%,97.0%,3.0%
91,創意學習,展示及首飾設計,男生,人數,5,4,0,0,4,0
92,創意學習,展示及首飾設計,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
93,創意學習,展示及首飾設計,女生,人數,14,13,1,5,12,1
94,創意學習,展示及首飾設計,女生,百分比,,,7.7%,38.5%,92.3%,7.7%
95,創意學習,展示及首飾設計,總數,人數,19,17,1,5,16,1
96,創意學習,展示及首飾設計,總數,百分比,,,5.9%,29.4%,94.1%,5.9%
97,創意學習,時裝形象設計,男生,人數,33,30,1,3,30,0
98,創意學習,時裝形象設計,男生,百分比,,,3.3%,10.0%,100.0%,0.0%
99,創意學習,時裝形象設計,女生,人數,110,107,9,33,106,1
100,創意學習,時裝形象設計,女生,百分比,,,8.4%,30.8%,99.1%,0.9%
101,創意學習,時裝形象設計,總數,人數,143,137,10,36,136,1
102,創意學習,時裝形象設計,總數,百分比,,,7.3%,26.3%,99.3%,0.7%
103,創意學習,室內設計,男生,人數,53,48,1,6,31,17
104,創意學習,室內設計,男生,百分比,,,2.1%,12.5%,64.6%,35.4%
105,創意學習,室內設計,女生,人數,55,52,7,23,47,5
106,創意學習,室內設計,女生,百分比,,,13.5%,44.2%,90.4%,9.6%
107,創意學習,室內設計,總數,人數,108,100,8,29,78,22
108,創意學習,室內設計,總數,百分比,,,8.0%,29.0%,78.0%,22.0%
109,創意學習,舞出新機－舞蹈藝術,男生,人數,8,7,1,2,6,1
110,創意學習,舞出新機－舞蹈藝術,男生,百分比,,,14.3%,28.6%,85.7%,14.3%
111,創意學習,舞出新機－舞蹈藝術,女生,人數,46,43,4,17,42,1
112,創意學習,舞出新機－舞蹈藝術,女生,百分比,,,9.3%,39.5%,97.7%,2.3%
113,創意學習,舞出新機－舞蹈藝術,總數,人數,54,50,5,19,48,2
114,創意學習,舞出新機－舞蹈藝術,總數,百分比,,,10.0%,38.0%,96.0%,4.0%
115,創意學習,由戲開始．劇藝縱橫,男生,人數,15,13,2,5,13,0
116,創意學習,由戲開始．劇藝縱橫,男生,百分比,,,15.4%,38.5%,100.0%,0.0%
117,創意學習,由戲開始．劇藝縱橫,女生,人數,51,50,9,23,50,0
118,創意學習,由戲開始．劇藝縱橫,女生,百分比,,,18.0%,46.0%,100.0%,0.0%
119,創意學習,由戲開始．劇藝縱橫,總數,人數,66,63,11,28,63,0
120,創意學習,由戲開始．劇藝縱橫,總數,百分比,,,17.5%,44.4%,100.0%,0.0%
121,工程及生產,航空學,男生,人數,186,178,13,36,171,7
122,工程及生產,航空學,男生,百分比,,,7.3%,20.2%,96.1%,3.9%
123,工程及生產,航空學,女生,人數,76,69,5,16,66,3
124,工程及生產,航空學,女生,百分比,,,7.2%,23.2%,95.7%,4.3%
125,工程及生產,航空學,總數,人數,262,247,18,52,237,10
126,工程及生產,航空學,總數,百分比,,,7.3%,21.1%,96.0%,4.0%
127,工程及生產,電腦鑑證科技,男生,人數,29,26,3,7,25,1
128,工程及生產,電腦鑑證科技,男生,百分比,,,11.5%,26.9%,96.2%,3.8%
129,工程及生產,電腦鑑證科技,女生,人數,2,2,0,2,2,0
130,工程及生產,電腦鑑證科技,女生,百分比,,,0.0%,100.0%,100.0%,0.0%
131,工程及生產,電腦鑑證科技,總數,人數,31,28,3,9,27,1
132,工程及生產,電腦鑑證科技,總數,百分比,,,10.7%,32.1%,96.4%,3.6%
133,工程及生產,建構智慧城市,男生,人數,16,16,2,5,16,0
134,工程及生產,建構智慧城市,男生,百分比,,,12.5%,31.3%,100.0%,0.0%
135,工程及生產,建構智慧城市,女生,人數,3,2,2,2,2,0
136,工程及生產,建構智慧城市,女生,百分比,,,100.0%,100.0%,100.0%,0.0%
137,工程及生產,建構智慧城市,總數,人數,19,18,4,7,18,0
138,工程及生產,建構智慧城市,總數,百分比,,,22.2%,38.9%,100.0%,0.0%
139,工程及生產,電機及能源工程,男生,人數,66,62,2,7,60,2
140,工程及生產,電機及能源工程,男生,百分比,,,3.2%,11.3%,96.8%,3.2%
141,工程及生產,電機及能源工程,女生,人數,2,2,0,2,2,0
142,工程及生產,電機及能源工程,女生,百分比,,,0.0%,100.0%,100.0%,0.0%
143,工程及生產,電機及能源工程,總數,人數,68,64,2,9,62,2
144,工程及生產,電機及能源工程,總數,百分比,,,3.1%,14.1%,96.9%,3.1%
145,工程及生產,鐵路學,男生,人數,36,35,1,4,28,7
146,工程及生產,鐵路學,男生,百分比,,,2.9%,11.4%,80.0%,20.0%
147,工程及生產,鐵路學,女生,人數,1,1,0,0,1,0
148,工程及生產,鐵路學,女生,百分比,,,0.0%,0.0%,100.0%,0.0%
149,工程及生產,鐵路學,總數,人數,37,36,1,4,29,7
150,工程及生產,鐵路學,總數,百分比,,,2.8%,11.1%,80.6%,19.4%
151,工程及生產,資訊科技精要,男生,人數,66,60,5,14,57,3
152,工程及生產,資訊科技精要,男生,百分比,,,8.3%,23.3%,95.0%,5.0%
153,工程及生產,資訊科技精要,女生,人數,26,22,0,5,19,3
154,工程及生產,資訊科技精要,女生,百分比,,,0.0%,22.7%,86.4%,13.6%
155,工程及生產,資訊科技精要,總數,人數,92,82,5,19,76,6
156,工程及生產,資訊科技精要,總數,百分比,,,6.1%,23.2%,92.7%,7.3%
157,媒體及傳意,創意廣告,男生,人數,0,0,-,-,-,-
158,媒體及傳意,創意廣告,男生,百分比,,,-,-,-,-
159,媒體及傳意,創意廣告,女生,人數,0,0,-,-,-,-
160,媒體及傳意,創意廣告,女生,百分比,,,-,-,-,-
161,媒體及傳意,創意廣告,總數,人數,0,0,-,-,-,-
162,媒體及傳意,創意廣告,總數,百分比,,,-,-,-,-
163,媒體及傳意,電影及超媒體,男生,人數,80,74,6,11,64,10
164,媒體及傳意,電影及超媒體,男生,百分比,,,8.1%,14.9%,86.5%,13.5%
165,媒體及傳意,電影及超媒體,女生,人數,52,49,8,22,46,3
166,媒體及傳意,電影及超媒體,女生,百分比,,,16.3%,44.9%,93.9%,6.1%
167,媒體及傳意,電影及超媒體,總數,人數,132,123,14,33,110,13
168,媒體及傳意,電影及超媒體,總數,百分比,,,11.4%,26.8%,89.4%,10.6%
169,媒體及傳意,雜誌編輯與製作,男生,人數,2,2,2,2,2,0
170,媒體及傳意,雜誌編輯與製作,男生,百分比,,,100.0%,100.0%,100.0%,0.0%
171,媒體及傳意,雜誌編輯與製作,女生,人數,14,11,1,5,11,0
172,媒體及傳意,雜誌編輯與製作,女生,百分比,,,9.1%,45.5%,100.0%,0.0%
173,媒體及傳意,雜誌編輯與製作,總數,人數,16,13,3,7,13,0
174,媒體及傳意,雜誌編輯與製作,總數,百分比,,,23.1%,53.8%,100.0%,0.0%
175,媒體及傳意,公關及多媒體傳訊,男生,人數,4,4,2,2,4,0
176,媒體及傳意,公關及多媒體傳訊,男生,百分比,,,50.0%,50.0%,100.0%,0.0%
177,媒體及傳意,公關及多媒體傳訊,女生,人數,16,15,2,8,15,0
178,媒體及傳意,公關及多媒體傳訊,女生,百分比,,,13.3%,53.3%,100.0%,0.0%
179,媒體及傳意,公關及多媒體傳訊,總數,人數,20,19,4,10,19,0
180,媒體及傳意,公關及多媒體傳訊,總數,百分比,,,21.1%,52.6%,100.0%,0.0%
181,服務,機場客運大樓運作,男生,人數,32,28,1,8,21,7
182,服務,機場客運大樓運作,男生,百分比,,,3.6%,28.6%,75.0%,25.0%
183,服務,機場客運大樓運作,女生,人數,21,20,1,5,16,4
184,服務,機場客運大樓運作,女生,百分比,,,5.0%,25.0%,80.0%,20.0%
185,服務,機場客運大樓運作,總數,人數,53,48,2,13,37,11
186,服務,機場客運大樓運作,總數,百分比,,,4.2%,27.1%,77.1%,22.9%
187,服務,幼兒發展,男生,人數,1,1,0,0,1,0
188,服務,幼兒發展,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
189,服務,幼兒發展,女生,人數,34,34,6,15,34,0
190,服務,幼兒發展,女生,百分比,,,17.6%,44.1%,100.0%,0.0%
191,服務,幼兒發展,總數,人數,35,35,6,15,35,0
192,服務,幼兒發展,總數,百分比,,,17.1%,42.9%,100.0%,0.0%
193,服務,幼兒教育,男生,人數,8,8,0,0,8,0
194,服務,幼兒教育,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
195,服務,幼兒教育,女生,人數,156,154,12,53,151,3
196,服務,幼兒教育,女生,百分比,,,7.8%,34.4%,98.1%,1.9%
197,服務,幼兒教育,總數,人數,164,162,12,53,159,3
198,服務,幼兒教育,總數,百分比,,,7.4%,32.7%,98.1%,1.9%
199,服務,美容學基礎,男生,人數,10,4,0,1,2,2
200,服務,美容學基礎,男生,百分比,,,0.0%,25.0%,50.0%,50.0%
201,服務,美容學基礎,女生,人數,115,97,7,27,96,1
202,服務,美容學基礎,女生,百分比,,,7.2%,27.8%,99.0%,1.0%
203,服務,美容學基礎,總數,人數,125,101,7,28,98,3
204,服務,美容學基礎,總數,百分比,,,6.9%,27.7%,97.0%,3.0%
205,服務,酒店服務營運,男生,人數,39,37,1,8,31,6
206,服務,酒店服務營運,男生,百分比,,,2.7%,21.6%,83.8%,16.2%
207,服務,酒店服務營運,女生,人數,36,34,4,15,33,1
208,服務,酒店服務營運,女生,百分比,,,11.8%,44.1%,97.1%,2.9%
209,服務,酒店服務營運,總數,人數,75,71,5,23,64,7
210,服務,酒店服務營運,總數,百分比,,,7.0%,32.4%,90.1%,9.9%
211,服務,酒店營運,男生,人數,52,46,2,3,38,8
212,服務,酒店營運,男生,百分比,,,4.3%,6.5%,82.6%,17.4%
213,服務,酒店營運,女生,人數,43,35,1,6,30,5
214,服務,酒店營運,女生,百分比,,,2.9%,17.1%,85.7%,14.3%
215,服務,酒店營運,總數,人數,95,81,3,9,68,13
216,服務,酒店營運,總數,百分比,,,3.7%,11.1%,84.0%,16.0%
217,服務,甜品及咖啡店營運,男生,人數,104,91,4,14,74,17
218,服務,甜品及咖啡店營運,男生,百分比,,,4.4%,15.4%,81.3%,18.7%
219,服務,甜品及咖啡店營運,女生,人數,175,165,15,50,158,7
220,服務,甜品及咖啡店營運,女生,百分比,,,9.1%,30.3%,95.8%,4.2%
221,服務,甜品及咖啡店營運,總數,人數,279,256,19,64,232,24
222,服務,甜品及咖啡店營運,總數,百分比,,,7.4%,25.0%,90.6%,9.4%
223,服務,西式食品製作,男生,人數,240,205,5,23,183,22
224,服務,西式食品製作,男生,百分比,,,2.4%,11.2%,89.3%,10.7%
225,服務,西式食品製作,女生,人數,254,228,14,45,211,17
226,服務,西式食品製作,女生,百分比,,,6.1%,19.7%,92.5%,7.5%
227,服務,西式食品製作,總數,人數,494,433,19,68,394,39
228,服務,西式食品製作,總數,百分比,,,4.4%,15.7%,91.0%,9.0%
229,所有乙類學科 (不包括應用學習中文),,男生,人數,1693,1514,100,313,1348,166
230,所有乙類學科 (不包括應用學習中文),,男生,百分比,,,6.6%,20.7%,89.0%,11.0%
231,所有乙類學科 (不包括應用學習中文),,女生,人數,1845,1715,197,622,1634,81
232,所有乙類學科 (不包括應用學習中文),,女生,百分比,,,11.5%,36.3%,95.3%,4.7%
233,所有乙類學科 (不包括應用學習中文),,總數,人數,3538,3229,297,935,2982,247
234,所有乙類學科 (不包括應用學習中文),,總數,百分比,,,9.2%,29.0%,92.4%,7.6%
