行號,數學必修部分成績,類別,數學延伸部分成績 - 5**,數學延伸部分成績 - 5*,數學延伸部分成績 - 5,數學延伸部分成績 - 4,數學延伸部分成績 - 3,數學延伸部分成績 - 2,數學延伸部分成績 - 1,數學延伸部分成績 - U,總數
1,5**,人數,142,182,124,33,3,,,1,485
2,5**,百分比,2.3%,3.0%,2.0%,0.5%,0.0%,,,0.0%,8.0%
3,5*,人數,67,336,512,262,67,12,2,,1258
4,5*,百分比,1.1%,5.5%,8.4%,4.3%,1.1%,0.2%,0.0%,,20.7%
5,5,人數,7,95,455,639,342,77,14,1,1630
6,5,百分比,0.1%,1.6%,7.5%,10.5%,5.6%,1.3%,0.2%,0.0%,26.9%
7,4,人數,1,11,106,458,785,582,156,29,2128
8,4,百分比,0.0%,0.2%,1.7%,7.5%,12.9%,9.6%,2.6%,0.5%,35.1%
9,3,人數,,,1,1,43,174,170,57,446
10,3,百分比,,,0.0%,0.0%,0.7%,2.9%,2.8%,0.9%,7.4%
11,2,人數,,,,,,5,33,71,109
12,2,百分比,,,,,,0.1%,0.5%,1.2%,1.8%
13,1,人數,,,,,,,,10,10
14,1,百分比,,,,,,,,0.2%,0.2%
15,U,人數,,,,,,,,1,1
16,U,百分比,,,,,,,,0.0%,0.0%
17,總數,人數,217,624,1198,1393,1240,850,375,170,6067
18,總數,百分比,3.6%,10.3%,19.7%,23.0%,20.4%,14.0%,6.2%,2.8%,100.0%
