行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
1,生物,,男生,人數,5706,5349,,134,484,1176,2614,3839,4858,5123,226
2,生物,,男生,百分比,,,41.2,2.5%,9.0%,22.0%,48.9%,71.8%,90.8%,95.8%,4.2%
3,生物,,女生,人數,7432,7063,,113,478,1227,3103,4885,6420,6813,250
4,生物,,女生,百分比,,,37.7,1.6%,6.8%,17.4%,43.9%,69.2%,90.9%,96.5%,3.5%
5,生物,,總數,人數,13138,12412,,247,962,2403,5717,8724,11278,11936,476
6,生物,,總數,百分比,,,39.2,2.0%,7.8%,19.4%,46.1%,70.3%,90.9%,96.2%,3.8%
7,企業、會計與財務概論,會計,男生,人數,3185,2918,,55,201,491,1292,1999,2626,2829,89
8,企業、會計與財務概論,會計,男生,百分比,,,40.8,1.9%,6.9%,16.8%,44.3%,68.5%,90.0%,96.9%,3.1%
9,企業、會計與財務概論,會計,女生,人數,3668,3486,,54,191,498,1473,2437,3179,3417,69
10,企業、會計與財務概論,會計,女生,百分比,,,30.1,1.5%,5.5%,14.3%,42.3%,69.9%,91.2%,98.0%,2.0%
11,企業、會計與財務概論,會計,總數,人數,6853,6404,,109,392,989,2765,4436,5805,6246,158
12,企業、會計與財務概論,會計,總數,百分比,,,35.0,1.7%,6.1%,15.4%,43.2%,69.3%,90.6%,97.5%,2.5%
13,企業、會計與財務概論,商業管理,男生,人數,1375,1250,,10,36,83,347,679,1061,1195,55
14,企業、會計與財務概論,商業管理,男生,百分比,,,74.5,0.8%,2.9%,6.6%,27.8%,54.3%,84.9%,95.6%,4.4%
15,企業、會計與財務概論,商業管理,女生,人數,1402,1325,,9,44,121,440,829,1191,1293,32
16,企業、會計與財務概論,商業管理,女生,百分比,,,71.4,0.7%,3.3%,9.1%,33.2%,62.6%,89.9%,97.6%,2.4%
17,企業、會計與財務概論,商業管理,總數,人數,2777,2575,,19,80,204,787,1508,2252,2488,87
18,企業、會計與財務概論,商業管理,總數,百分比,,,72.9,0.7%,3.1%,7.9%,30.6%,58.6%,87.5%,96.6%,3.4%
19,化學,,男生,人數,6785,6251,,206,757,1776,3345,4837,5505,5980,271
20,化學,,男生,百分比,,,27.5,3.3%,12.1%,28.4%,53.5%,77.4%,88.1%,95.7%,4.3%
21,化學,,女生,人數,5398,5056,,124,481,1190,2414,3724,4407,4832,224
22,化學,,女生,百分比,,,23.5,2.5%,9.5%,23.5%,47.7%,73.7%,87.2%,95.6%,4.4%
23,化學,,總數,人數,12183,11307,,330,1238,2966,5759,8561,9912,10812,495
24,化學,,總數,百分比,,,25.7,2.9%,10.9%,26.2%,50.9%,75.7%,87.7%,95.6%,4.4%
25,中國歷史,,男生,人數,2613,2376,,38,130,311,868,1530,2096,2266,110
26,中國歷史,,男生,百分比,,,-,1.6%,5.5%,13.1%,36.5%,64.4%,88.2%,95.4%,4.6%
27,中國歷史,,女生,人數,3303,3110,,37,169,432,1264,2127,2857,3036,74
28,中國歷史,,女生,百分比,,,-,1.2%,5.4%,13.9%,40.6%,68.4%,91.9%,97.6%,2.4%
29,中國歷史,,總數,人數,5916,5486,,75,299,743,2132,3657,4953,5302,184
30,中國歷史,,總數,百分比,,,-,1.4%,5.5%,13.5%,38.9%,66.7%,90.3%,96.6%,3.4%
31,中國語文,,男生,人數,23066,22158,,119,489,1340,5040,10993,18315,21137,1021
32,中國語文,,男生,百分比,,,-,0.5%,2.2%,6.0%,22.7%,49.6%,82.7%,95.4%,4.6%
33,中國語文,,女生,人數,21758,21144,,367,1430,3335,8837,14586,19490,20801,343
34,中國語文,,女生,百分比,,,-,1.7%,6.8%,15.8%,41.8%,69.0%,92.2%,98.4%,1.6%
35,中國語文,,總數,人數,44824,43302,,486,1919,4675,13877,25579,37805,41938,1364
36,中國語文,,總數,百分比,,,-,1.1%,4.4%,10.8%,32.0%,59.1%,87.3%,96.9%,3.1%
37,中國文學,,男生,人數,288,257,,3,14,35,79,163,213,243,14
38,中國文學,,男生,百分比,,,-,1.2%,5.4%,13.6%,30.7%,63.4%,82.9%,94.6%,5.4%
39,中國文學,,女生,人數,1015,973,,13,56,141,368,678,885,954,19
40,中國文學,,女生,百分比,,,-,1.3%,5.8%,14.5%,37.8%,69.7%,91.0%,98.0%,2.0%
41,中國文學,,總數,人數,1303,1230,,16,70,176,447,841,1098,1197,33
42,中國文學,,總數,百分比,,,-,1.3%,5.7%,14.3%,36.3%,68.4%,89.3%,97.3%,2.7%
43,設計與應用科技,,男生,人數,404,354,,0,4,13,45,92,242,305,49
44,設計與應用科技,,男生,百分比,,,95.2,0.0%,1.1%,3.7%,12.7%,26.0%,68.4%,86.2%,13.8%
45,設計與應用科技,,女生,人數,163,145,,2,4,8,31,55,108,133,12
46,設計與應用科技,,女生,百分比,,,89.7,1.4%,2.8%,5.5%,21.4%,37.9%,74.5%,91.7%,8.3%
47,設計與應用科技,,總數,人數,567,499,,2,8,21,76,147,350,438,61
48,設計與應用科技,,總數,百分比,,,93.6,0.4%,1.6%,4.2%,15.2%,29.5%,70.1%,87.8%,12.2%
49,經濟,,男生,人數,5967,5516,,132,479,1139,2555,3665,4684,5211,305
50,經濟,,男生,百分比,,,45.8,2.4%,8.7%,20.6%,46.3%,66.4%,84.9%,94.5%,5.5%
51,經濟,,女生,人數,6331,6043,,108,381,1008,2753,4001,5165,5716,327
52,經濟,,女生,百分比,,,36.2,1.8%,6.3%,16.7%,45.6%,66.2%,85.5%,94.6%,5.4%
53,經濟,,總數,人數,12298,11559,,240,860,2147,5308,7666,9849,10927,632
54,經濟,,總數,百分比,,,40.8,2.1%,7.4%,18.6%,45.9%,66.3%,85.2%,94.5%,5.5%
55,英國語文,,男生,人數,24158,23347,,152,728,2011,5703,11426,17520,20729,2618
56,英國語文,,男生,百分比,,,-,0.7%,3.1%,8.6%,24.4%,48.9%,75.0%,88.8%,11.2%
57,英國語文,,女生,人數,23051,22512,,294,1034,2464,6419,12242,18288,21096,1416
58,英國語文,,女生,百分比,,,-,1.3%,4.6%,10.9%,28.5%,54.4%,81.2%,93.7%,6.3%
59,英國語文,,總數,人數,47209,45859,,446,1762,4475,12122,23668,35808,41825,4034
60,英國語文,,總數,百分比,,,-,1.0%,3.8%,9.8%,26.4%,51.6%,78.1%,91.2%,8.8%
61,倫理與宗教,,男生,人數,336,275,,2,6,14,53,160,238,264,11
62,倫理與宗教,,男生,百分比,,,95.6,0.7%,2.2%,5.1%,19.3%,58.2%,86.5%,96.0%,4.0%
63,倫理與宗教,,女生,人數,409,368,,5,18,46,136,264,343,363,5
64,倫理與宗教,,女生,百分比,,,95.9,1.4%,4.9%,12.5%,37.0%,71.7%,93.2%,98.6%,1.4%
65,倫理與宗教,,總數,人數,745,643,,7,24,60,189,424,581,627,16
66,倫理與宗教,,總數,百分比,,,95.8,1.1%,3.7%,9.3%,29.4%,65.9%,90.4%,97.5%,2.5%
67,地理,,男生,人數,3480,3228,,49,180,415,1172,1985,2795,3130,98
68,地理,,男生,百分比,,,62.3,1.5%,5.6%,12.9%,36.3%,61.5%,86.6%,97.0%,3.0%
