No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
1,Applied Learning (Vocational English),English Communication,Male,Number,87,79,16,35,66,13
2,Applied Learning (Vocational English),English Communication,Male,Percentage,,,20.3%,44.3%,83.5%,16.5%
3,Applied Learning (Vocational English),English Communication,Female,Number,101,98,24,51,89,9
4,Applied Learning (Vocational English),English Communication,Female,Percentage,,,24.5%,52.0%,90.8%,9.2%
5,Applied Learning (Vocational English),English Communication,Total,Number,188,177,40,86,155,22
6,Applied Learning (Vocational English),English Communication,Total,Percentage,,,22.6%,48.6%,87.6%,12.4%
7,Applied Learning (Vocational English),English for Service Professionals,Male,Number,49,48,4,10,34,14
8,Applied Learning (Vocational English),English for Service Professionals,Male,Percentage,,,8.3%,20.8%,70.8%,29.2%
9,Applied Learning (Vocational English),English for Service Professionals,Female,Number,32,32,6,16,27,5
10,Applied Learning (Vocational English),English for Service Professionals,Female,Percentage,,,18.8%,50.0%,84.4%,15.6%
11,Applied Learning (Vocational English),English for Service Professionals,Total,Number,81,80,10,26,61,19
12,Applied Learning (Vocational English),English for Service Professionals,Total,Percentage,,,12.5%,32.5%,76.3%,23.8%
13,Applied Science,Animal Care,Male,Number,16,16,3,5,14,2
14,Applied Science,Animal Care,Male,Percentage,,,18.8%,31.3%,87.5%,12.5%
15,Applied Science,Animal Care,Female,Number,45,44,11,25,41,3
16,Applied Science,Animal Care,Female,Percentage,,,25.0%,56.8%,93.2%,6.8%
17,Applied Science,Animal Care,Total,Number,61,60,14,30,55,5
18,Applied Science,Animal Care,Total,Percentage,,,23.3%,50.0%,91.7%,8.3%
19,Applied Science,Applied Psychology,Male,Number,78,70,10,23,63,7
20,Applied Science,Applied Psychology,Male,Percentage,,,14.3%,32.9%,90.0%,10.0%
21,Applied Science,Applied Psychology,Female,Number,114,109,30,67,108,1
22,Applied Science,Applied Psychology,Female,Percentage,,,27.5%,61.5%,99.1%,0.9%
23,Applied Science,Applied Psychology,Total,Number,192,179,40,90,171,8
24,Applied Science,Applied Psychology,Total,Percentage,,,22.3%,50.3%,95.5%,4.5%
25,Applied Science,Exercise and Fitness Coaching,Male,Number,76,60,2,8,49,11
26,Applied Science,Exercise and Fitness Coaching,Male,Percentage,,,3.3%,13.3%,81.7%,18.3%
27,Applied Science,Exercise and Fitness Coaching,Female,Number,16,16,1,4,14,2
28,Applied Science,Exercise and Fitness Coaching,Female,Percentage,,,6.3%,25.0%,87.5%,12.5%
29,Applied Science,Exercise and Fitness Coaching,Total,Number,92,76,3,12,63,13
30,Applied Science,Exercise and Fitness Coaching,Total,Percentage,,,3.9%,15.8%,82.9%,17.1%
31,Applied Science,Exercise Science and Health Fitness,Male,Number,43,36,3,7,31,5
32,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,8.3%,19.4%,86.1%,13.9%
33,Applied Science,Exercise Science and Health Fitness,Female,Number,15,15,0,7,14,1
34,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,0.0%,46.7%,93.3%,6.7%
35,Applied Science,Exercise Science and Health Fitness,Total,Number,58,51,3,14,45,6
36,Applied Science,Exercise Science and Health Fitness,Total,Percentage,,,5.9%,27.5%,88.2%,11.8%
37,Applied Science,Food Innovation and Science,Male,Number,0,0,-,-,-,-
38,Applied Science,Food Innovation and Science,Male,Percentage,,,-,-,-,-
39,Applied Science,Food Innovation and Science,Female,Number,0,0,-,-,-,-
40,Applied Science,Food Innovation and Science,Female,Percentage,,,-,-,-,-
41,Applied Science,Food Innovation and Science,Total,Number,0,0,-,-,-,-
42,Applied Science,Food Innovation and Science,Total,Percentage,,,-,-,-,-
43,Applied Science,Foundation in Chinese Medicine,Male,Number,29,26,4,10,22,4
44,Applied Science,Foundation in Chinese Medicine,Male,Percentage,,,15.4%,38.5%,84.6%,15.4%
45,Applied Science,Foundation in Chinese Medicine,Female,Number,46,43,13,23,42,1
46,Applied Science,Foundation in Chinese Medicine,Female,Percentage,,,30.2%,53.5%,97.7%,2.3%
47,Applied Science,Foundation in Chinese Medicine,Total,Number,75,69,17,33,64,5
48,Applied Science,Foundation in Chinese Medicine,Total,Percentage,,,24.6%,47.8%,92.8%,7.2%
49,Applied Science,Health Care Practice,Male,Number,35,33,4,10,32,1
50,Applied Science,Health Care Practice,Male,Percentage,,,12.1%,30.3%,97.0%,3.0%
51,Applied Science,Health Care Practice,Female,Number,105,98,16,47,97,1
52,Applied Science,Health Care Practice,Female,Percentage,,,16.3%,48.0%,99.0%,1.0%
53,Applied Science,Health Care Practice,Total,Number,140,131,20,57,129,2
54,Applied Science,Health Care Practice,Total,Percentage,,,15.3%,43.5%,98.5%,1.5%
55,Applied Science,Medical Laboratory Science,Male,Number,24,22,4,11,13,9
56,Applied Science,Medical Laboratory Science,Male,Percentage,,,18.2%,50.0%,59.1%,40.9%
57,Applied Science,Medical Laboratory Science,Female,Number,44,40,13,27,29,11
58,Applied Science,Medical Laboratory Science,Female,Percentage,,,32.5%,67.5%,72.5%,27.5%
59,Applied Science,Medical Laboratory Science,Total,Number,68,62,17,38,42,20
60,Applied Science,Medical Laboratory Science,Total,Percentage,,,27.4%,61.3%,67.7%,32.3%
61,Applied Science,Practical Psychology,Male,Number,32,26,1,7,25,1
62,Applied Science,Practical Psychology,Male,Percentage,,,3.8%,26.9%,96.2%,3.8%
63,Applied Science,Practical Psychology,Female,Number,49,46,14,23,45,1
64,Applied Science,Practical Psychology,Female,Percentage,,,30.4%,50.0%,97.8%,2.2%
65,Applied Science,Practical Psychology,Total,Number,81,72,15,30,70,2
66,Applied Science,Practical Psychology,Total,Percentage,,,20.8%,41.7%,97.2%,2.8%
67,Applied Science,Rehabilitation Care Practice,Male,Number,21,19,1,3,18,1
68,Applied Science,Rehabilitation Care Practice,Male,Percentage,,,5.3%,15.8%,94.7%,5.3%
69,Applied Science,Rehabilitation Care Practice,Female,Number,28,28,6,14,27,1
70,Applied Science,Rehabilitation Care Practice,Female,Percentage,,,21.4%,50.0%,96.4%,3.6%
71,Applied Science,Rehabilitation Care Practice,Total,Number,49,47,7,17,45,2
72,Applied Science,Rehabilitation Care Practice,Total,Percentage,,,14.9%,36.2%,95.7%,4.3%
73,"Business, Management and Law",Accounting for e-Business,Male,Number,32,32,3,12,29,3
74,"Business, Management and Law",Accounting for e-Business,Male,Percentage,,,9.4%,37.5%,90.6%,9.4%
75,"Business, Management and Law",Accounting for e-Business,Female,Number,17,17,5,11,17,0
76,"Business, Management and Law",Accounting for e-Business,Female,Percentage,,,29.4%,64.7%,100.0%,0.0%
77,"Business, Management and Law",Accounting for e-Business,Total,Number,49,49,8,23,46,3
78,"Business, Management and Law",Accounting for e-Business,Total,Percentage,,,16.3%,46.9%,93.9%,6.1%
79,"Business, Management and Law",Data Application for Business,Male,Number,11,9,0,3,8,1
80,"Business, Management and Law",Data Application for Business,Male,Percentage,,,0.0%,33.3%,88.9%,11.1%
81,"Business, Management and Law",Data Application for Business,Female,Number,15,13,4,9,13,0
