行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),達標並表現優異(I)或以上,達標或以上,未達標
1,應用學習 (職業英語),英文傳意,男生,人數,87,79,16,35,66,13
2,應用學習 (職業英語),英文傳意,男生,百分比,,,20.3%,44.3%,83.5%,16.5%
3,應用學習 (職業英語),英文傳意,女生,人數,101,98,24,51,89,9
4,應用學習 (職業英語),英文傳意,女生,百分比,,,24.5%,52.0%,90.8%,9.2%
5,應用學習 (職業英語),英文傳意,總數,人數,188,177,40,86,155,22
6,應用學習 (職業英語),英文傳意,總數,百分比,,,22.6%,48.6%,87.6%,12.4%
7,應用學習 (職業英語),服務業專業英語,男生,人數,49,48,4,10,34,14
8,應用學習 (職業英語),服務業專業英語,男生,百分比,,,8.3%,20.8%,70.8%,29.2%
9,應用學習 (職業英語),服務業專業英語,女生,人數,32,32,6,16,27,5
10,應用學習 (職業英語),服務業專業英語,女生,百分比,,,18.8%,50.0%,84.4%,15.6%
11,應用學習 (職業英語),服務業專業英語,總數,人數,81,80,10,26,61,19
12,應用學習 (職業英語),服務業專業英語,總數,百分比,,,12.5%,32.5%,76.3%,23.8%
13,應用科學,動物護理,男生,人數,16,16,3,5,14,2
14,應用科學,動物護理,男生,百分比,,,18.8%,31.3%,87.5%,12.5%
15,應用科學,動物護理,女生,人數,45,44,11,25,41,3
16,應用科學,動物護理,女生,百分比,,,25.0%,56.8%,93.2%,6.8%
17,應用科學,動物護理,總數,人數,61,60,14,30,55,5
18,應用科學,動物護理,總數,百分比,,,23.3%,50.0%,91.7%,8.3%
19,應用科學,應用心理學,男生,人數,78,70,10,23,63,7
20,應用科學,應用心理學,男生,百分比,,,14.3%,32.9%,90.0%,10.0%
21,應用科學,應用心理學,女生,人數,114,109,30,67,108,1
22,應用科學,應用心理學,女生,百分比,,,27.5%,61.5%,99.1%,0.9%
23,應用科學,應用心理學,總數,人數,192,179,40,90,171,8
24,應用科學,應用心理學,總數,百分比,,,22.3%,50.3%,95.5%,4.5%
25,應用科學,運動及體適能教練,男生,人數,76,60,2,8,49,11
26,應用科學,運動及體適能教練,男生,百分比,,,3.3%,13.3%,81.7%,18.3%
27,應用科學,運動及體適能教練,女生,人數,16,16,1,4,14,2
28,應用科學,運動及體適能教練,女生,百分比,,,6.3%,25.0%,87.5%,12.5%
29,應用科學,運動及體適能教練,總數,人數,92,76,3,12,63,13
30,應用科學,運動及體適能教練,總數,百分比,,,3.9%,15.8%,82.9%,17.1%
31,應用科學,運動科學及體適能,男生,人數,43,36,3,7,31,5
32,應用科學,運動科學及體適能,男生,百分比,,,8.3%,19.4%,86.1%,13.9%
33,應用科學,運動科學及體適能,女生,人數,15,15,0,7,14,1
34,應用科學,運動科學及體適能,女生,百分比,,,0.0%,46.7%,93.3%,6.7%
35,應用科學,運動科學及體適能,總數,人數,58,51,3,14,45,6
36,應用科學,運動科學及體適能,總數,百分比,,,5.9%,27.5%,88.2%,11.8%
37,應用科學,食品創新與科學,男生,人數,0,0,-,-,-,-
38,應用科學,食品創新與科學,男生,百分比,,,-,-,-,-
39,應用科學,食品創新與科學,女生,人數,0,0,-,-,-,-
40,應用科學,食品創新與科學,女生,百分比,,,-,-,-,-
41,應用科學,食品創新與科學,總數,人數,0,0,-,-,-,-
42,應用科學,食品創新與科學,總數,百分比,,,-,-,-,-
43,應用科學,中醫藥學基礎,男生,人數,29,26,4,10,22,4
44,應用科學,中醫藥學基礎,男生,百分比,,,15.4%,38.5%,84.6%,15.4%
45,應用科學,中醫藥學基礎,女生,人數,46,43,13,23,42,1
46,應用科學,中醫藥學基礎,女生,百分比,,,30.2%,53.5%,97.7%,2.3%
47,應用科學,中醫藥學基礎,總數,人數,75,69,17,33,64,5
48,應用科學,中醫藥學基礎,總數,百分比,,,24.6%,47.8%,92.8%,7.2%
49,應用科學,健康護理實務,男生,人數,35,33,4,10,32,1
50,應用科學,健康護理實務,男生,百分比,,,12.1%,30.3%,97.0%,3.0%
51,應用科學,健康護理實務,女生,人數,105,98,16,47,97,1
52,應用科學,健康護理實務,女生,百分比,,,16.3%,48.0%,99.0%,1.0%
53,應用科學,健康護理實務,總數,人數,140,131,20,57,129,2
54,應用科學,健康護理實務,總數,百分比,,,15.3%,43.5%,98.5%,1.5%
55,應用科學,醫務化驗科學,男生,人數,24,22,4,11,13,9
56,應用科學,醫務化驗科學,男生,百分比,,,18.2%,50.0%,59.1%,40.9%
57,應用科學,醫務化驗科學,女生,人數,44,40,13,27,29,11
58,應用科學,醫務化驗科學,女生,百分比,,,32.5%,67.5%,72.5%,27.5%
59,應用科學,醫務化驗科學,總數,人數,68,62,17,38,42,20
60,應用科學,醫務化驗科學,總數,百分比,,,27.4%,61.3%,67.7%,32.3%
61,應用科學,實用心理學,男生,人數,32,26,1,7,25,1
62,應用科學,實用心理學,男生,百分比,,,3.8%,26.9%,96.2%,3.8%
63,應用科學,實用心理學,女生,人數,49,46,14,23,45,1
64,應用科學,實用心理學,女生,百分比,,,30.4%,50.0%,97.8%,2.2%
65,應用科學,實用心理學,總數,人數,81,72,15,30,70,2
66,應用科學,實用心理學,總數,百分比,,,20.8%,41.7%,97.2%,2.8%
67,應用科學,復康護理實務,男生,人數,21,19,1,3,18,1
68,應用科學,復康護理實務,男生,百分比,,,5.3%,15.8%,94.7%,5.3%
69,應用科學,復康護理實務,女生,人數,28,28,6,14,27,1
70,應用科學,復康護理實務,女生,百分比,,,21.4%,50.0%,96.4%,3.6%
71,應用科學,復康護理實務,總數,人數,49,47,7,17,45,2
72,應用科學,復康護理實務,總數,百分比,,,14.9%,36.2%,95.7%,4.3%
73,商業、管理及法律,電子商務會計,男生,人數,32,32,3,12,29,3
74,商業、管理及法律,電子商務會計,男生,百分比,,,9.4%,37.5%,90.6%,9.4%
75,商業、管理及法律,電子商務會計,女生,人數,17,17,5,11,17,0
76,商業、管理及法律,電子商務會計,女生,百分比,,,29.4%,64.7%,100.0%,0.0%
