No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction,Attained or above,Unattained
1,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Number,26,21,2,14,7
2,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Percentage,,,9.5%,66.7%,33.3%
3,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Number,29,28,11,27,1
4,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Percentage,,,39.3%,96.4%,3.6%
5,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Number,55,49,13,41,8
6,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Percentage,,,26.5%,83.7%,16.3%
7,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Number,21,20,3,20,0
8,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Percentage,,,15.0%,100.0%,0.0%
9,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Number,15,15,5,14,1
10,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Percentage,,,33.3%,93.3%,6.7%
11,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Number,36,35,8,34,1
12,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Percentage,,,22.9%,97.1%,2.9%
13,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Number,25,23,6,18,5
14,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Percentage,,,26.1%,78.3%,21.7%
15,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Number,30,28,7,24,4
16,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Percentage,,,25.0%,85.7%,14.3%
17,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Number,55,51,13,42,9
18,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Percentage,,,25.5%,82.4%,17.6%
19,Applied Learning Chinese (for non-Chinese speaking students),,Male,Number,72,64,11,52,12
20,Applied Learning Chinese (for non-Chinese speaking students),,Male,Percentage,,,17.2%,81.3%,18.8%
21,Applied Learning Chinese (for non-Chinese speaking students),,Female,Number,74,71,23,65,6
22,Applied Learning Chinese (for non-Chinese speaking students),,Female,Percentage,,,32.4%,91.5%,8.5%
23,Applied Learning Chinese (for non-Chinese speaking students),,Total,Number,146,135,34,117,18
24,Applied Learning Chinese (for non-Chinese speaking students),,Total,Percentage,,,25.2%,86.7%,13.3%
