No.,Subject,Gender,Type,No. Entered,No. Sat,Performance - a,Performance - b+,Performance - c+,Performance - d+,Performance - e+,Performance - U
1,French Language,Male,Number,13,12,5,6,7,8,10,2
2,French Language,Male,Percentage,,,41.7%,50.0%,58.3%,66.7%,83.3%,16.7%
3,French Language,Female,Number,21,19,4,7,10,12,16,3
4,French Language,Female,Percentage,,,21.1%,36.8%,52.6%,63.2%,84.2%,15.8%
5,French Language,Total,Number,34,31,9,13,17,20,26,5
6,French Language,Total,Percentage,,,29.0%,41.9%,54.8%,64.5%,83.9%,16.1%
7,German Language,Male,Number,3,3,1,2,3,3,3,0
8,German Language,Male,Percentage,,,33.3%,66.7%,100.0%,100.0%,100.0%,0.0%
9,German Language,Female,Number,1,1,0,0,1,1,1,0
10,German Language,Female,Percentage,,,0.0%,0.0%,100.0%,100.0%,100.0%,0.0%
11,German Language,Total,Number,4,4,1,2,4,4,4,0
12,German Language,Total,Percentage,,,25.0%,50.0%,100.0%,100.0%,100.0%,0.0%
13,Hindi Language,Male,Number,1,1,0,0,0,0,1,0
14,Hindi Language,Male,Percentage,,,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
15,Hindi Language,Female,Number,3,3,0,1,2,2,2,1
16,Hindi Language,Female,Percentage,,,0.0%,33.3%,66.7%,66.7%,66.7%,33.3%
17,Hindi Language,Total,Number,4,4,0,1,2,2,3,1
18,Hindi Language,Total,Percentage,,,0.0%,25.0%,50.0%,50.0%,75.0%,25.0%
19,Japanese Language,Male,Number,190,168,95,123,140,147,155,13
20,Japanese Language,Male,Percentage,,,56.5%,73.2%,83.3%,87.5%,92.3%,7.7%
21,Japanese Language,Female,Number,271,251,154,187,217,228,233,18
22,Japanese Language,Female,Percentage,,,61.4%,74.5%,86.5%,90.8%,92.8%,7.2%
23,Japanese Language,Total,Number,461,419,249,310,357,375,388,31
24,Japanese Language,Total,Percentage,,,59.4%,74.0%,85.2%,89.5%,92.6%,7.4%
25,Spanish Language,Male,Number,12,11,2,5,8,10,10,1
26,Spanish Language,Male,Percentage,,,18.2%,45.5%,72.7%,90.9%,90.9%,9.1%
27,Spanish Language,Female,Number,9,8,1,1,2,4,5,3
28,Spanish Language,Female,Percentage,,,12.5%,12.5%,25.0%,50.0%,62.5%,37.5%
29,Spanish Language,Total,Number,21,19,3,6,10,14,15,4
30,Spanish Language,Total,Percentage,,,15.8%,31.6%,52.6%,73.7%,78.9%,21.1%
31,Urdu Language,Male,Number,7,6,6,6,6,6,6,0
32,Urdu Language,Male,Percentage,,,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%
33,Urdu Language,Female,Number,28,26,20,24,26,26,26,0
34,Urdu Language,Female,Percentage,,,76.9%,92.3%,100.0%,100.0%,100.0%,0.0%
35,Urdu Language,Total,Number,35,32,26,30,32,32,32,0
36,Urdu Language,Total,Percentage,,,81.3%,93.8%,100.0%,100.0%,100.0%,0.0%
37,All Category C subjects,Male,Number,226,201,109,142,164,174,185,16
38,All Category C subjects,Male,Percentage,,,54.2%,70.6%,81.6%,86.6%,92.0%,8.0%
39,All Category C subjects,Female,Number,333,308,179,220,258,273,283,25
40,All Category C subjects,Female,Percentage,,,58.1%,71.4%,83.8%,88.6%,91.9%,8.1%
41,All Category C subjects,Total,Number,559,509,288,362,422,447,468,41
42,All Category C subjects,Total,Percentage,,,56.6%,71.1%,82.9%,87.8%,91.9%,8.1%
