行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20062,19859,39921,21290,20765,42055
2,於四個核心科目中取得2級或以上,人數,13470,14598,28068,13947,14992,28939
3,於四個核心科目中取得2級或以上,百分比,67.1%,73.5%,70.3%,65.5%,72.2%,68.8%
4,於五科甲類學科中取得2級或以上,人數,14920,15871,30791,15564,16359,31923
5,於五科甲類學科中取得2級或以上,百分比,74.4%,79.9%,77.1%,73.1%,78.8%,75.9%
6,於五科甲類學科／乙類學科# 中取得2級或以上,人數,14957,15964,30921,15603,16458,32061
7,於五科甲類學科／乙類學科# 中取得2級或以上,百分比,74.6%,80.4%,77.5%,73.3%,79.3%,76.2%
8,於五科甲類學科中取得2級或以上，其中包括中國語文科及英國語文科,人數,13633,14869,28502,14146,15286,29432
9,於五科甲類學科中取得2級或以上，其中包括中國語文科及英國語文科,百分比,68.0%,74.9%,71.4%,66.4%,73.6%,70.0%
10,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科及英國語文科,人數,13650,14913,28563,14163,15330,29493
11,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科及英國語文科,百分比,68.0%,75.1%,71.5%,66.5%,73.8%,70.1%
12,於五科甲類學科中取得2級或以上，其中包括中國語文科、英國語文科及數學科,人數,13385,14428,27813,13879,14825,28704
13,於五科甲類學科中取得2級或以上，其中包括中國語文科、英國語文科及數學科,百分比,66.7%,72.7%,69.7%,65.2%,71.4%,68.3%
14,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科、英國語文科及數學科,人數,13391,14451,27842,13885,14848,28733
15,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科、英國語文科及數學科,百分比,66.7%,72.8%,69.7%,65.2%,71.5%,68.3%
