No.,Description,Type,Day school candidates taking at least five Category A / B subjects - Male,Day school candidates taking at least five Category A / B subjects - Female,Day school candidates taking at least five Category A / B subjects - Total,All candidates taking at least five Category A / B subjects - Male,All candidates taking at least five Category A / B subjects - Female,All candidates taking at least five Category A / B subjects - Total
1,No. of candidates,Number,20062,19859,39921,21290,20765,42055
2,Five level 5**,Number,28,34,62,28,35,63
3,Five level 5**,Percentage,0.1%,0.2%,0.2%,0.1%,0.2%,0.1%
4,Five level 5* or above,Number,269,283,552,273,284,557
5,Five level 5* or above,Percentage,1.3%,1.4%,1.4%,1.3%,1.4%,1.3%
6,Five level 5 or above,Number,1014,1119,2133,1029,1131,2160
7,Five level 5 or above,Percentage,5.1%,5.6%,5.3%,4.8%,5.4%,5.1%
8,Five level 4 or above,Number,4052,4751,8803,4143,4846,8989
9,Five level 4 or above,Percentage,20.2%,23.9%,22.1%,19.5%,23.3%,21.4%
10,Five level 3 or above,Number,8961,10071,19032,9240,10302,19542
11,Five level 3 or above,Percentage,44.7%,50.7%,47.7%,43.4%,49.6%,46.5%
12,Five level 2 or above,Number,14957,15964,30921,15603,16458,32061
13,Five level 2 or above,Percentage,74.6%,80.4%,77.5%,73.3%,79.3%,76.2%
14,Five level 1 or above,Number,17992,18389,36381,18920,19078,37998
15,Five level 1 or above,Percentage,89.7%,92.6%,91.1%,88.9%,91.9%,90.4%
16,Four level 1 or above,Number,18972,19219,38191,20007,19996,40003
17,Four level 1 or above,Percentage,94.6%,96.8%,95.7%,94.0%,96.3%,95.1%
18,Three level 1 or above,Number,19486,19587,39073,20586,20410,40996
19,Three level 1 or above,Percentage,97.1%,98.6%,97.9%,96.7%,98.3%,97.5%
20,Two level 1 or above,Number,19741,19743,39484,20895,20610,41505
21,Two level 1 or above,Percentage,98.4%,99.4%,98.9%,98.1%,99.3%,98.7%
22,One level 1 or above,Number,19940,19810,39750,21129,20693,41822
23,One level 1 or above,Percentage,99.4%,99.8%,99.6%,99.2%,99.7%,99.4%
