行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20062,19859,39921,21290,20765,42055
2,五科取得5** 級,人數,28,34,62,28,35,63
3,五科取得5** 級,百分比,0.1%,0.2%,0.2%,0.1%,0.2%,0.1%
4,五科取得5* 級或以上,人數,269,283,552,273,284,557
5,五科取得5* 級或以上,百分比,1.3%,1.4%,1.4%,1.3%,1.4%,1.3%
6,五科取得5 級或以上,人數,1014,1119,2133,1029,1131,2160
7,五科取得5 級或以上,百分比,5.1%,5.6%,5.3%,4.8%,5.4%,5.1%
8,五科取得4 級或以上,人數,4052,4751,8803,4143,4846,8989
9,五科取得4 級或以上,百分比,20.2%,23.9%,22.1%,19.5%,23.3%,21.4%
10,五科取得3 級或以上,人數,8961,10071,19032,9240,10302,19542
11,五科取得3 級或以上,百分比,44.7%,50.7%,47.7%,43.4%,49.6%,46.5%
12,五科取得2 級或以上,人數,14957,15964,30921,15603,16458,32061
13,五科取得2 級或以上,百分比,74.6%,80.4%,77.5%,73.3%,79.3%,76.2%
14,五科取得1 級或以上,人數,17992,18389,36381,18920,19078,37998
15,五科取得1 級或以上,百分比,89.7%,92.6%,91.1%,88.9%,91.9%,90.4%
16,四科取得1 級或以上,人數,18972,19219,38191,20007,19996,40003
17,四科取得1 級或以上,百分比,94.6%,96.8%,95.7%,94.0%,96.3%,95.1%
18,三科取得1 級或以上,人數,19486,19587,39073,20586,20410,40996
19,三科取得1 級或以上,百分比,97.1%,98.6%,97.9%,96.7%,98.3%,97.5%
20,兩科取得1 級或以上,人數,19741,19743,39484,20895,20610,41505
21,兩科取得1 級或以上,百分比,98.4%,99.4%,98.9%,98.1%,99.3%,98.7%
22,一科取得1 級或以上,人數,19940,19810,39750,21129,20693,41822
23,一科取得1 級或以上,百分比,99.4%,99.8%,99.6%,99.2%,99.7%,99.4%
