No.,Description,Type,Day school candidates taking at least five Category A / B subjects - Male,Day school candidates taking at least five Category A / B subjects - Female,Day school candidates taking at least five Category A / B subjects - Total,All candidates taking at least five Category A / B subjects - Male,All candidates taking at least five Category A / B subjects - Female,All candidates taking at least five Category A / B subjects - Total
1,No. of candidates,Number,20062,19859,39921,21290,20765,42055
2,Total grade points 10 – 12,Number,1574,1476,3050,1657,1555,3212
3,Total grade points 10 – 12,Percentage,7.8%,7.4%,7.6%,7.8%,7.5%,7.6%
4,Total grade points 13 – 15,Number,2726,2939,5665,2883,3024,5907
5,Total grade points 13 – 15,Percentage,13.6%,14.8%,14.2%,13.5%,14.6%,14.0%
6,Total grade points 16 – 18,Number,3145,3634,6779,3260,3733,6993
7,Total grade points 16 – 18,Percentage,15.7%,18.3%,17.0%,15.3%,18.0%,16.6%
8,Total grade points 19 – 21,Number,2767,3182,5949,2851,3260,6111
9,Total grade points 19 – 21,Percentage,13.8%,16.0%,14.9%,13.4%,15.7%,14.5%
10,Total grade points 22 – 24,Number,1674,1942,3616,1716,1985,3701
11,Total grade points 22 – 24,Percentage,8.3%,9.8%,9.1%,8.1%,9.6%,8.8%
12,Total grade points 25 – 27,Number,920,979,1899,946,999,1945
13,Total grade points 25 – 27,Percentage,4.6%,4.9%,4.8%,4.4%,4.8%,4.6%
14,Total grade points 28 – 30,Number,549,540,1089,552,551,1103
15,Total grade points 28 – 30,Percentage,2.7%,2.7%,2.7%,2.6%,2.7%,2.6%
16,Total grade points 31 – 33,Number,268,244,512,272,245,517
17,Total grade points 31 – 33,Percentage,1.3%,1.2%,1.3%,1.3%,1.2%,1.2%
18,Total grade points 34 – 35,Number,77,67,144,77,68,145
19,Total grade points 34 – 35,Percentage,0.4%,0.3%,0.4%,0.4%,0.3%,0.3%
