行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20062,19859,39921,21290,20765,42055
2,總積點 10 – 12,人數,1574,1476,3050,1657,1555,3212
3,總積點 10 – 12,百分比,7.8%,7.4%,7.6%,7.8%,7.5%,7.6%
4,總積點 13 – 15,人數,2726,2939,5665,2883,3024,5907
5,總積點 13 – 15,百分比,13.6%,14.8%,14.2%,13.5%,14.6%,14.0%
6,總積點 16 – 18,人數,3145,3634,6779,3260,3733,6993
7,總積點 16 – 18,百分比,15.7%,18.3%,17.0%,15.3%,18.0%,16.6%
8,總積點 19 – 21,人數,2767,3182,5949,2851,3260,6111
9,總積點 19 – 21,百分比,13.8%,16.0%,14.9%,13.4%,15.7%,14.5%
10,總積點 22 – 24,人數,1674,1942,3616,1716,1985,3701
11,總積點 22 – 24,百分比,8.3%,9.8%,9.1%,8.1%,9.6%,8.8%
12,總積點 25 – 27,人數,920,979,1899,946,999,1945
13,總積點 25 – 27,百分比,4.6%,4.9%,4.8%,4.4%,4.8%,4.6%
14,總積點 28 – 30,人數,549,540,1089,552,551,1103
15,總積點 28 – 30,百分比,2.7%,2.7%,2.7%,2.6%,2.7%,2.6%
16,總積點 31 – 33,人數,268,244,512,272,245,517
17,總積點 31 – 33,百分比,1.3%,1.2%,1.3%,1.3%,1.2%,1.2%
18,總積點 34 – 35,人數,77,67,144,77,68,145
19,總積點 34 – 35,百分比,0.4%,0.3%,0.4%,0.4%,0.3%,0.3%
