No.,Description,Type,Day school candidates taking at least five Category A / B subjects - Male,Day school candidates taking at least five Category A / B subjects - Female,Day school candidates taking at least five Category A / B subjects - Total,All candidates taking at least five Category A / B subjects - Male,All candidates taking at least five Category A / B subjects - Female,All candidates taking at least five Category A / B subjects - Total
1,No. of candidates,Number,20062,19859,39921,21290,20765,42055
2,Total grade points 10 – 12,Number,20,35,55,23,37,60
3,Total grade points 10 – 12,Percentage,0.1%,0.2%,0.1%,0.1%,0.2%,0.1%
4,Total grade points 13 – 15,Number,513,845,1358,537,871,1408
5,Total grade points 13 – 15,Percentage,2.6%,4.3%,3.4%,2.5%,4.2%,3.3%
6,Total grade points 16 – 18,Number,1693,2400,4093,1743,2445,4188
7,Total grade points 16 – 18,Percentage,8.4%,12.1%,10.3%,8.2%,11.8%,10.0%
8,Total grade points 19 – 21,Number,2197,2779,4976,2245,2841,5086
9,Total grade points 19 – 21,Percentage,11.0%,14.0%,12.5%,10.5%,13.7%,12.1%
10,Total grade points 22 – 24,Number,1551,1857,3408,1583,1896,3479
11,Total grade points 22 – 24,Percentage,7.7%,9.4%,8.5%,7.4%,9.1%,8.3%
12,Total grade points 25 – 27,Number,888,972,1860,913,992,1905
13,Total grade points 25 – 27,Percentage,4.4%,4.9%,4.7%,4.3%,4.8%,4.5%
14,Total grade points 28 – 30,Number,542,540,1082,545,550,1095
15,Total grade points 28 – 30,Percentage,2.7%,2.7%,2.7%,2.6%,2.6%,2.6%
16,Total grade points 31 – 33,Number,261,244,505,264,245,509
17,Total grade points 31 – 33,Percentage,1.3%,1.2%,1.3%,1.2%,1.2%,1.2%
18,Total grade points 34 – 35,Number,77,67,144,77,68,145
19,Total grade points 34 – 35,Percentage,0.4%,0.3%,0.4%,0.4%,0.3%,0.3%
