行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20062,19859,39921,21290,20765,42055
2,總積點 10 – 12,人數,20,35,55,23,37,60
3,總積點 10 – 12,百分比,0.1%,0.2%,0.1%,0.1%,0.2%,0.1%
4,總積點 13 – 15,人數,513,845,1358,537,871,1408
5,總積點 13 – 15,百分比,2.6%,4.3%,3.4%,2.5%,4.2%,3.3%
6,總積點 16 – 18,人數,1693,2400,4093,1743,2445,4188
7,總積點 16 – 18,百分比,8.4%,12.1%,10.3%,8.2%,11.8%,10.0%
8,總積點 19 – 21,人數,2197,2779,4976,2245,2841,5086
9,總積點 19 – 21,百分比,11.0%,14.0%,12.5%,10.5%,13.7%,12.1%
10,總積點 22 – 24,人數,1551,1857,3408,1583,1896,3479
11,總積點 22 – 24,百分比,7.7%,9.4%,8.5%,7.4%,9.1%,8.3%
12,總積點 25 – 27,人數,888,972,1860,913,992,1905
13,總積點 25 – 27,百分比,4.4%,4.9%,4.7%,4.3%,4.8%,4.5%
14,總積點 28 – 30,人數,542,540,1082,545,550,1095
15,總積點 28 – 30,百分比,2.7%,2.7%,2.7%,2.6%,2.6%,2.6%
16,總積點 31 – 33,人數,261,244,505,264,245,509
17,總積點 31 – 33,百分比,1.3%,1.2%,1.3%,1.2%,1.2%,1.2%
18,總積點 34 – 35,人數,77,67,144,77,68,145
19,總積點 34 – 35,百分比,0.4%,0.3%,0.4%,0.4%,0.3%,0.3%
