No.,Description,Type,Day school candidates taking at least five Category A / B subjects (Any five subjects#) - Male,Day school candidates taking at least five Category A / B subjects (Any five subjects#) - Female,Day school candidates taking at least five Category A / B subjects (Any five subjects#) - Total,Day school candidates taking at least five Category A / B subjects (Four core subjects and one elective subject) - Male,Day school candidates taking at least five Category A / B subjects (Four core subjects and one elective subject) - Female,Day school candidates taking at least five Category A / B subjects (Four core subjects and one elective subject) - Total
1,No. of candidates,Number,20062,19859,39921,20062,19859,39921
2,Total grade points 12 – 14,Number,221,401,622,269,451,720
3,Total grade points 12 – 14,Percentage,1.1%,2.0%,1.6%,1.3%,2.3%,1.8%
4,Total grade points 15 – 17,Number,1344,1975,3319,1608,2206,3814
5,Total grade points 15 – 17,Percentage,6.7%,9.9%,8.3%,8.0%,11.1%,9.6%
6,Total grade points 18 – 20,Number,2116,2775,4891,2497,3000,5497
7,Total grade points 18 – 20,Percentage,10.5%,14.0%,12.3%,12.4%,15.1%,13.8%
8,Total grade points 21 – 23,Number,1848,2250,4098,1778,2139,3917
9,Total grade points 21 – 23,Percentage,9.2%,11.3%,10.3%,8.9%,10.8%,9.8%
10,Total grade points 24 – 26,Number,1075,1186,2261,968,1126,2094
11,Total grade points 24 – 26,Percentage,5.4%,6.0%,5.7%,4.8%,5.7%,5.2%
12,Total grade points 27 – 29,Number,640,660,1300,419,528,947
13,Total grade points 27 – 29,Percentage,3.2%,3.3%,3.3%,2.1%,2.7%,2.4%
14,Total grade points 30 – 32,Number,342,344,686,156,206,362
15,Total grade points 30 – 32,Percentage,1.7%,1.7%,1.7%,0.8%,1.0%,0.9%
16,Total grade points 33 – 35,Number,143,116,259,34,51,85
17,Total grade points 33 – 35,Percentage,0.7%,0.6%,0.6%,0.2%,0.3%,0.2%
