行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 (任何五科#) - 男生,日校考生應考最少五科甲類學科／乙類學科 (任何五科#) - 女生,日校考生應考最少五科甲類學科／乙類學科 (任何五科#) - 總數,日校考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 男生,日校考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 女生,日校考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 總數
1,考生人數,人數,20062,19859,39921,20062,19859,39921
2,總積點 12 – 14,人數,221,401,622,269,451,720
3,總積點 12 – 14,百分比,1.1%,2.0%,1.6%,1.3%,2.3%,1.8%
4,總積點 15 – 17,人數,1344,1975,3319,1608,2206,3814
5,總積點 15 – 17,百分比,6.7%,9.9%,8.3%,8.0%,11.1%,9.6%
6,總積點 18 – 20,人數,2116,2775,4891,2497,3000,5497
7,總積點 18 – 20,百分比,10.5%,14.0%,12.3%,12.4%,15.1%,13.8%
8,總積點 21 – 23,人數,1848,2250,4098,1778,2139,3917
9,總積點 21 – 23,百分比,9.2%,11.3%,10.3%,8.9%,10.8%,9.8%
10,總積點 24 – 26,人數,1075,1186,2261,968,1126,2094
11,總積點 24 – 26,百分比,5.4%,6.0%,5.7%,4.8%,5.7%,5.2%
12,總積點 27 – 29,人數,640,660,1300,419,528,947
13,總積點 27 – 29,百分比,3.2%,3.3%,3.3%,2.1%,2.7%,2.4%
14,總積點 30 – 32,人數,342,344,686,156,206,362
15,總積點 30 – 32,百分比,1.7%,1.7%,1.7%,0.8%,1.0%,0.9%
16,總積點 33 – 35,人數,143,116,259,34,51,85
17,總積點 33 – 35,百分比,0.7%,0.6%,0.6%,0.2%,0.3%,0.2%
