No.,Description,Type,Day school candidates taking at least six Category A / B subjects - Male,Day school candidates taking at least six Category A / B subjects - Female,Day school candidates taking at least six Category A / B subjects - Total,All candidates taking at least six Category A / B subjects - Male,All candidates taking at least six Category A / B subjects - Female,All candidates taking at least six Category A / B subjects - Total
1,No. of candidates,Number,17439,17997,35436,18285,18618,36903
2,Total grade points 10 – 12,Number,3,4,7,3,4,7
3,Total grade points 10 – 12,Percentage,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
4,Total grade points 13 – 15,Number,101,226,327,107,235,342
5,Total grade points 13 – 15,Percentage,0.6%,1.3%,0.9%,0.6%,1.3%,0.9%
6,Total grade points 16 – 18,Number,609,1035,1644,628,1061,1689
7,Total grade points 16 – 18,Percentage,3.5%,5.8%,4.6%,3.4%,5.7%,4.6%
8,Total grade points 19 – 21,Number,1509,2067,3576,1552,2094,3646
9,Total grade points 19 – 21,Percentage,8.7%,11.5%,10.1%,8.5%,11.2%,9.9%
10,Total grade points 22 – 24,Number,1859,2295,4154,1896,2342,4238
11,Total grade points 22 – 24,Percentage,10.7%,12.8%,11.7%,10.4%,12.6%,11.5%
12,Total grade points 25 – 27,Number,1437,1773,3210,1466,1807,3273
13,Total grade points 25 – 27,Percentage,8.2%,9.9%,9.1%,8.0%,9.7%,8.9%
14,Total grade points 28 – 30,Number,902,999,1901,917,1019,1936
15,Total grade points 28 – 30,Percentage,5.2%,5.6%,5.4%,5.0%,5.5%,5.2%
16,Total grade points 31 – 33,Number,565,604,1169,577,613,1190
17,Total grade points 31 – 33,Percentage,3.2%,3.4%,3.3%,3.2%,3.3%,3.2%
18,Total grade points 34 – 36,Number,326,311,637,331,313,644
19,Total grade points 34 – 36,Percentage,1.9%,1.7%,1.8%,1.8%,1.7%,1.7%
20,Total grade points 37 – 39,Number,168,168,336,168,168,336
21,Total grade points 37 – 39,Percentage,1.0%,0.9%,0.9%,0.9%,0.9%,0.9%
22,Total grade points 40 – 42,Number,57,58,115,57,59,116
23,Total grade points 40 – 42,Percentage,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%
