行號,項目,類別,日校考生應考最少六科甲類學科／乙類學科 - 男生,日校考生應考最少六科甲類學科／乙類學科 - 女生,日校考生應考最少六科甲類學科／乙類學科 - 總數,全體考生應考最少六科甲類學科／乙類學科 - 男生,全體考生應考最少六科甲類學科／乙類學科 - 女生,全體考生應考最少六科甲類學科／乙類學科 - 總數
1,考生人數,人數,17439,17997,35436,18285,18618,36903
2,總積點 10 – 12,人數,3,4,7,3,4,7
3,總積點 10 – 12,百分比,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
4,總積點 13 – 15,人數,101,226,327,107,235,342
5,總積點 13 – 15,百分比,0.6%,1.3%,0.9%,0.6%,1.3%,0.9%
6,總積點 16 – 18,人數,609,1035,1644,628,1061,1689
7,總積點 16 – 18,百分比,3.5%,5.8%,4.6%,3.4%,5.7%,4.6%
8,總積點 19 – 21,人數,1509,2067,3576,1552,2094,3646
9,總積點 19 – 21,百分比,8.7%,11.5%,10.1%,8.5%,11.2%,9.9%
10,總積點 22 – 24,人數,1859,2295,4154,1896,2342,4238
11,總積點 22 – 24,百分比,10.7%,12.8%,11.7%,10.4%,12.6%,11.5%
12,總積點 25 – 27,人數,1437,1773,3210,1466,1807,3273
13,總積點 25 – 27,百分比,8.2%,9.9%,9.1%,8.0%,9.7%,8.9%
14,總積點 28 – 30,人數,902,999,1901,917,1019,1936
15,總積點 28 – 30,百分比,5.2%,5.6%,5.4%,5.0%,5.5%,5.2%
16,總積點 31 – 33,人數,565,604,1169,577,613,1190
17,總積點 31 – 33,百分比,3.2%,3.4%,3.3%,3.2%,3.3%,3.2%
18,總積點 34 – 36,人數,326,311,637,331,313,644
19,總積點 34 – 36,百分比,1.9%,1.7%,1.8%,1.8%,1.7%,1.7%
20,總積點 37 – 39,人數,168,168,336,168,168,336
21,總積點 37 – 39,百分比,1.0%,0.9%,0.9%,0.9%,0.9%,0.9%
22,總積點 40 – 42,人數,57,58,115,57,59,116
23,總積點 40 – 42,百分比,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%
