No.,Description,Type,All candidates taking at least six Category A / B subjects (Any six subjects#) - Male,All candidates taking at least six Category A / B subjects (Any six subjects#) - Female,All candidates taking at least six Category A / B subjects (Any six subjects#) - Total,All candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Male,All candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Female,All candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Total
1,No. of candidates,Number,18285,18618,36903,18285,18618,36903
2,Total grade points 16 – 18,Number,185,236,421,190,246,436
3,Total grade points 16 – 18,Percentage,1.0%,1.3%,1.1%,1.0%,1.3%,1.2%
4,Total grade points 19 – 21,Number,1281,1523,2804,1320,1550,2870
5,Total grade points 19 – 21,Percentage,7.0%,8.2%,7.6%,7.2%,8.3%,7.8%
6,Total grade points 22 – 24,Number,1858,2255,4113,1928,2300,4228
7,Total grade points 22 – 24,Percentage,10.2%,12.1%,11.1%,10.5%,12.4%,11.5%
8,Total grade points 25 – 27,Number,1462,1791,3253,1515,1792,3307
9,Total grade points 25 – 27,Percentage,8.0%,9.6%,8.8%,8.3%,9.6%,9.0%
10,Total grade points 28 – 30,Number,917,1019,1936,930,1018,1948
11,Total grade points 28 – 30,Percentage,5.0%,5.5%,5.2%,5.1%,5.5%,5.3%
12,Total grade points 31 – 33,Number,577,613,1190,549,621,1170
13,Total grade points 31 – 33,Percentage,3.2%,3.3%,3.2%,3.0%,3.3%,3.2%
14,Total grade points 34 – 36,Number,331,313,644,264,274,538
15,Total grade points 34 – 36,Percentage,1.8%,1.7%,1.7%,1.4%,1.5%,1.5%
16,Total grade points 37 – 39,Number,168,168,336,115,134,249
17,Total grade points 37 – 39,Percentage,0.9%,0.9%,0.9%,0.6%,0.7%,0.7%
18,Total grade points 40 – 42,Number,57,59,116,25,42,67
19,Total grade points 40 – 42,Percentage,0.3%,0.3%,0.3%,0.1%,0.2%,0.2%
