No.,Attainment in Mathematics Compulsory Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1,Attainment in Mathematics Extended Part - U,Total
1,5**,Number,151,224,102,15,1,,,,493
2,5**,Percentage,2.5%,3.7%,1.7%,0.3%,0.0%,,,,8.2%
3,5*,Number,61,326,567,230,44,12,2,,1242
4,5*,Percentage,1.0%,5.4%,9.5%,3.8%,0.7%,0.2%,0.0%,,20.7%
5,5,Number,9,118,525,614,297,85,8,2,1658
6,5,Percentage,0.2%,2.0%,8.8%,10.2%,5.0%,1.4%,0.1%,0.0%,27.6%
7,4,Number,,13,148,504,687,541,147,27,2067
8,4,Percentage,,0.2%,2.5%,8.4%,11.5%,9.0%,2.5%,0.5%,34.5%
9,3,Number,,,1,1,42,153,154,69,420
10,3,Percentage,,,0.0%,0.0%,0.7%,2.6%,2.6%,1.2%,7.0%
11,2,Number,,,,,1,9,33,65,108
12,2,Percentage,,,,,0.0%,0.2%,0.6%,1.1%,1.8%
13,1,Number,,,,,,,1,7,8
14,1,Percentage,,,,,,,0.0%,0.1%,0.1%
15,U,Number,,,,,,,,1,1
16,U,Percentage,,,,,,,,0.0%,0.0%
17,Total,Number,221,681,1343,1364,1072,800,345,171,5997
18,Total,Percentage,3.7%,11.4%,22.4%,22.7%,17.9%,13.3%,5.8%,2.9%,100.0%
