No.,Attainment in Mathematics Compulsory Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1,Attainment in Mathematics Extended Part - U,Total
1,5**,Number,191,271,113,17,1,,,,593
2,5**,Percentage,2.9%,4.0%,1.7%,0.3%,0.0%,,,,8.9%
3,5*,Number,66,356,632,255,50,13,3,1,1376
4,5*,Percentage,1.0%,5.3%,9.4%,3.8%,0.7%,0.2%,0.0%,0.0%,20.5%
5,5,Number,11,132,567,674,324,93,10,3,1814
6,5,Percentage,0.2%,2.0%,8.5%,10.1%,4.8%,1.4%,0.1%,0.0%,27.1%
7,4,Number,,15,163,551,746,603,166,37,2281
8,4,Percentage,,0.2%,2.4%,8.2%,11.1%,9.0%,2.5%,0.6%,34.1%
9,3,Number,,,2,3,48,175,164,87,479
10,3,Percentage,,,0.0%,0.0%,0.7%,2.6%,2.4%,1.3%,7.2%
11,2,Number,,,,,2,10,37,91,140
12,2,Percentage,,,,,0.0%,0.1%,0.6%,1.4%,2.1%
13,1,Number,,,,,,,1,11,12
14,1,Percentage,,,,,,,0.0%,0.2%,0.2%
15,U,Number,,,,,,,,1,1
16,U,Percentage,,,,,,,,0.0%,0.0%
17,Total,Number,268,774,1477,1500,1171,894,381,231,6696
18,Total,Percentage,4.0%,11.6%,22.1%,22.4%,17.5%,13.4%,5.7%,3.4%,100.0%
