No.,Total no. of subjects at top levels / grades,Candidates with the corresponding results in Category A/B/C subjects - No. of Male,Candidates with the corresponding results in Category A/B/C subjects - % of Male,Candidates with the corresponding results in Category A/B/C subjects - No. of Female,Candidates with the corresponding results in Category A/B/C subjects - % of Female,Candidates with the corresponding results in Category A/B/C subjects - Total No.,Candidates with the corresponding results in Category A/B/C subjects - Total %,Candidates with the corresponding results in Category A subjects - No. of Male,Candidates with the corresponding results in Category A subjects - % of Male,Candidates with the corresponding results in Category A subjects - No. of Female,Candidates with the corresponding results in Category A subjects - % of Female,Candidates with the corresponding results in Category A subjects - Total No.,Candidates with the corresponding results in Category A subjects - Total %
1,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,7,2,0.0,2,0.0,4,0.0,2,0.0,2,0.0,4,0.0
3,6,9,0.0,11,0.1,20,0.0,8,0.0,10,0.0,18,0.0
4,5,18,0.1,21,0.1,39,0.1,18,0.1,22,0.1,40,0.1
5,4,56,0.3,39,0.2,95,0.2,57,0.3,36,0.2,93,0.2
6,3,111,0.5,66,0.3,177,0.4,104,0.5,67,0.3,171,0.4
7,2,217,1.0,206,1.0,423,1.0,211,1.0,190,0.9,401,1.0
8,1,815,3.9,1204,5.9,2019,4.9,621,3.0,733,3.6,1354,3.3
9,0,19591,94.1,18753,92.4,38344,93.2,19755,95.1,19199,94.8,38954,94.9
10,Total,20819,100.0,20302,100.0,41121,100.0,20776,100.0,20259,100.0,41035,100.0
