行號,考生考獲最高等級成績的總科數,在甲類、乙類或丙類科目考獲有關成績的考生 - 男生人數,在甲類、乙類或丙類科目考獲有關成績的考生 - 男生百分比,在甲類、乙類或丙類科目考獲有關成績的考生 - 女生人數,在甲類、乙類或丙類科目考獲有關成績的考生 - 女生百分比,在甲類、乙類或丙類科目考獲有關成績的考生 - 總數,在甲類、乙類或丙類科目考獲有關成績的考生 - 總百分比,在甲類科目考獲有關成績的考生 - 男生人數,在甲類科目考獲有關成績的考生 - 男生百分比,在甲類科目考獲有關成績的考生 - 女生人數,在甲類科目考獲有關成績的考生 - 女生百分比,在甲類科目考獲有關成績的考生 - 總數,在甲類科目考獲有關成績的考生 - 總百分比
1,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,7,2,0.0,2,0.0,4,0.0,2,0.0,2,0.0,4,0.0
3,6,9,0.0,11,0.1,20,0.0,8,0.0,10,0.0,18,0.0
4,5,18,0.1,21,0.1,39,0.1,18,0.1,22,0.1,40,0.1
5,4,56,0.3,39,0.2,95,0.2,57,0.3,36,0.2,93,0.2
6,3,111,0.5,66,0.3,177,0.4,104,0.5,67,0.3,171,0.4
7,2,217,1.0,206,1.0,423,1.0,211,1.0,190,0.9,401,1.0
8,1,815,3.9,1204,5.9,2019,4.9,621,3.0,733,3.6,1354,3.3
9,0,19591,94.1,18753,92.4,38344,93.2,19755,95.1,19199,94.8,38954,94.9
10,總數,20819,100.0,20302,100.0,41121,100.0,20776,100.0,20259,100.0,41035,100.0
