No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
1,Biology,,Male,Number,6458,6075,,174,594,1385,2953,4460,5558,5885,190
2,Biology,,Male,Percentage,,,43.3,2.9%,9.8%,22.8%,48.6%,73.4%,91.5%,96.9%,3.1%
3,Biology,,Female,Number,8032,7610,,106,522,1377,3359,5349,6956,7378,232
4,Biology,,Female,Percentage,,,38.4,1.4%,6.9%,18.1%,44.1%,70.3%,91.4%,97.0%,3.0%
5,Biology,,Total,Number,14490,13685,,280,1116,2762,6312,9809,12514,13263,422
6,Biology,,Total,Percentage,,,40.6,2.0%,8.2%,20.2%,46.1%,71.7%,91.4%,96.9%,3.1%
7,"Business, Accounting and Financial Studies",Accounting,Male,Number,3212,3005,,61,213,481,1296,2062,2705,2892,113
8,"Business, Accounting and Financial Studies",Accounting,Male,Percentage,,,41.6,2.0%,7.1%,16.0%,43.1%,68.6%,90.0%,96.2%,3.8%
9,"Business, Accounting and Financial Studies",Accounting,Female,Number,3732,3587,,38,183,479,1503,2539,3284,3495,92
10,"Business, Accounting and Financial Studies",Accounting,Female,Percentage,,,31.7,1.1%,5.1%,13.4%,41.9%,70.8%,91.6%,97.4%,2.6%
11,"Business, Accounting and Financial Studies",Accounting,Total,Number,6944,6592,,99,396,960,2799,4601,5989,6387,205
12,"Business, Accounting and Financial Studies",Accounting,Total,Percentage,,,36.2,1.5%,6.0%,14.6%,42.5%,69.8%,90.9%,96.9%,3.1%
13,"Business, Accounting and Financial Studies",Business Management,Male,Number,1460,1354,,10,37,94,358,800,1197,1303,51
14,"Business, Accounting and Financial Studies",Business Management,Male,Percentage,,,74.7,0.7%,2.7%,6.9%,26.4%,59.1%,88.4%,96.2%,3.8%
15,"Business, Accounting and Financial Studies",Business Management,Female,Number,1534,1446,,12,49,123,493,939,1311,1395,51
16,"Business, Accounting and Financial Studies",Business Management,Female,Percentage,,,74.3,0.8%,3.4%,8.5%,34.1%,64.9%,90.7%,96.5%,3.5%
17,"Business, Accounting and Financial Studies",Business Management,Total,Number,2994,2800,,22,86,217,851,1739,2508,2698,102
18,"Business, Accounting and Financial Studies",Business Management,Total,Percentage,,,74.5,0.8%,3.1%,7.8%,30.4%,62.1%,89.6%,96.4%,3.6%
19,Chemistry,,Male,Number,7417,6889,,203,791,1972,3661,5329,6057,6568,321
20,Chemistry,,Male,Percentage,,,31.2,2.9%,11.5%,28.6%,53.1%,77.4%,87.9%,95.3%,4.7%
21,Chemistry,,Female,Number,6139,5744,,133,545,1371,2739,4280,4953,5475,269
22,Chemistry,,Female,Percentage,,,25.4,2.3%,9.5%,23.9%,47.7%,74.5%,86.2%,95.3%,4.7%
23,Chemistry,,Total,Number,13556,12633,,336,1336,3343,6400,9609,11010,12043,590
24,Chemistry,,Total,Percentage,,,28.6,2.7%,10.6%,26.5%,50.7%,76.1%,87.2%,95.3%,4.7%
25,Chinese History,,Male,Number,2727,2468,,29,119,295,861,1606,2203,2358,110
26,Chinese History,,Male,Percentage,,,-,1.2%,4.8%,12.0%,34.9%,65.1%,89.3%,95.5%,4.5%
27,Chinese History,,Female,Number,3589,3382,,44,185,486,1328,2380,3112,3280,102
28,Chinese History,,Female,Percentage,,,-,1.3%,5.5%,14.4%,39.3%,70.4%,92.0%,97.0%,3.0%
29,Chinese History,,Total,Number,6316,5850,,73,304,781,2189,3986,5315,5638,212
30,Chinese History,,Total,Percentage,,,-,1.2%,5.2%,13.4%,37.4%,68.1%,90.9%,96.4%,3.6%
31,Chinese Language,,Male,Number,23174,22511,,142,504,1407,5250,12493,19646,21745,766
32,Chinese Language,,Male,Percentage,,,-,0.6%,2.2%,6.3%,23.3%,55.5%,87.3%,96.6%,3.4%
33,Chinese Language,,Female,Number,21700,21200,,386,1439,3254,8719,15579,20009,20955,245
34,Chinese Language,,Female,Percentage,,,-,1.8%,6.8%,15.3%,41.1%,73.5%,94.4%,98.8%,1.2%
35,Chinese Language,,Total,Number,44874,43711,,528,1943,4661,13969,28072,39655,42700,1011
36,Chinese Language,,Total,Percentage,,,-,1.2%,4.4%,10.7%,32.0%,64.2%,90.7%,97.7%,2.3%
37,Chinese Literature,,Male,Number,333,307,,2,7,29,88,183,251,287,20
38,Chinese Literature,,Male,Percentage,,,-,0.7%,2.3%,9.4%,28.7%,59.6%,81.8%,93.5%,6.5%
39,Chinese Literature,,Female,Number,1159,1119,,20,74,172,423,776,1000,1093,26
40,Chinese Literature,,Female,Percentage,,,-,1.8%,6.6%,15.4%,37.8%,69.3%,89.4%,97.7%,2.3%
41,Chinese Literature,,Total,Number,1492,1426,,22,81,201,511,959,1251,1380,46
42,Chinese Literature,,Total,Percentage,,,-,1.5%,5.7%,14.1%,35.8%,67.3%,87.7%,96.8%,3.2%
43,Design and Applied Technology,,Male,Number,378,355,,1,5,14,46,111,254,307,48
44,Design and Applied Technology,,Male,Percentage,,,94.1,0.3%,1.4%,3.9%,13.0%,31.3%,71.5%,86.5%,13.5%
45,Design and Applied Technology,,Female,Number,178,168,,2,3,7,24,48,122,146,22
46,Design and Applied Technology,,Female,Percentage,,,92.9,1.2%,1.8%,4.2%,14.3%,28.6%,72.6%,86.9%,13.1%
47,Design and Applied Technology,,Total,Number,556,523,,3,8,21,70,159,376,453,70
48,Design and Applied Technology,,Total,Percentage,,,93.7,0.6%,1.5%,4.0%,13.4%,30.4%,71.9%,86.6%,13.4%
49,Economics,,Male,Number,6453,6021,,124,480,1180,2779,4113,5219,5664,357
50,Economics,,Male,Percentage,,,48.7,2.1%,8.0%,19.6%,46.2%,68.3%,86.7%,94.1%,5.9%
51,Economics,,Female,Number,6799,6529,,93,387,1021,2793,4367,5635,6206,323
52,Economics,,Female,Percentage,,,39.2,1.4%,5.9%,15.6%,42.8%,66.9%,86.3%,95.1%,4.9%
53,Economics,,Total,Number,13252,12550,,217,867,2201,5572,8480,10854,11870,680
54,Economics,,Total,Percentage,,,43.8,1.7%,6.9%,17.5%,44.4%,67.6%,86.5%,94.6%,5.4%
55,English Language,,Male,Number,24284,23388,,180,778,1986,5931,12269,18476,21253,2135
56,English Language,,Male,Percentage,,,-,0.8%,3.3%,8.5%,25.4%,52.5%,79.0%,90.9%,9.1%
57,English Language,,Female,Number,22869,22295,,248,976,2422,6546,12707,18637,21021,1274
58,English Language,,Female,Percentage,,,-,1.1%,4.4%,10.9%,29.4%,57.0%,83.6%,94.3%,5.7%
59,English Language,,Total,Number,47153,45683,,428,1754,4408,12477,24976,37113,42274,3409
60,English Language,,Total,Percentage,,,-,0.9%,3.8%,9.6%,27.3%,54.7%,81.2%,92.5%,7.5%
61,Ethics and Religious Studies,,Male,Number,406,336,,2,5,22,67,187,283,313,23
62,Ethics and Religious Studies,,Male,Percentage,,,95.5,0.6%,1.5%,6.5%,19.9%,55.7%,84.2%,93.2%,6.8%
63,Ethics and Religious Studies,,Female,Number,493,448,,3,17,32,146,336,418,437,11
64,Ethics and Religious Studies,,Female,Percentage,,,94.9,0.7%,3.8%,7.1%,32.6%,75.0%,93.3%,97.5%,2.5%
65,Ethics and Religious Studies,,Total,Number,899,784,,5,22,54,213,523,701,750,34
66,Ethics and Religious Studies,,Total,Percentage,,,95.2,0.6%,2.8%,6.9%,27.2%,66.7%,89.4%,95.7%,4.3%
67,Geography,,Male,Number,3910,3686,,43,162,408,1246,2280,3273,3562,124
68,Geography,,Male,Percentage,,,64.0,1.2%,4.4%,11.1%,33.8%,61.9%,88.8%,96.6%,3.4%
69,Geography,,Female,Number,4276,4112,,50,228,526,1604,2765,3693,3993,119
70,Geography,,Female,Percentage,,,54.1,1.2%,5.5%,12.8%,39.0%,67.2%,89.8%,97.1%,2.9%
71,Geography,,Total,Number,8186,7798,,93,390,934,2850,5045,6966,7555,243
72,Geography,,Total,Percentage,,,58.8,1.2%,5.0%,12.0%,36.5%,64.7%,89.3%,96.9%,3.1%
73,Health Management and Social Care,,Male,Number,517,464,,4,6,15,60,186,362,424,40
74,Health Management and Social Care,,Male,Percentage,,,99.4,0.9%,1.3%,3.2%,12.9%,40.1%,78.0%,91.4%,8.6%
75,Health Management and Social Care,,Female,Number,747,701,,4,15,35,153,388,619,674,27
76,Health Management and Social Care,,Female,Percentage,,,96.1,0.6%,2.1%,5.0%,21.8%,55.3%,88.3%,96.1%,3.9%
77,Health Management and Social Care,,Total,Number,1264,1165,,8,21,50,213,574,981,1098,67
78,Health Management and Social Care,,Total,Percentage,,,97.4,0.7%,1.8%,4.3%,18.3%,49.3%,84.2%,94.2%,5.8%
79,History,,Male,Number,2431,2271,,32,132,309,986,1660,2115,2221,50
80,History,,Male,Percentage,,,69.1,1.4%,5.8%,13.6%,43.4%,73.1%,93.1%,97.8%,2.2%
81,History,,Female,Number,2825,2696,,40,167,387,1253,2043,2565,2667,29
82,History,,Female,Percentage,,,57.5,1.5%,6.2%,14.4%,46.5%,75.8%,95.1%,98.9%,1.1%
83,History,,Total,Number,5256,4967,,72,299,696,2239,3703,4680,4888,79
84,History,,Total,Percentage,,,62.8,1.4%,6.0%,14.0%,45.1%,74.6%,94.2%,98.4%,1.6%
85,Information and Communication Technology,,Male,Number,4899,4644,,68,259,639,1560,2751,3987,4394,250
86,Information and Communication Technology,,Male,Percentage,,,59.3,1.5%,5.6%,13.8%,33.6%,59.2%,85.9%,94.6%,5.4%
87,Information and Communication Technology,,Female,Number,1404,1344,,11,52,125,405,757,1133,1281,63
88,Information and Communication Technology,,Female,Percentage,,,44.3,0.8%,3.9%,9.3%,30.1%,56.3%,84.3%,95.3%,4.7%
89,Information and Communication Technology,,Total,Number,6303,5988,,79,311,764,1965,3508,5120,5675,313
90,Information and Communication Technology,,Total,Percentage,,,55.9,1.3%,5.2%,12.8%,32.8%,58.6%,85.5%,94.8%,5.2%
91,Literature in English,,Male,Number,22,19,,0,0,1,4,11,13,16,3
92,Literature in English,,Male,Percentage,,,-,0.0%,0.0%,5.3%,21.1%,57.9%,68.4%,84.2%,15.8%
93,Literature in English,,Female,Number,194,190,,5,21,48,108,160,179,184,6
94,Literature in English,,Female,Percentage,,,-,2.6%,11.1%,25.3%,56.8%,84.2%,94.2%,96.8%,3.2%
95,Literature in English,,Total,Number,216,209,,5,21,49,112,171,192,200,9
96,Literature in English,,Total,Percentage,,,-,2.4%,10.0%,23.4%,53.6%,81.8%,91.9%,95.7%,4.3%
97,Mathematics,Compulsory Part,Male,Number,24485,23300,,591,2032,4509,9784,14122,19248,21366,1934
98,Mathematics,Compulsory Part,Male,Percentage,,,44.2,2.5%,8.7%,19.4%,42.0%,60.6%,82.6%,91.7%,8.3%
99,Mathematics,Compulsory Part,Female,Number,22461,21674,,150,865,2685,7829,12439,17865,20019,1655
100,Mathematics,Compulsory Part,Female,Percentage,,,37.2,0.7%,4.0%,12.4%,36.1%,57.4%,82.4%,92.4%,7.6%
101,Mathematics,Compulsory Part,Total,Number,46946,44974,,741,2897,7194,17613,26561,37113,41385,3589
102,Mathematics,Compulsory Part,Total,Percentage,,,40.8,1.6%,6.4%,16.0%,39.2%,59.1%,82.5%,92.0%,8.0%
103,Mathematics,Extended Part (Calculus and Statistics),Male,Number,1758,1596,,69,232,499,828,1127,1378,1505,91
104,Mathematics,Extended Part (Calculus and Statistics),Male,Percentage,,,26.4,4.3%,14.5%,31.3%,51.9%,70.6%,86.3%,94.3%,5.7%
105,Mathematics,Extended Part (Calculus and Statistics),Female,Number,1365,1260,,34,144,354,641,882,1094,1184,76
106,Mathematics,Extended Part (Calculus and Statistics),Female,Percentage,,,19.4,2.7%,11.4%,28.1%,50.9%,70.0%,86.8%,94.0%,6.0%
107,Mathematics,Extended Part (Calculus and Statistics),Total,Number,3123,2856,,103,376,853,1469,2009,2472,2689,167
108,Mathematics,Extended Part (Calculus and Statistics),Total,Percentage,,,23.3,3.6%,13.2%,29.9%,51.4%,70.3%,86.6%,94.2%,5.8%
109,Mathematics,Extended Part (Algebra and Calculus),Male,Number,4300,3910,,212,711,1602,2405,3203,3654,3832,78
110,Mathematics,Extended Part (Algebra and Calculus),Male,Percentage,,,18.0,5.4%,18.2%,41.0%,61.5%,81.9%,93.5%,98.0%,2.0%
111,Mathematics,Extended Part (Algebra and Calculus),Female,Number,1770,1613,,23,121,434,801,1194,1445,1568,45
112,Mathematics,Extended Part (Algebra and Calculus),Female,Percentage,,,19.3,1.4%,7.5%,26.9%,49.7%,74.0%,89.6%,97.2%,2.8%
113,Mathematics,Extended Part (Algebra and Calculus),Total,Number,6070,5523,,235,832,2036,3206,4397,5099,5400,123
114,Mathematics,Extended Part (Algebra and Calculus),Total,Percentage,,,18.4,4.3%,15.1%,36.9%,58.0%,79.6%,92.3%,97.8%,2.2%
115,Music,,Male,Number,80,78,,3,13,30,49,63,76,77,1
116,Music,,Male,Percentage,,,6.4,3.8%,16.7%,38.5%,62.8%,80.8%,97.4%,98.7%,1.3%
117,Music,,Female,Number,86,83,,1,4,12,41,71,81,82,1
118,Music,,Female,Percentage,,,7.2,1.2%,4.8%,14.5%,49.4%,85.5%,97.6%,98.8%,1.2%
119,Music,,Total,Number,166,161,,4,17,42,90,134,157,159,2
120,Music,,Total,Percentage,,,6.8,2.5%,10.6%,26.1%,55.9%,83.2%,97.5%,98.8%,1.2%
121,Physical Education,,Male,Number,956,922,,3,11,25,117,360,670,815,107
122,Physical Education,,Male,Percentage,,,91.6,0.3%,1.2%,2.7%,12.7%,39.0%,72.7%,88.4%,11.6%
123,Physical Education,,Female,Number,295,290,,2,6,17,60,150,224,272,18
124,Physical Education,,Female,Percentage,,,81.0,0.7%,2.1%,5.9%,20.7%,51.7%,77.2%,93.8%,6.2%
125,Physical Education,,Total,Number,1251,1212,,5,17,42,177,510,894,1087,125
126,Physical Education,,Total,Percentage,,,89.1,0.4%,1.4%,3.5%,14.6%,42.1%,73.8%,89.7%,10.3%
127,Physics,,Male,Number,7928,7439,,268,945,2275,3845,5566,6728,7272,167
128,Physics,,Male,Percentage,,,33.9,3.6%,12.7%,30.6%,51.7%,74.8%,90.4%,97.8%,2.2%
129,Physics,,Female,Number,3204,2993,,50,245,669,1301,2046,2655,2914,79
130,Physics,,Female,Percentage,,,27.1,1.7%,8.2%,22.4%,43.5%,68.4%,88.7%,97.4%,2.6%
131,Physics,,Total,Number,11132,10432,,318,1190,2944,5146,7612,9383,10186,246
132,Physics,,Total,Percentage,,,31.9,3.0%,11.4%,28.2%,49.3%,73.0%,89.9%,97.6%,2.4%
133,Technology and Living,Food Science and Technology,Male,Number,45,38,,0,0,0,0,3,20,30,8
134,Technology and Living,Food Science and Technology,Male,Percentage,,,100.0,0.0%,0.0%,0.0%,0.0%,7.9%,52.6%,78.9%,21.1%
135,Technology and Living,Food Science and Technology,Female,Number,87,80,,1,4,7,21,50,70,76,4
136,Technology and Living,Food Science and Technology,Female,Percentage,,,63.8,1.3%,5.0%,8.8%,26.3%,62.5%,87.5%,95.0%,5.0%
137,Technology and Living,Food Science and Technology,Total,Number,132,118,,1,4,7,21,53,90,106,12
138,Technology and Living,Food Science and Technology,Total,Percentage,,,75.4,0.8%,3.4%,5.9%,17.8%,44.9%,76.3%,89.8%,10.2%
139,Technology and Living,"Fashion, Clothing and Textiles",Male,Number,13,10,,0,0,0,0,0,5,9,1
140,Technology and Living,"Fashion, Clothing and Textiles",Male,Percentage,,,100.0,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,90.0%,10.0%
