行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
1,生物,,男生,人數,6458,6075,,174,594,1385,2953,4460,5558,5885,190
2,生物,,男生,百分比,,,43.3,2.9%,9.8%,22.8%,48.6%,73.4%,91.5%,96.9%,3.1%
3,生物,,女生,人數,8032,7610,,106,522,1377,3359,5349,6956,7378,232
4,生物,,女生,百分比,,,38.4,1.4%,6.9%,18.1%,44.1%,70.3%,91.4%,97.0%,3.0%
5,生物,,總數,人數,14490,13685,,280,1116,2762,6312,9809,12514,13263,422
6,生物,,總數,百分比,,,40.6,2.0%,8.2%,20.2%,46.1%,71.7%,91.4%,96.9%,3.1%
7,企業、會計與財務概論,會計,男生,人數,3212,3005,,61,213,481,1296,2062,2705,2892,113
8,企業、會計與財務概論,會計,男生,百分比,,,41.6,2.0%,7.1%,16.0%,43.1%,68.6%,90.0%,96.2%,3.8%
9,企業、會計與財務概論,會計,女生,人數,3732,3587,,38,183,479,1503,2539,3284,3495,92
10,企業、會計與財務概論,會計,女生,百分比,,,31.7,1.1%,5.1%,13.4%,41.9%,70.8%,91.6%,97.4%,2.6%
11,企業、會計與財務概論,會計,總數,人數,6944,6592,,99,396,960,2799,4601,5989,6387,205
12,企業、會計與財務概論,會計,總數,百分比,,,36.2,1.5%,6.0%,14.6%,42.5%,69.8%,90.9%,96.9%,3.1%
13,企業、會計與財務概論,商業管理,男生,人數,1460,1354,,10,37,94,358,800,1197,1303,51
14,企業、會計與財務概論,商業管理,男生,百分比,,,74.7,0.7%,2.7%,6.9%,26.4%,59.1%,88.4%,96.2%,3.8%
15,企業、會計與財務概論,商業管理,女生,人數,1534,1446,,12,49,123,493,939,1311,1395,51
16,企業、會計與財務概論,商業管理,女生,百分比,,,74.3,0.8%,3.4%,8.5%,34.1%,64.9%,90.7%,96.5%,3.5%
17,企業、會計與財務概論,商業管理,總數,人數,2994,2800,,22,86,217,851,1739,2508,2698,102
18,企業、會計與財務概論,商業管理,總數,百分比,,,74.5,0.8%,3.1%,7.8%,30.4%,62.1%,89.6%,96.4%,3.6%
19,化學,,男生,人數,7417,6889,,203,791,1972,3661,5329,6057,6568,321
20,化學,,男生,百分比,,,31.2,2.9%,11.5%,28.6%,53.1%,77.4%,87.9%,95.3%,4.7%
21,化學,,女生,人數,6139,5744,,133,545,1371,2739,4280,4953,5475,269
22,化學,,女生,百分比,,,25.4,2.3%,9.5%,23.9%,47.7%,74.5%,86.2%,95.3%,4.7%
23,化學,,總數,人數,13556,12633,,336,1336,3343,6400,9609,11010,12043,590
24,化學,,總數,百分比,,,28.6,2.7%,10.6%,26.5%,50.7%,76.1%,87.2%,95.3%,4.7%
25,中國歷史,,男生,人數,2727,2468,,29,119,295,861,1606,2203,2358,110
26,中國歷史,,男生,百分比,,,-,1.2%,4.8%,12.0%,34.9%,65.1%,89.3%,95.5%,4.5%
27,中國歷史,,女生,人數,3589,3382,,44,185,486,1328,2380,3112,3280,102
28,中國歷史,,女生,百分比,,,-,1.3%,5.5%,14.4%,39.3%,70.4%,92.0%,97.0%,3.0%
29,中國歷史,,總數,人數,6316,5850,,73,304,781,2189,3986,5315,5638,212
30,中國歷史,,總數,百分比,,,-,1.2%,5.2%,13.4%,37.4%,68.1%,90.9%,96.4%,3.6%
31,中國語文,,男生,人數,23174,22511,,142,504,1407,5250,12493,19646,21745,766
32,中國語文,,男生,百分比,,,-,0.6%,2.2%,6.3%,23.3%,55.5%,87.3%,96.6%,3.4%
33,中國語文,,女生,人數,21700,21200,,386,1439,3254,8719,15579,20009,20955,245
34,中國語文,,女生,百分比,,,-,1.8%,6.8%,15.3%,41.1%,73.5%,94.4%,98.8%,1.2%
35,中國語文,,總數,人數,44874,43711,,528,1943,4661,13969,28072,39655,42700,1011
36,中國語文,,總數,百分比,,,-,1.2%,4.4%,10.7%,32.0%,64.2%,90.7%,97.7%,2.3%
37,中國文學,,男生,人數,333,307,,2,7,29,88,183,251,287,20
