行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異,達標或以上,未達標
1,應用學習中文 (非華語學生適用),商業服務中文,男生,人數,30,28,2,24,4
2,應用學習中文 (非華語學生適用),商業服務中文,男生,百分比,,,7.1%,85.7%,14.3%
3,應用學習中文 (非華語學生適用),商業服務中文,女生,人數,38,37,16,35,2
4,應用學習中文 (非華語學生適用),商業服務中文,女生,百分比,,,43.2%,94.6%,5.4%
5,應用學習中文 (非華語學生適用),商業服務中文,總數,人數,68,65,18,59,6
6,應用學習中文 (非華語學生適用),商業服務中文,總數,百分比,,,27.7%,90.8%,9.2%
7,應用學習中文 (非華語學生適用),實用情境中文,男生,人數,13,9,1,8,1
8,應用學習中文 (非華語學生適用),實用情境中文,男生,百分比,,,11.1%,88.9%,11.1%
9,應用學習中文 (非華語學生適用),實用情境中文,女生,人數,17,16,2,14,2
10,應用學習中文 (非華語學生適用),實用情境中文,女生,百分比,,,12.5%,87.5%,12.5%
11,應用學習中文 (非華語學生適用),實用情境中文,總數,人數,30,25,3,22,3
12,應用學習中文 (非華語學生適用),實用情境中文,總數,百分比,,,12.0%,88.0%,12.0%
13,應用學習中文 (非華語學生適用),實務中文,男生,人數,15,13,5,12,1
14,應用學習中文 (非華語學生適用),實務中文,男生,百分比,,,38.5%,92.3%,7.7%
15,應用學習中文 (非華語學生適用),實務中文,女生,人數,26,26,9,21,5
16,應用學習中文 (非華語學生適用),實務中文,女生,百分比,,,34.6%,80.8%,19.2%
17,應用學習中文 (非華語學生適用),實務中文,總數,人數,41,39,14,33,6
18,應用學習中文 (非華語學生適用),實務中文,總數,百分比,,,35.9%,84.6%,15.4%
19,應用學習中文 (非華語學生適用),,男生,人數,58,50,8,44,6
20,應用學習中文 (非華語學生適用),,男生,百分比,,,16.0%,88.0%,12.0%
21,應用學習中文 (非華語學生適用),,女生,人數,81,79,27,70,9
22,應用學習中文 (非華語學生適用),,女生,百分比,,,34.2%,88.6%,11.4%
23,應用學習中文 (非華語學生適用),,總數,人數,139,129,35,114,15
24,應用學習中文 (非華語學生適用),,總數,百分比,,,27.1%,88.4%,11.6%
