行號,項目,類別,日校考生 - 男生,日校考生 - 女生,日校考生 - 總數,全體考生 - 男生,全體考生 - 女生,全體考生 - 總數
1,考生人數,人數,20698,19968,40666,25558,23468,49026
2,於核心科目中取得「332A」或更佳成績,人數,8364,10012,18376,8781,10481,19262
3,於核心科目中取得「332A」或更佳成績,百分比,40.4%,50.1%,45.2%,34.4%,44.7%,39.3%
4,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得2級或以上# 成績,人數,8340,9976,18316,8744,10438,19182
5,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得2級或以上# 成績,百分比,40.3%,50.0%,45.0%,34.2%,44.5%,39.1%
6,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得2級或以上# 成績,人數,8084,9616,17700,8436,10019,18455
7,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得2級或以上# 成績,百分比,39.1%,48.2%,43.5%,33.0%,42.7%,37.6%
8,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得3級或以上# 成績,人數,8123,9489,17612,8510,9912,18422
9,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得3級或以上# 成績,百分比,39.2%,47.5%,43.3%,33.3%,42.2%,37.6%
10,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得3級或以上# 成績,人數,7356,8336,15692,7666,8672,16338
11,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得3級或以上# 成績,百分比,35.5%,41.7%,38.6%,30.0%,37.0%,33.3%
12,於核心科目中取得「333A」或更佳成績，並於一個選修科目取得3級或以上# 成績,人數,7636,8511,16147,7996,8894,16890
13,於核心科目中取得「333A」或更佳成績，並於一個選修科目取得3級或以上# 成績,百分比,36.9%,42.6%,39.7%,31.3%,37.9%,34.5%
14,於核心科目中取得「333A」或更佳成績，並於兩個選修科目取得3級或以上# 成績,人數,7039,7695,14734,7333,8011,15344
15,於核心科目中取得「333A」或更佳成績，並於兩個選修科目取得3級或以上# 成績,百分比,34.0%,38.5%,36.2%,28.7%,34.1%,31.3%
16,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得4級或以上# 成績,人數,6810,7497,14307,7119,7821,14940
17,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得4級或以上# 成績,百分比,32.9%,37.5%,35.2%,27.9%,33.3%,30.5%
18,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得4級或以上# 成績,人數,5201,5262,10463,5404,5487,10891
19,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得4級或以上# 成績,百分比,25.1%,26.4%,25.7%,21.1%,23.4%,22.2%
20,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得5級或以上成績,人數,4020,3616,7636,4207,3772,7979
21,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得5級或以上成績,百分比,19.4%,18.1%,18.8%,16.5%,16.1%,16.3%
22,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得5級或以上成績,人數,2424,1897,4321,2523,1965,4488
23,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得5級或以上成績,百分比,11.7%,9.5%,10.6%,9.9%,8.4%,9.2%
24,於核心科目中取得「332A」或更佳成績，數學延伸部分取得2級或以上成績，並於一個選修科目取得2級或以上# 成績,人數,3156,1941,5097,3313,2074,5387
25,於核心科目中取得「332A」或更佳成績，數學延伸部分取得2級或以上成績，並於一個選修科目取得2級或以上# 成績,百分比,15.2%,9.7%,12.5%,13.0%,8.8%,11.0%
26,於核心科目中取得「332A」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得2級或以上# 成績,人數,2890,1689,4579,3034,1798,4832
27,於核心科目中取得「332A」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得2級或以上# 成績,百分比,14.0%,8.5%,11.3%,11.9%,7.7%,9.9%
28,於核心科目中取得「332A」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得3級或以上# 成績,人數,2878,1675,4553,3021,1783,4804
29,於核心科目中取得「332A」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得3級或以上# 成績,百分比,13.9%,8.4%,11.2%,11.8%,7.6%,9.8%
