行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 - 男生,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 - 女生,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 - 總數,全體考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 - 男生,全體考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 - 女生,全體考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 - 總數
1,考生人數,人數,17592,17895,35487,18934,19065,37999
2,最佳五科總積點 8 – 11,人數,41,70,111,44,76,120
3,最佳五科總積點 8 – 11,百分比,0.2%,0.4%,0.3%,0.2%,0.4%,0.3%
4,最佳五科總積點 12 – 14,人數,468,888,1356,496,940,1436
5,最佳五科總積點 12 – 14,百分比,2.7%,5.0%,3.8%,2.6%,4.9%,3.8%
6,最佳五科總積點 15 – 17,人數,1734,2300,4034,1824,2380,4204
7,最佳五科總積點 15 – 17,百分比,9.9%,12.9%,11.4%,9.6%,12.5%,11.1%
8,最佳五科總積點 18 – 20,人數,2190,2750,4940,2283,2870,5153
9,最佳五科總積點 18 – 20,百分比,12.4%,15.4%,13.9%,12.1%,15.1%,13.6%
10,最佳五科總積點 21 – 23,人數,1716,1917,3633,1781,1991,3772
11,最佳五科總積點 21 – 23,百分比,9.8%,10.7%,10.2%,9.4%,10.4%,9.9%
12,最佳五科總積點 24 – 26,人數,1021,1019,2040,1071,1072,2143
13,最佳五科總積點 24 – 26,百分比,5.8%,5.7%,5.7%,5.7%,5.6%,5.6%
14,最佳五科總積點 27 – 29,人數,604,530,1134,623,554,1177
15,最佳五科總積點 27 – 29,百分比,3.4%,3.0%,3.2%,3.3%,2.9%,3.1%
16,最佳五科總積點 30 – 32,人數,302,276,578,314,288,602
17,最佳五科總積點 30 – 32,百分比,1.7%,1.5%,1.6%,1.7%,1.5%,1.6%
18,最佳五科總積點 33 – 35,人數,133,91,224,136,95,231
19,最佳五科總積點 33 – 35,百分比,0.8%,0.5%,0.6%,0.7%,0.5%,0.6%
