行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (中國語文、英國語文、數學必修部分及兩個選修科目) - 男生,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (中國語文、英國語文、數學必修部分及兩個選修科目) - 女生,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (中國語文、英國語文、數學必修部分及兩個選修科目) - 總數,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (任何五科#) - 男生,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (任何五科#) - 女生,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (任何五科#) - 總數
1,考生人數,人數,17592,17895,35487,17592,17895,35487
2,最佳五科總積點 12 – 14,人數,403,763,1166,400,754,1154
3,最佳五科總積點 12 – 14,百分比,2.3%,4.3%,3.3%,2.3%,4.2%,3.3%
4,最佳五科總積點 15 – 17,人數,1764,2324,4088,1720,2283,4003
5,最佳五科總積點 15 – 17,百分比,10.0%,13.0%,11.5%,9.8%,12.8%,11.3%
6,最佳五科總積點 18 – 20,人數,2332,2832,5164,2189,2746,4935
7,最佳五科總積點 18 – 20,百分比,13.3%,15.8%,14.6%,12.4%,15.3%,13.9%
8,最佳五科總積點 21 – 23,人數,1749,1916,3665,1715,1917,3632
9,最佳五科總積點 21 – 23,百分比,9.9%,10.7%,10.3%,9.7%,10.7%,10.2%
10,最佳五科總積點 24 – 26,人數,1007,995,2002,1021,1019,2040
11,最佳五科總積點 24 – 26,百分比,5.7%,5.6%,5.6%,5.8%,5.7%,5.7%
12,最佳五科總積點 27 – 29,人數,542,516,1058,604,530,1134
13,最佳五科總積點 27 – 29,百分比,3.1%,2.9%,3.0%,3.4%,3.0%,3.2%
14,最佳五科總積點 30 – 32,人數,232,214,446,302,276,578
15,最佳五科總積點 30 – 32,百分比,1.3%,1.2%,1.3%,1.7%,1.5%,1.6%
16,最佳五科總積點 33 – 35,人數,55,56,111,133,91,224
17,最佳五科總積點 33 – 35,百分比,0.3%,0.3%,0.3%,0.8%,0.5%,0.6%
