行號,項目,類別,肢體活動能力障礙,視障,聽障,語障,特殊學習障礙,自閉症,注意力不足/過度活躍症,精神問題,其他障礙 #,總數
1,出席人數,人數,50,39,98,252,1570,376,537,674,70,3666
2,五科取得2 級或以上,人數,27,29,73,130,580,235,395,460,31,1960
3,五科取得3 級或以上,人數,8,15,48,36,88,97,122,179,12,605
4,五科取得4 級或以上,人數,3,7,20,10,17,40,25,65,4,191
5,五科取得5 級或以上,人數,1,1,3,0,2,8,4,11,2,32
6,於核心科目中取得「222A」或更佳成績,人數,23,26,71,110,395,211,366,427,25,1654
7,於核心科目中取得「222A」或更佳成績，並於一個選修科目取得2 級或以上成績,人數,21,26,70,103,376,208,361,412,24,1601
8,於核心科目中取得「332A」或更佳成績,人數,13,17,54,38,85,106,170,282,15,780
9,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得2 級或以上成績,人數,12,17,54,37,85,106,170,276,14,771
10,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得3 級或以上成績,人數,11,17,52,36,81,105,156,245,14,717
